"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","370",""
"SURVEY","2020","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","370",""
"SURVEY","2020","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,097,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","215,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","9,977,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","9,977,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,880,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.1",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,880,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.1",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,880,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,880,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","31,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2020","YEAR - MAR ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2020","YEAR - MAR ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2020","YEAR - MAR ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2020","JAN","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","FEB","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MAR","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","APR","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MAY","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","JUN","","STATE","ALASKA","02","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (NA)",""
