"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","184",""
"SURVEY","2020","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2020","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","210",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","352,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","15,270,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","15,270,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","68,000",""
