"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.92",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.61",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","33.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CANOLA","CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CHICKPEAS","CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","23.6",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","24.6",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","17.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","156",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","2,136,381",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","142",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","9.16",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","80.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","195,732",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","157",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","90.84",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","81.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,940,649",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HOPS","HOPS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","5.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LENTILS","LENTILS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","21.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","17.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.15",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","PEAS","PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SAFFLOWER","SAFFLOWER - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SUGARBEETS","SUGARBEETS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","53.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.11",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.18",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.07",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","500,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","530,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","270,600,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","55,000,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","110",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","66,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES PLANTED","TOTAL","NOT SPECIFIED","68,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","53,650,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,592,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,410",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,800",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,300",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","114,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,370",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, CRANBERRY - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, CRANBERRY - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, CRANBERRY - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, CRANBERRY - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,300",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,400",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","104,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,420",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, GREAT NORTHERN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,400",""
