"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.65",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","177",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","150",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","204",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","15.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.28",""
"SURVEY","2020","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.28",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,400,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,250,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (20,000 TO 22,500 PLANTS / ACRE)","3.8",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (22,501 TO 25,000 PLANTS / ACRE)","5.1",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (25,001 TO 27,500 PLANTS / ACRE)","12.8",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (27,501 TO 30,000 PLANTS / ACRE)","19.2",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (30,001 OR MORE PLANTS / ACRE)","57.8",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","PLANT POPULATION","PLANT POPULATION: (LESS THAN 20,000 PLANTS / ACRE)","1.3",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (20.6 TO 30.5 INCHES)","80.7",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (30.6 TO 34.5 INCHES)","16.7",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (34.6 TO 36.5 INCHES)","0",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (36.6 TO 38.5 INCHES)","1.3",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (38.6 OR MORE INCHES)","0",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - AREA PLANTED, MEASURED IN PCT BY SIZE GROUP","ROW WIDTH","ROW WIDTH: (LESS THAN 20.6 INCHES)","1.3",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE","TOTAL","NOT SPECIFIED","29,600",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - NUMBER OF SAMPLES","ROW WIDTH","ROW WIDTH: (30 INCHES)","79",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - NUMBER OF SAMPLES","ROW WIDTH","ROW WIDTH: (36 INCHES)","1",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - NUMBER OF SAMPLES","ROW WIDTH","ROW WIDTH: (LESS THAN 30.0 INCHES)","2",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - NUMBER OF SAMPLES","TOTAL","NOT SPECIFIED","78",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE","TOTAL","NOT SPECIFIED","29,850",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,565,138,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","981,750,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - ROW WIDTH, MEASURED IN INCHES / ROW","TOTAL","NOT SPECIFIED","30.2",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","187",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","130,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","2,730,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","21",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,707,126,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,641,228,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","11,810,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","11,900,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","500,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","226,752,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,282,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.56",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","280,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","96,600,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","644,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.3",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - ACRES HARVESTED","TOTAL","NOT SPECIFIED","220,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","130,152,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","638,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.9",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","226,752,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","96,600,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA - ACRES PLANTED","TOTAL","NOT SPECIFIED","40,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","130,152,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,500",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","242,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,361,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","276,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","69",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,730,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,750,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","51,000",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)"," (D)",""
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BIXAFEN = 128400)"," (D)",""
