"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.64",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","98.43",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","242,506",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","30.35",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","52.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","9.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","74,784",""
