"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.74",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON, COTTONSEED - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","189",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.669",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","101",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","101",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.6",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2020","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SUGARCANE","SUGARCANE, SUGAR - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","500,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","485,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","328,316,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","87,785,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","51,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","165,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","339,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","986",""
