"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.95",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","32.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.72",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","168",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","281,609",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","139",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","30.11",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","73.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","84,793",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","185",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","69.89",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","71",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","196,816",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRICE RECEIVED, MEASURED IN $ / GALLON","TOTAL","NOT SPECIFIED","48.6",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, GOLDEN - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 0.5 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","28.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 0.5 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","48.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","10.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 QUART - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","16.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 12 OZ - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","8.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 34 OZ - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 8.5 OZ - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","7.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - PRICE RECEIVED, MEASURED IN $ / GALLON","TOTAL","NOT SPECIFIED","21.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2020","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","17",""
