"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.46",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.56",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CANOLA","CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CHICKPEAS","CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","21.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","19.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","21.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","FLAXSEED","FLAXSEED - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","131",""
