"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.69",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","165",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","97.44",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","261,708",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","146",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","50.74",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","61.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","11.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","136,269",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","204",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","49.26",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","61.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","15.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","132,301",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.96",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.27",""
"SURVEY","2020","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.27",""
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,550,000",""
