"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","CANOLA","CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.45",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,020,846",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","174",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","36.46",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","71.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","28.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","372,162",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","205",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","63.54",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","71.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","39.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","648,684",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","MINT","MINT, PEPPERMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","19.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","MINT","MINT, SPEARMINT, OIL - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.62",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","PEAS","PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","SUGARBEETS","SUGARBEETS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","53.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.9",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,424,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,160,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","72",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","65,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","85,374,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","15,665,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","241",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","34,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","782,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,019,092,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,282,058,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,870,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,911,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","960,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","569,160,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","2,976,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.1",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","229,680,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,320,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.2",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - ACRES HARVESTED","TOTAL","NOT SPECIFIED","360,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","339,480,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,656,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.6",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","569,160,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","229,680,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA - ACRES PLANTED","TOTAL","NOT SPECIFIED","50,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","339,480,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,104",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","74,812,000",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,468,700",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,755",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, AMARILLO R, VGXP01 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","216",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, AMARILLO R, VGXP01 - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","509,800",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, AMARILLO R, VGXP01 - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,360",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CASCADE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","754",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CASCADE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,235,800",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CASCADE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,639",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CENTENNIAL - ACRES HARVESTED","TOTAL","NOT SPECIFIED","489",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CENTENNIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","819,100",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CENTENNIAL - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,675",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CHINOOK - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CHINOOK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","127,400",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CHINOOK - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,481",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CITRA R, HBC 394 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,327",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CITRA R, HBC 394 - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,998,500",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CITRA R, HBC 394 - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,506",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, COMET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, COMET - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, COMET - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, CRYSTAL - ACRES HARVESTED","TOTAL","NOT SPECIFIED","169",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, DELTA TM - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, DELTA TM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, DELTA TM - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EL DORADO R - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EL DORADO R - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EL DORADO R - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EXPERIMENTAL - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EXPERIMENTAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, EXPERIMENTAL - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, FUGGLE - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, FUGGLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, FUGGLE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, GOLDING - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, GOLDING - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, GOLDING - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, HALLERTAUER MITTELFRUHER - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, HALLERTAUER MITTELFRUHER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, HALLERTAUER MITTELFRUHER - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, IDAHO 7 TM - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, IDAHO 7 TM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, IDAHO 7 TM - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, LIBERTY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, LIBERTY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","128,200",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, LIBERTY - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,289",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MAGNUM - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MAGNUM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MAGNUM - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MERIDIAN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MERIDIAN - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MERIDIAN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MILLENIUM - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MILLENIUM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MILLENIUM - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MOSAIC R, HBC 369 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","595",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MOSAIC R, HBC 369 - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,282,200",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MOSAIC R, HBC 369 - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,155",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. HOOD - ACRES HARVESTED","TOTAL","NOT SPECIFIED","159",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. HOOD - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","246,600",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. HOOD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,551",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. RAINIER - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. RAINIER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, MT. RAINIER - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, NUGGET - ACRES HARVESTED","TOTAL","NOT SPECIFIED","826",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, NUGGET - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,520,700",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, NUGGET - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,841",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, OTHER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","814",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, OTHER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,203,600",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, OTHER - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,479",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, OTHER VARIETIES 1 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, OTHER VARIETIES 2 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PEKKO R, ADHA-871 - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PEKKO R, ADHA-871 - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PEKKO R, ADHA-871 - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PERLE - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PERLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, PERLE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, SABRO TM HBC 438 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, SABRO TM HBC 438 - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","64,400",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, SABRO TM HBC 438 - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","870",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","HOPS","HOPS, SIMCOE R, YCR 14 - ACRES HARVESTED","TOTAL","NOT SPECIFIED","474",""
