"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2020","MARKETING YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","170",""
"SURVEY","2020","MARKETING YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","210",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,440,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,440,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,440,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,000",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.6",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,000",""
