"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.7",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON, COTTONSEED - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","232",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.688",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","117",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","115",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","216",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.8",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","TOBACCO","TOBACCO - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.6",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","TOBACCO","TOBACCO, AIR-CURED DARK (CLASS 3B) - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.53",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","TOBACCO","TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.99",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","TOBACCO","TOBACCO, FIRE-CURED (CLASS 2) - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.78",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.55",""
"SURVEY","2020","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.55",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","860,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","815,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","651,185,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","138,550,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","170",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","630,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","275,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","280,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","611,000",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,066",""
