"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.35",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.44",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","156",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","5.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","205,950",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","120",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","23.57",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","75",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","6.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","48,545",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","167",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT BY TYPE","TOTAL","NOT SPECIFIED","76.43",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF MKTG YEAR","TOTAL","NOT SPECIFIED","74.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN PCT OF PRODUCTION","TOTAL","NOT SPECIFIED","5.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY, ALFALFA - SALES, MEASURED IN TONS","TOTAL","NOT SPECIFIED","157,405",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRICE RECEIVED, MEASURED IN $ / GALLON","TOTAL","NOT SPECIFIED","29.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, GOLDEN - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 0.5 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","22.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 0.5 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","41.3",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","7.4",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, RETAIL, CONTAINERS, 1 QUART - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","11.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - PRICE RECEIVED, MEASURED IN $ / GALLON","TOTAL","NOT SPECIFIED","23.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, BULK - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","77",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS - SALES, MEASURED IN PCT BY OUTLET","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS, 0.5 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","22.9",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS, 0.5 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","5.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS, 1 GALLON - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","37.2",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS, 1 PINT - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","6.5",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MAPLE SYRUP","MAPLE SYRUP, WHOLESALE, CONTAINERS, 1 QUART - PRICE RECEIVED, MEASURED IN $ / CONTAINER","TOTAL","NOT SPECIFIED","12.1",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.73",""
"SURVEY","2020","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","RYE","RYE - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED"," (D)",""
