MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201229,AK,91.44,8.56,0.00,0.00,0.00,0.00,2020-12-29,2021-01-04,1
20201222,AK,91.44,8.56,0.00,0.00,0.00,0.00,2020-12-22,2020-12-28,1
20201215,AK,88.88,11.12,0.00,0.00,0.00,0.00,2020-12-15,2020-12-21,1
20201208,AK,88.88,11.12,0.00,0.00,0.00,0.00,2020-12-08,2020-12-14,1
20201201,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-12-01,2020-12-07,1
20201124,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-11-24,2020-11-30,1
20201117,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-11-17,2020-11-23,1
20201110,AK,88.89,11.11,0.85,0.00,0.00,0.00,2020-11-10,2020-11-16,1
20201103,AK,88.89,11.11,0.85,0.00,0.00,0.00,2020-11-03,2020-11-09,1
20201027,AK,87.81,12.19,0.85,0.00,0.00,0.00,2020-10-27,2020-11-02,1
20201020,AK,85.51,14.49,0.85,0.00,0.00,0.00,2020-10-20,2020-10-26,1
20201013,AK,85.51,14.49,0.85,0.00,0.00,0.00,2020-10-13,2020-10-19,1
20201006,AK,85.51,14.49,0.85,0.00,0.00,0.00,2020-10-06,2020-10-12,1
20200929,AK,77.85,22.15,0.79,0.00,0.00,0.00,2020-09-29,2020-10-05,1
20200922,AK,70.24,29.76,1.61,0.00,0.00,0.00,2020-09-22,2020-09-28,1
20200915,AK,70.24,29.76,1.61,0.00,0.00,0.00,2020-09-15,2020-09-21,1
20200908,AK,68.37,31.63,1.61,0.00,0.00,0.00,2020-09-08,2020-09-14,1
20200901,AK,65.46,34.54,1.61,0.00,0.00,0.00,2020-09-01,2020-09-07,1
20200825,AK,89.31,10.69,0.82,0.00,0.00,0.00,2020-08-25,2020-08-31,1
20200818,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-18,2020-08-24,1
20200811,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-11,2020-08-17,1
20200804,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-04,2020-08-10,1
20200728,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-28,2020-08-03,1
20200721,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-21,2020-07-27,1
20200714,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-14,2020-07-20,1
20200707,AK,94.42,5.58,0.00,0.00,0.00,0.00,2020-07-07,2020-07-13,1
20200630,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-30,2020-07-06,1
20200623,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-23,2020-06-29,1
20200616,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-16,2020-06-22,1
20200609,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-09,2020-06-15,1
20200602,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
