Alabama, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.04,5.13
201002,-0.16,-0.10
201003,-0.37,-0.24
201004,-0.96,-0.74
201005,-0.35,-0.22
201006,-0.78,-0.69
201007,-1.61,-1.41
201008,-1.71,-1.48
201009,-2.51,-2.29
201010,-2.47,-2.30
201011,-2.10,-1.97
201012,-2.67,-2.56
201101,-2.65,-2.56
201102,-2.91,-2.85
201103,-2.20,-2.07
201104,-2.06,-1.84
201105,-2.64,-2.51
201106,-2.99,-2.90
201107,-3.02,-2.82
201108,-3.87,-3.64
201109,-2.44,-2.22
201110,-2.60,-2.43
201111,-2.32,-2.19
201112,-2.13,-2.02
201201,-1.90,-1.81
201202,-2.01,-1.95
201203,-2.41,-2.28
201204,-3.08,-2.86
201205,-3.05,-2.92
201206,-2.80,-2.71
201207,-2.64,-2.44
201208,0.64,0.87
201209,1.16,1.38
201210,1.29,1.46
201211,0.52,0.65
201212,0.82,0.93
201301,1.00,1.09
201302,1.99,2.05
201303,1.26,1.39
201304,1.36,1.58
201305,1.30,1.43
201306,1.73,1.82
201307,2.87,3.07
201308,3.30,3.53
201309,2.97,3.19
201310,2.40,2.57
201311,2.11,2.24
201312,2.72,2.83
201401,1.82,1.91
201402,1.82,1.88
201403,1.51,1.64
201404,2.64,2.86
201405,2.44,2.57
201406,2.56,2.65
201407,-0.40,-0.20
201408,-0.72,-0.49
201409,-1.23,-1.01
201410,-0.73,-0.56
201411,-0.80,-0.67
201412,-0.42,-0.31
201501,-0.57,-0.48
201502,-0.74,-0.68
201503,-1.30,-1.17
201504,-0.70,-0.48
201505,-0.64,-0.51
201506,-0.91,-0.82
201507,-1.26,-1.06
201508,-0.99,-0.76
201509,-1.30,-1.08
201510,-1.24,-1.07
201511,0.68,0.81
201512,2.33,2.44
201601,-0.27,-0.18
201602,-0.09,-0.03
201603,-0.48,-0.35
201604,-0.27,-0.05
201605,-0.88,-0.75
201606,-1.10,-1.01
201607,-1.67,-1.47
201608,-1.76,-1.53
201609,-2.60,-2.38
201610,-3.51,-3.34
201611,-3.88,-3.75
201612,-3.79,-3.68
201701,-2.36,-2.27
201702,-2.75,-2.69
201703,-3.15,-3.02
201704,-3.24,-3.02
201705,0.99,1.12
201706,3.21,3.30
201707,2.86,3.06
201708,3.36,3.59
201709,3.04,3.26
201710,3.83,4.00
201711,2.63,2.76
201712,2.06,2.17
201801,1.09,1.18
201802,1.33,1.39
201803,0.60,0.73
201804,0.93,1.15
201805,1.07,1.20
201806,1.04,1.13
201807,0.58,0.78
201808,0.74,0.97
201809,1.17,1.39
201810,0.97,1.14
201811,1.71,1.84
201812,2.92,3.03
201901,2.87,2.96
201902,2.68,2.74
201903,-0.78,-0.65
201904,-0.38,-0.16
201905,-0.74,-0.61
201906,-0.62,-0.53
201907,-1.14,-0.94
201908,-1.02,-0.79
201909,-2.41,-2.19
201910,1.06,1.23
201911,0.90,1.03
201912,1.19,1.30
202001,1.70,1.79
202002,2.99,3.05
202003,2.34,2.47
202004,2.71,2.93
202005,2.36,2.49
202006,2.51,2.60
202007,2.23,2.43
202008,2.52,2.75
202009,3.05,3.27
202010,3.60,3.77
202011,2.87,3.00
202012,2.29,2.40
202101,1.61,1.70
202102,1.19,1.25
202103,1.38,1.51
202104,1.45,1.67
202105,1.55,1.68
202106,2.98,3.07
202107,3.53,3.73
202108,4.42,4.65
202109,4.54,4.76
202110,4.82,4.99
202111,3.67,3.80
202112,2.99,3.10
202201,2.63,2.72
202202,2.45,2.51
202203,2.34,2.47
202204,2.18,2.40
