Idaho, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-1.24,-1.34
201002,-1.91,-1.93
201003,-2.16,-2.10
201004,0.50,0.53
201005,1.23,1.08
201006,2.08,2.02
201007,2.28,2.21
201008,2.41,2.41
201009,2.02,1.97
201010,2.12,2.09
201011,2.26,2.22
201012,2.81,2.84
201101,2.65,2.55
201102,2.11,2.09
201103,2.88,2.94
201104,3.66,3.69
201105,4.19,4.04
201106,4.02,3.96
201107,3.89,3.82
201108,-0.20,-0.20
201109,-0.89,-0.94
201110,-0.23,-0.26
201111,-0.40,-0.44
201112,-1.04,-1.01
201201,-0.91,-1.01
201202,-1.17,-1.19
201203,-0.06,0.00
201204,-0.17,-0.14
201205,-0.22,-0.37
201206,-0.30,-0.36
201207,-0.25,-0.32
201208,-0.86,-0.86
201209,-1.55,-1.60
201210,0.34,0.31
201211,0.18,0.14
201212,0.63,0.66
201301,-0.33,-0.43
201302,-1.09,-1.11
201303,-1.66,-1.60
201304,-1.49,-1.46
201305,-1.77,-1.92
201306,-2.02,-2.08
201307,-2.51,-2.58
201308,-2.84,-2.84
201309,-1.56,-1.61
201310,-1.85,-1.88
201311,-2.44,-2.48
201312,-3.17,-3.14
201401,-3.91,-4.01
201402,-3.00,-3.02
201403,-1.90,-1.84
201404,-1.61,-1.58
201405,-2.07,-2.22
201406,-2.25,-2.31
201407,-2.76,-2.83
201408,-1.76,-1.76
201409,-1.51,-1.56
201410,-1.87,-1.90
201411,-1.49,-1.53
201412,-1.22,-1.19
201501,-1.34,-1.44
201502,-1.71,-1.73
201503,-2.62,-2.56
201504,-2.86,-2.83
201505,-2.21,-2.36
201506,-2.88,-2.94
201507,-2.70,-2.77
201508,-2.68,-2.68
201509,-2.46,-2.51
201510,-2.59,-2.62
201511,-2.56,-2.60
201512,-1.77,-1.74
201601,-1.53,-1.63
201602,-1.80,-1.82
201603,-1.10,-1.04
201604,-1.57,-1.54
201605,-1.42,-1.57
201606,-2.06,-2.12
201607,-2.44,-2.51
201608,-3.01,-3.01
201609,0.33,0.28
201610,1.86,1.83
201611,1.21,1.17
201612,1.46,1.49
201701,1.72,1.62
201702,3.09,3.07
201703,3.53,3.59
201704,3.83,3.86
201705,-0.35,-0.50
201706,-0.51,-0.57
201707,-1.13,-1.20
201708,-1.86,-1.86
201709,-1.22,-1.27
201710,-1.06,-1.09
201711,-0.72,-0.76
201712,-0.95,-0.92
201801,-0.88,-0.98
201802,-0.81,-0.83
201803,-0.48,-0.42
201804,-0.16,-0.13
201805,-0.17,-0.32
201806,-0.28,-0.34
201807,-0.85,-0.92
201808,-1.37,-1.37
201809,-2.06,-2.11
201810,-1.76,-1.79
201811,-1.80,-1.84
201812,-2.10,-2.07
201901,-2.41,-2.51
201902,1.47,1.45
201903,0.81,0.87
201904,1.36,1.39
201905,1.68,1.53
201906,-0.39,-0.45
201907,-0.52,-0.59
201908,-0.82,-0.82
201909,0.53,0.48
201910,0.77,0.74
201911,-0.97,-1.01
201912,-1.56,-1.53
202001,-1.26,-1.36
202002,-1.27,-1.29
202003,-1.48,-1.42
202004,-1.66,-1.63
202005,0.17,0.02
202006,0.93,0.87
202007,1.14,1.07
202008,-0.40,-0.40
202009,-0.87,-0.92
202010,-0.99,-1.02
202011,-1.20,-1.24
202012,-1.79,-1.76
202101,-2.24,-2.34
202102,-1.58,-1.60
202103,-2.27,-2.21
202104,-2.75,-2.72
202105,-2.96,-3.11
202106,-3.89,-3.95
202107,-4.88,-4.95
202108,-4.66,-4.66
202109,-4.62,-4.67
202110,-3.57,-3.60
202111,-3.60,-3.64
202112,-2.96,-2.93
202201,-2.77,-2.87
202202,-3.37,-3.39
202203,-3.83,-3.77
202204,-2.84,-2.81
