Illinois, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.55,5.53
201002,4.91,4.92
201003,4.12,4.14
201004,3.23,3.24
201005,3.28,3.27
201006,4.24,4.28
201007,4.49,4.63
201008,4.00,3.97
201009,3.82,3.63
201010,2.89,2.76
201011,2.61,2.49
201012,2.16,2.13
201101,1.71,1.69
201102,2.30,2.31
201103,1.87,1.89
201104,3.18,3.19
201105,3.30,3.29
201106,3.96,4.00
201107,-0.13,0.01
201108,-0.80,-0.83
201109,-0.57,-0.76
201110,-0.96,-1.09
201111,0.52,0.40
201112,0.92,0.89
201201,0.89,0.87
201202,-0.17,-0.16
201203,-1.29,-1.27
201204,-1.51,-1.50
201205,-2.24,-2.25
201206,-3.06,-3.02
201207,-4.36,-4.22
201208,-4.28,-4.31
201209,-3.37,-3.56
201210,-2.62,-2.75
201211,-3.07,-3.19
201212,-3.15,-3.18
201301,0.72,0.70
201302,1.12,1.13
201303,1.00,1.02
201304,2.26,2.27
201305,2.86,2.85
201306,3.10,3.14
201307,-0.02,0.12
201308,-0.74,-0.77
201309,-1.44,-1.63
201310,-1.20,-1.33
201311,-1.31,-1.43
201312,-1.25,-1.28
201401,-1.12,-1.14
201402,-0.74,-0.73
201403,-1.19,-1.17
201404,0.56,0.57
201405,0.15,0.14
201406,1.13,1.17
201407,1.17,1.31
201408,1.96,1.93
201409,2.36,2.17
201410,3.04,2.91
201411,3.04,2.92
201412,2.77,2.74
201501,2.39,2.37
201502,2.02,2.03
201503,1.57,1.59
201504,1.19,1.20
201505,1.41,1.40
201506,3.40,3.44
201507,3.83,3.97
201508,3.55,3.52
201509,3.24,3.05
201510,2.47,2.34
201511,3.14,3.02
201512,4.57,4.54
201601,3.73,3.71
201602,3.13,3.14
201603,2.65,2.67
201604,2.17,2.18
201605,2.06,2.05
201606,1.35,1.39
201607,2.47,2.61
201608,3.71,3.68
201609,3.50,3.31
201610,3.07,2.94
201611,2.81,2.69
201612,2.39,2.36
201701,2.32,2.30
201702,1.38,1.39
201703,1.35,1.37
201704,2.25,2.26
201705,2.44,2.43
201706,-0.36,-0.32
201707,0.42,0.56
201708,-0.27,-0.30
201709,-1.35,-1.54
201710,-0.62,-0.75
201711,-0.78,-0.90
201712,-1.32,-1.35
201801,-1.48,-1.50
201802,1.57,1.58
201803,1.83,1.85
201804,1.46,1.47
201805,0.77,0.76
201806,1.38,1.42
201807,1.24,1.38
201808,1.76,1.73
201809,2.15,1.96
201810,2.48,2.35
201811,2.89,2.77
201812,3.16,3.13
201901,3.51,3.49
201902,3.90,3.91
201903,4.05,4.07
201904,3.97,3.98
201905,5.03,5.02
201906,5.01,5.05
201907,4.25,4.39
201908,4.15,4.12
201909,4.23,4.04
201910,4.83,4.70
201911,4.82,4.70
201912,4.33,4.30
202001,5.01,4.99
202002,4.66,4.67
202003,4.41,4.43
202004,4.32,4.33
202005,4.40,4.39
202006,3.70,3.74
202007,4.03,4.17
202008,3.09,3.06
202009,2.76,2.57
202010,2.62,2.49
202011,2.24,2.12
202012,1.77,1.74
202101,1.90,1.88
202102,1.70,1.71
202103,1.70,1.72
202104,1.24,1.25
202105,1.25,1.24
202106,1.47,1.51
202107,1.97,2.11
202108,2.03,2.00
202109,1.42,1.23
202110,2.37,2.24
202111,1.84,1.72
202112,1.80,1.77
202201,1.32,1.30
202202,1.90,1.91
202203,2.17,2.19
202204,2.01,2.02
