Iowa, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.26,4.93
201002,4.86,4.53
201003,4.18,3.96
201004,3.79,3.53
201005,3.54,3.22
201006,5.43,5.08
201007,6.69,6.37
201008,6.52,6.21
201009,6.86,6.44
201010,5.74,5.36
201011,5.30,4.89
201012,5.02,4.71
201101,4.64,4.31
201102,4.57,4.24
201103,3.94,3.72
201104,4.04,3.78
201105,4.15,3.83
201106,4.37,4.02
201107,-0.23,-0.55
201108,-0.57,-0.88
201109,-1.16,-1.58
201110,-1.93,-2.31
201111,-2.03,-2.44
201112,-1.57,-1.88
201201,-1.71,-2.04
201202,-1.13,-1.46
201203,-1.78,-2.00
201204,-1.31,-1.57
201205,-1.60,-1.92
201206,-2.26,-2.61
201207,-3.56,-3.88
201208,-3.95,-4.26
201209,-4.62,-5.04
201210,-4.09,-4.47
201211,-4.53,-4.94
201212,-4.33,-4.64
201301,-4.23,-4.56
201302,-3.90,-4.23
201303,-3.57,-3.79
201304,1.90,1.64
201305,3.75,3.43
201306,3.52,3.17
201307,-0.68,-1.00
201308,-1.65,-1.96
201309,-2.46,-2.88
201310,-2.20,-2.58
201311,-2.32,-2.73
201312,-2.63,-2.94
201401,-2.91,-3.24
201402,-2.52,-2.85
201403,-2.88,-3.10
201404,0.83,0.57
201405,0.40,0.08
201406,2.39,2.04
201407,2.27,1.95
201408,3.01,2.70
201409,3.36,2.94
201410,3.69,3.31
201411,3.35,2.94
201412,3.19,2.88
201501,2.75,2.42
201502,2.70,2.37
201503,1.71,1.49
201504,1.65,1.39
201505,1.98,1.66
201506,2.52,2.17
201507,3.19,2.87
201508,3.78,3.47
201509,3.80,3.38
201510,3.41,3.03
201511,4.32,3.91
201512,6.06,5.75
201601,5.36,5.03
201602,4.91,4.58
201603,4.31,4.09
201604,3.96,3.70
201605,3.79,3.47
201606,2.85,2.50
201607,3.50,3.18
201608,4.18,3.87
201609,4.89,4.47
201610,4.40,4.02
201611,3.87,3.46
201612,3.89,3.58
201701,4.00,3.67
201702,3.68,3.35
201703,3.58,3.36
201704,3.53,3.27
201705,3.64,3.32
201706,2.74,2.39
201707,2.07,1.75
201708,1.89,1.58
201709,1.01,0.59
201710,1.99,1.61
201711,1.31,0.90
201712,0.76,0.45
201801,0.71,0.38
201802,1.09,0.76
201803,1.21,0.99
201804,0.95,0.69
201805,0.80,0.48
201806,1.73,1.38
201807,1.53,1.21
201808,2.48,2.17
201809,4.14,3.72
201810,5.14,4.76
201811,5.13,4.72
201812,5.35,5.04
201901,5.14,4.81
201902,5.60,5.27
201903,5.31,5.09
201904,4.83,4.57
201905,6.32,6.00
201906,5.41,5.06
201907,4.70,4.38
201908,4.13,3.82
201909,4.47,4.05
201910,5.41,5.03
201911,5.22,4.81
201912,4.97,4.66
202001,4.88,4.55
202002,4.20,3.87
202003,4.09,3.87
202004,-0.44,-0.70
202005,0.43,0.11
202006,-0.03,-0.38
202007,-0.36,-0.68
202008,-1.46,-1.77
202009,-1.28,-1.70
202010,-1.19,-1.57
202011,-1.27,-1.68
202012,-1.27,-1.58
202101,-0.99,-1.32
202102,-0.90,-1.23
202103,-0.62,-0.84
202104,-1.19,-1.45
202105,-1.02,-1.34
202106,-1.63,-1.98
202107,-1.38,-1.70
202108,-1.02,-1.33
202109,-1.72,-2.14
202110,-0.62,-1.00
202111,-0.88,-1.29
202112,-0.91,-1.22
202201,-0.83,-1.16
202202,-1.02,-1.35
202203,-0.57,-0.79
202204,0.69,0.43
