Kansas, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.34,4.00
201002,4.30,3.97
201003,4.19,3.91
201004,3.73,3.44
201005,3.72,3.45
201006,3.64,3.27
201007,4.07,3.71
201008,3.84,3.46
201009,3.57,3.21
201010,-0.62,-0.91
201011,-0.50,-0.88
201012,-0.85,-1.21
201101,-0.97,-1.31
201102,-0.75,-1.08
201103,-1.07,-1.35
201104,-1.29,-1.58
201105,-1.39,-1.66
201106,-1.96,-2.33
201107,-2.48,-2.84
201108,-2.60,-2.98
201109,-2.99,-3.35
201110,-3.00,-3.29
201111,-2.29,-2.67
201112,-1.26,-1.62
201201,-1.56,-1.90
201202,-0.89,-1.22
201203,-1.00,-1.28
201204,-0.84,-1.13
201205,-2.04,-2.31
201206,-2.80,-3.17
201207,-3.80,-4.16
201208,-3.90,-4.28
201209,-3.94,-4.30
201210,-3.93,-4.22
201211,-4.20,-4.58
201212,-4.24,-4.60
201301,-4.03,-4.37
201302,-3.41,-3.74
201303,-3.46,-3.74
201304,-2.86,-3.15
201305,-2.63,-2.90
201306,-2.93,-3.30
201307,-2.31,-2.67
201308,-1.29,-1.67
201309,-1.31,-1.67
201310,-0.83,-1.12
201311,-0.81,-1.19
201312,-0.99,-1.35
201401,-1.21,-1.55
201402,-1.16,-1.49
201403,-1.62,-1.90
201404,-1.87,-2.16
201405,-2.73,-3.00
201406,1.00,0.63
201407,0.79,0.43
201408,0.69,0.31
201409,0.69,0.33
201410,0.87,0.58
201411,-0.40,-0.78
201412,-0.15,-0.51
201501,-0.39,-0.73
201502,-0.37,-0.70
201503,-1.12,-1.40
201504,-1.03,-1.32
201505,1.87,1.60
201506,1.55,1.18
201507,2.20,1.84
201508,2.26,1.88
201509,1.40,1.04
201510,1.08,0.79
201511,1.71,1.33
201512,2.45,2.09
201601,2.27,1.93
201602,1.89,1.56
201603,1.11,0.83
201604,2.27,1.98
201605,2.66,2.39
201606,1.82,1.45
201607,2.29,1.93
201608,3.00,2.62
201609,3.26,2.90
201610,2.60,2.31
201611,1.71,1.33
201612,1.41,1.05
201701,1.76,1.42
201702,0.98,0.65
201703,1.03,0.75
201704,2.11,1.82
201705,2.59,2.32
201706,-0.15,-0.52
201707,-0.28,-0.64
201708,0.36,-0.02
201709,0.08,-0.28
201710,0.36,0.07
201711,-0.62,-1.00
201712,-1.13,-1.49
201801,-1.40,-1.74
201802,-1.57,-1.90
201803,-2.09,-2.37
201804,-2.19,-2.48
201805,-2.67,-2.94
201806,-3.05,-3.42
201807,-2.84,-3.20
201808,0.36,-0.02
201809,0.38,0.02
201810,2.13,1.84
201811,1.94,1.56
201812,2.74,2.38
201901,3.00,2.66
201902,3.19,2.86
201903,3.37,3.09
201904,2.68,2.39
201905,5.58,5.31
201906,5.40,5.03
201907,4.93,4.57
201908,6.26,5.88
201909,5.29,4.93
201910,5.01,4.72
201911,4.34,3.96
201912,4.16,3.80
202001,4.22,3.88
202002,4.25,3.92
202003,3.95,3.67
202004,3.20,2.91
202005,3.25,2.98
202006,2.49,2.12
202007,3.40,3.04
202008,-0.27,-0.65
202009,2.13,1.77
202010,1.66,1.37
202011,1.26,0.88
202012,1.05,0.69
202101,1.27,0.93
202102,0.78,0.45
202103,1.44,1.16
202104,1.00,0.71
202105,1.84,1.57
202106,1.32,0.95
202107,1.22,0.86
202108,0.84,0.46
202109,0.00,-0.36
202110,0.00,-0.29
202111,-0.79,-1.17
202112,-1.46,-1.82
202201,-1.75,-2.09
202202,-2.05,-2.38
202203,-1.99,-2.27
202204,-2.53,-2.82
