Louisiana, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-0.38,-0.27
201002,0.00,0.23
201003,-0.63,-0.38
201004,-1.44,-1.25
201005,-2.24,-2.09
201006,-2.56,-2.29
201007,-2.62,-2.42
201008,-2.23,-2.10
201009,-3.20,-3.06
201010,-3.57,-3.52
201011,-3.17,-3.01
201012,-3.84,-3.71
201101,-3.52,-3.41
201102,-3.96,-3.73
201103,-4.01,-3.76
201104,-4.29,-4.10
201105,-4.99,-4.84
201106,-5.35,-5.08
201107,-5.00,-4.80
201108,-5.91,-5.78
201109,-4.56,-4.42
201110,-4.64,-4.59
201111,-4.53,-4.37
201112,-4.15,-4.02
201201,-3.96,-3.85
201202,-2.88,-2.65
201203,-2.07,-1.82
201204,-1.94,-1.75
201205,-2.73,-2.58
201206,-2.82,-2.55
201207,0.47,0.67
201208,1.76,1.89
201209,2.24,2.38
201210,1.79,1.84
201211,0.98,1.14
201212,0.94,1.07
201301,2.39,2.50
201302,2.54,2.77
201303,-0.91,-0.66
201304,-0.23,-0.04
201305,-0.02,0.13
201306,-0.02,0.25
201307,-0.29,-0.09
201308,-0.88,-0.75
201309,-0.59,-0.45
201310,-0.40,-0.35
201311,-0.18,-0.02
201312,-0.57,-0.44
201401,-1.26,-1.15
201402,0.28,0.51
201403,0.23,0.48
201404,0.20,0.39
201405,0.93,1.08
201406,1.33,1.60
201407,1.58,1.78
201408,2.06,2.19
201409,-0.19,-0.05
201410,-0.18,-0.13
201411,-0.30,-0.14
201412,-0.67,-0.54
201501,-0.35,-0.24
201502,-0.74,-0.51
201503,0.19,0.44
201504,0.91,1.10
201505,1.61,1.76
201506,1.69,1.96
201507,-0.81,-0.61
201508,-1.59,-1.46
201509,-2.13,-1.99
201510,0.93,0.98
201511,1.99,2.15
201512,1.69,1.82
201601,1.30,1.41
201602,0.62,0.85
201603,2.00,2.25
201604,2.19,2.38
201605,2.14,2.29
201606,2.30,2.57
201607,1.89,2.09
201608,4.46,4.59
201609,-0.17,-0.03
201610,-0.98,-0.93
201611,-1.48,-1.32
201612,-1.30,-1.17
201701,-0.92,-0.81
201702,-1.84,-1.61
201703,-2.27,-2.02
201704,0.11,0.30
201705,1.32,1.47
201706,2.48,2.75
201707,2.14,2.34
201708,4.80,4.93
201709,-0.73,-0.59
201710,-0.89,-0.84
201711,-1.71,-1.55
201712,-1.83,-1.70
201801,-1.67,-1.56
201802,-0.71,-0.48
201803,-0.80,-0.55
201804,-0.54,-0.35
201805,-1.60,-1.45
201806,-2.09,-1.82
201807,-2.33,-2.13
201808,-2.39,-2.26
201809,0.71,0.85
201810,1.07,1.12
201811,1.76,1.92
201812,2.55,2.68
201901,2.45,2.56
201902,1.96,2.19
201903,0.91,1.16
201904,1.80,1.99
201905,2.32,2.47
201906,2.58,2.85
201907,3.05,3.25
201908,3.06,3.19
201909,1.94,2.08
201910,2.88,2.93
201911,2.09,2.25
201912,1.13,1.26
202001,1.59,1.70
202002,1.69,1.92
202003,0.81,1.06
202004,1.15,1.34
202005,1.21,1.36
202006,1.35,1.62
202007,1.69,1.89
202008,2.24,2.37
202009,2.23,2.37
202010,2.84,2.89
202011,2.36,2.52
202012,2.11,2.24
202101,1.41,1.52
202102,1.16,1.39
202103,1.03,1.28
202104,1.96,2.15
202105,3.60,3.75
202106,3.82,4.09
202107,4.01,4.21
202108,4.41,4.54
202109,5.16,5.30
202110,-0.12,-0.07
202111,-0.78,-0.62
202112,-1.81,-1.68
202201,-2.32,-2.21
202202,-2.59,-2.36
202203,-2.06,-1.81
202204,-2.18,-1.99
