Maine, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.40,3.63
201002,2.98,3.20
201003,3.48,3.57
201004,-0.68,-0.54
201005,-1.39,-1.25
201006,-0.59,-0.42
201007,-1.08,-0.98
201008,-1.66,-1.50
201009,0.44,0.51
201010,1.32,1.44
201011,1.65,1.98
201012,2.62,3.02
201101,1.75,1.98
201102,1.65,1.87
201103,2.36,2.45
201104,2.79,2.93
201105,3.29,3.43
201106,3.15,3.32
201107,2.77,2.87
201108,4.27,4.43
201109,4.01,4.08
201110,4.23,4.35
201111,-0.89,-0.56
201112,-0.87,-0.47
201201,-0.82,-0.59
201202,-1.29,-1.07
201203,-1.93,-1.84
201204,0.16,0.30
201205,0.49,0.63
201206,2.32,2.49
201207,1.13,1.23
201208,1.05,1.21
201209,1.35,1.42
201210,2.36,2.48
201211,-1.16,-0.83
201212,-0.42,-0.02
201301,-1.19,-0.96
201302,-0.94,-0.72
201303,-1.21,-1.12
201304,-1.82,-1.68
201305,0.84,0.98
201306,2.11,2.28
201307,2.41,2.51
201308,2.75,2.91
201309,3.44,3.51
201310,2.39,2.51
201311,2.23,2.56
201312,2.04,2.44
201401,1.94,2.17
201402,1.76,1.98
201403,1.89,1.98
201404,1.72,1.86
201405,1.72,1.86
201406,1.91,2.08
201407,3.16,3.26
201408,2.83,2.99
201409,1.68,1.75
201410,2.30,2.42
201411,1.90,2.23
201412,2.74,3.14
201501,0.00,0.23
201502,-0.57,-0.35
201503,-1.22,-1.13
201504,-1.19,-1.05
201505,-1.61,-1.47
201506,1.06,1.23
201507,1.00,1.10
201508,0.96,1.12
201509,1.10,1.17
201510,1.63,1.75
201511,0.62,0.95
201512,1.26,1.66
201601,0.82,1.05
201602,1.76,1.98
201603,1.86,1.95
201604,-0.34,-0.20
201605,-0.79,-0.65
201606,-0.92,-0.75
201607,-0.90,-0.80
201608,-0.72,-0.56
201609,-1.85,-1.78
201610,-1.91,-1.79
201611,-2.14,-1.81
201612,0.39,0.79
201701,0.65,0.88
201702,0.74,0.96
201703,0.42,0.51
201704,0.53,0.67
201705,1.40,1.54
201706,0.00,0.17
201707,-0.39,-0.29
201708,-0.89,-0.73
201709,-1.52,-1.45
201710,0.84,0.96
201711,0.24,0.57
201712,0.31,0.71
201801,1.02,1.25
201802,1.03,1.25
201803,0.80,0.89
201804,1.50,1.64
201805,-0.79,-0.65
201806,-0.84,-0.67
201807,-0.82,-0.72
201808,-0.90,-0.74
201809,-1.29,-1.22
201810,0.24,0.36
201811,1.22,1.55
201812,1.15,1.55
201901,1.99,2.22
201902,1.82,2.04
201903,1.13,1.22
201904,2.01,2.15
201905,2.37,2.51
201906,2.67,2.84
201907,2.12,2.22
201908,2.44,2.60
201909,2.17,2.24
201910,2.84,2.96
201911,2.64,2.97
201912,0.04,0.44
202001,-0.05,0.18
202002,-0.03,0.19
202003,-0.27,-0.18
202004,0.46,0.60
202005,-0.38,-0.24
202006,-1.14,-0.97
202007,-1.32,-1.22
202008,-1.76,-1.60
202009,-3.11,-3.04
202010,-2.23,-2.11
202011,-2.23,-1.90
202012,-1.28,-0.88
202101,-1.76,-1.53
202102,-1.55,-1.33
202103,-2.03,-1.94
202104,-2.15,-2.01
202105,-2.31,-2.17
202106,-3.04,-2.87
202107,-1.96,-1.86
202108,-2.41,-2.25
202109,-1.21,-1.14
202110,-1.06,-0.94
202111,-1.35,-1.02
202112,-1.43,-1.03
202201,-1.64,-1.41
202202,-0.94,-0.72
202203,-0.73,-0.64
202204,0.88,1.02
