Maryland, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.62,3.77
201002,3.55,3.66
201003,3.50,3.64
201004,-0.90,-0.79
201005,-1.38,-1.16
201006,-2.22,-2.08
201007,-2.67,-2.55
201008,-2.78,-2.68
201009,-2.24,-2.18
201010,-1.55,-1.49
201011,-1.75,-1.57
201012,-1.80,-1.62
201101,-1.94,-1.79
201102,-2.07,-1.96
201103,-1.38,-1.24
201104,-0.91,-0.80
201105,-1.27,-1.05
201106,-1.76,-1.62
201107,-2.36,-2.24
201108,1.25,1.35
201109,2.75,2.81
201110,2.87,2.93
201111,2.83,3.01
201112,2.68,2.86
201201,-0.46,-0.31
201202,-0.91,-0.80
201203,-1.85,-1.71
201204,-2.14,-2.03
201205,-2.29,-2.07
201206,-2.38,-2.24
201207,-2.67,-2.55
201208,-2.48,-2.38
201209,-2.36,-2.30
201210,1.65,1.71
201211,-0.55,-0.37
201212,-0.28,-0.10
201301,-0.19,-0.04
201302,-0.46,-0.35
201303,-0.50,-0.36
201304,-0.70,-0.59
201305,-0.93,-0.71
201306,1.41,1.55
201307,1.52,1.64
201308,1.50,1.60
201309,0.76,0.82
201310,1.27,1.33
201311,1.25,1.43
201312,1.90,2.08
201401,1.49,1.64
201402,1.97,2.08
201403,1.92,2.06
201404,2.31,2.42
201405,2.43,2.65
201406,-0.07,0.07
201407,-0.09,0.03
201408,-0.16,-0.06
201409,-0.53,-0.47
201410,-0.59,-0.53
201411,-0.62,-0.44
201412,-0.44,-0.26
201501,-0.13,0.02
201502,-0.45,-0.34
201503,-0.09,0.05
201504,-0.08,0.03
201505,-0.88,-0.66
201506,2.02,2.16
201507,0.02,0.14
201508,-0.51,-0.41
201509,-0.56,-0.50
201510,-0.37,-0.31
201511,-0.73,-0.55
201512,0.20,0.38
201601,0.11,0.26
201602,0.58,0.69
201603,-1.04,-0.90
201604,-1.50,-1.39
201605,0.79,1.01
201606,0.85,0.99
201607,0.94,1.06
201608,0.17,0.27
201609,0.92,0.98
201610,-0.46,-0.40
201611,-1.36,-1.18
201612,-1.49,-1.31
201701,-1.46,-1.31
201702,-2.35,-2.24
201703,-2.12,-1.98
201704,-2.36,-2.25
201705,0.69,0.91
201706,-0.68,-0.54
201707,1.13,1.25
201708,1.58,1.68
201709,-0.42,-0.36
201710,-0.34,-0.28
201711,-0.66,-0.48
201712,-1.35,-1.17
201801,-1.52,-1.37
201802,0.67,0.78
201803,0.34,0.48
201804,0.51,0.62
201805,1.45,1.67
201806,1.82,1.96
201807,3.26,3.38
201808,3.22,3.32
201809,4.85,4.91
201810,4.77,4.83
201811,6.07,6.25
201812,6.17,6.35
201901,5.55,5.70
201902,5.25,5.36
201903,4.87,5.01
201904,-0.44,-0.33
201905,0.20,0.42
201906,0.33,0.47
201907,0.50,0.62
201908,-0.46,-0.36
201909,-1.66,-1.60
201910,-1.07,-1.01
201911,-1.51,-1.33
201912,-1.35,-1.17
202001,-1.40,-1.25
202002,-1.27,-1.16
202003,-1.72,-1.58
202004,0.62,0.73
202005,-0.24,-0.02
202006,-0.32,-0.18
202007,-0.53,-0.41
202008,1.35,1.45
202009,1.58,1.64
202010,2.06,2.12
202011,2.58,2.76
202012,3.22,3.40
202101,2.39,2.54
202102,2.83,2.94
202103,-0.30,-0.16
202104,-0.68,-0.57
202105,-0.81,-0.59
202106,-0.78,-0.64
202107,0.00,0.12
202108,0.33,0.43
202109,1.10,1.16
202110,-0.05,0.01
202111,-0.58,-0.40
202112,-1.43,-1.25
202201,-0.99,-0.84
202202,-1.31,-1.20
202203,-1.69,-1.55
202204,-1.43,-1.32
