Massachusetts, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.88,3.10
201002,3.14,3.35
201003,5.07,5.21
201004,-1.20,-1.07
201005,-1.61,-1.41
201006,-1.78,-1.61
201007,-2.17,-2.09
201008,-2.23,-2.18
201009,-2.72,-2.75
201010,0.80,0.87
201011,0.64,0.84
201012,0.68,0.87
201101,0.56,0.78
201102,0.94,1.15
201103,0.82,0.96
201104,1.18,1.31
201105,0.91,1.11
201106,1.44,1.61
201107,0.84,0.92
201108,2.74,2.79
201109,3.64,3.61
201110,4.74,4.81
201111,-0.21,-0.01
201112,-0.03,0.16
201201,-0.19,0.03
201202,-1.20,-0.99
201203,-2.26,-2.12
201204,-2.61,-2.48
201205,-2.19,-1.99
201206,-1.83,-1.66
201207,-2.05,-1.97
201208,-1.68,-1.63
201209,-1.08,-1.11
201210,-0.58,-0.51
201211,-1.46,-1.26
201212,-0.76,-0.57
201301,-1.33,-1.11
201302,-0.73,-0.52
201303,-0.95,-0.81
201304,-1.59,-1.46
201305,0.40,0.60
201306,2.41,2.58
201307,0.01,0.09
201308,-0.02,0.03
201309,-0.13,-0.16
201310,-0.93,-0.86
201311,-1.16,-0.96
201312,0.11,0.30
201401,0.01,0.23
201402,0.44,0.65
201403,0.72,0.86
201404,0.58,0.71
201405,0.45,0.65
201406,0.04,0.21
201407,1.15,1.23
201408,-0.08,-0.03
201409,-0.83,-0.86
201410,0.77,0.84
201411,1.00,1.20
201412,1.50,1.69
201501,1.48,1.70
201502,-0.11,0.10
201503,-0.41,-0.27
201504,-0.94,-0.81
201505,-2.10,-1.90
201506,-1.02,-0.85
201507,-1.07,-0.99
201508,-1.38,-1.33
201509,-1.37,-1.40
201510,-1.19,-1.12
201511,-1.81,-1.61
201512,-1.49,-1.30
201601,-1.78,-1.56
201602,-0.93,-0.72
201603,-1.38,-1.24
201604,-1.63,-1.50
201605,-1.80,-1.60
201606,-2.38,-2.21
201607,-2.95,-2.87
201608,-3.33,-3.28
201609,-3.78,-3.81
201610,-3.24,-3.17
201611,-3.67,-3.47
201612,-3.40,-3.21
201701,-2.92,-2.70
201702,-2.90,-2.69
201703,-2.77,-2.63
201704,0.39,0.52
201705,1.08,1.28
201706,1.20,1.37
201707,1.12,1.20
201708,0.74,0.79
201709,0.37,0.34
201710,1.22,1.29
201711,-0.73,-0.53
201712,-1.06,-0.87
201801,0.30,0.52
201802,0.96,1.17
201803,1.07,1.21
201804,1.51,1.64
201805,-0.83,-0.63
201806,0.01,0.18
201807,0.25,0.33
201808,0.88,0.93
201809,1.95,1.92
201810,2.45,2.52
201811,3.93,4.13
201812,3.59,3.78
201901,3.81,4.03
201902,3.41,3.62
201903,2.58,2.72
201904,3.32,3.45
201905,2.98,3.18
201906,2.88,3.05
201907,2.92,3.00
201908,2.68,2.73
201909,1.78,1.75
201910,2.44,2.51
201911,2.06,2.26
201912,3.01,3.20
202001,-0.68,-0.46
202002,-0.58,-0.37
202003,-0.78,-0.64
202004,-0.04,0.09
202005,-0.50,-0.30
202006,-1.01,-0.84
202007,-1.53,-1.45
202008,-2.16,-2.11
202009,-2.72,-2.75
202010,-2.20,-2.13
202011,-2.36,-2.16
202012,-1.20,-1.01
202101,-1.59,-1.37
202102,-1.44,-1.23
202103,-2.06,-1.92
202104,-1.81,-1.68
202105,-1.22,-1.02
202106,-1.71,-1.54
202107,2.65,2.73
202108,2.95,3.00
202109,3.88,3.85
202110,4.63,4.70
202111,3.57,3.77
202112,2.87,3.06
202201,2.27,2.49
202202,2.83,3.04
202203,2.09,2.23
202204,1.85,1.98
