Arizona, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.59,1.57
201002,1.88,1.77
201003,1.81,1.67
201004,1.80,1.62
201005,2.02,1.81
201006,2.32,2.05
201007,2.29,1.94
201008,-0.27,-0.53
201009,-0.89,-1.11
201010,-0.52,-0.61
201011,-0.92,-1.03
201012,-0.73,-0.78
201101,-1.39,-1.41
201102,-1.25,-1.36
201103,-1.80,-1.94
201104,-2.30,-2.48
201105,-2.54,-2.75
201106,-3.09,-3.36
201107,-2.91,-3.26
201108,-3.48,-3.74
201109,-3.15,-3.37
201110,-3.11,-3.20
201111,-2.74,-2.85
201112,-2.20,-2.25
201201,-2.68,-2.70
201202,-2.94,-3.05
201203,-3.11,-3.25
201204,-3.67,-3.85
201205,-4.24,-4.45
201206,-4.75,-5.02
201207,-3.71,-4.06
201208,-3.39,-3.65
201209,-3.23,-3.45
201210,-3.57,-3.66
201211,-3.90,-4.01
201212,-3.38,-3.43
201301,-2.82,-2.84
201302,-2.79,-2.90
201303,-3.09,-3.23
201304,-3.46,-3.64
201305,-3.69,-3.90
201306,-4.07,-4.34
201307,-3.01,-3.36
201308,-2.56,-2.82
201309,-1.74,-1.96
201310,-2.05,-2.14
201311,-1.16,-1.27
201312,-1.46,-1.51
201401,-2.26,-2.28
201402,-3.06,-3.17
201403,-3.40,-3.54
201404,-3.96,-4.14
201405,-4.48,-4.69
201406,-5.06,-5.33
201407,-4.65,-5.00
201408,-3.33,-3.59
201409,-2.01,-2.23
201410,-2.23,-2.32
201411,-2.68,-2.79
201412,-2.34,-2.39
201501,-1.78,-1.80
201502,-2.19,-2.30
201503,-2.40,-2.54
201504,-2.67,-2.85
201505,0.25,0.04
201506,0.33,0.06
201507,0.42,0.07
201508,0.24,-0.02
201509,0.22,0.00
201510,0.84,0.75
201511,-0.03,-0.14
201512,-0.40,-0.45
201601,-0.25,-0.27
201602,-1.06,-1.17
201603,-2.06,-2.20
201604,-2.24,-2.42
201605,-2.40,-2.61
201606,-2.77,-3.04
201607,-3.04,-3.39
201608,-2.39,-2.65
201609,-2.00,-2.22
201610,-2.49,-2.58
201611,-2.34,-2.45
201612,-1.63,-1.68
201701,-0.80,-0.82
201702,-0.66,-0.77
201703,-1.31,-1.45
201704,-1.67,-1.85
201705,-1.48,-1.69
201706,-1.68,-1.95
201707,-0.69,-1.04
201708,-1.28,-1.54
201709,-1.67,-1.89
201710,-2.41,-2.50
201711,-3.21,-3.32
201712,-3.75,-3.80
201801,-4.15,-4.17
201802,-4.04,-4.15
201803,-4.35,-4.49
201804,-5.24,-5.42
201805,-5.64,-5.85
201806,-5.85,-6.12
201807,-4.76,-5.11
201808,-4.49,-4.75
201809,-4.54,-4.76
201810,1.51,1.42
201811,0.95,0.84
201812,0.49,0.44
201901,0.60,0.58
201902,1.76,1.65
201903,1.66,1.52
201904,1.46,1.28
201905,1.96,1.75
201906,2.05,1.78
201907,-0.84,-1.19
201908,-1.91,-2.17
201909,-1.39,-1.61
201910,-1.94,-2.03
201911,1.48,1.37
201912,1.74,1.69
202001,1.20,1.18
202002,1.15,1.04
202003,1.87,1.73
202004,1.83,1.65
202005,2.06,1.85
202006,-0.15,-0.42
202007,-1.21,-1.56
202008,-2.57,-2.83
202009,-3.39,-3.61
202010,-3.91,-4.00
202011,-4.15,-4.26
202012,-4.33,-4.38
202101,-3.93,-3.95
202102,-4.25,-4.36
202103,-4.16,-4.30
202104,-4.74,-4.92
202105,-5.26,-5.47
202106,-5.65,-5.92
202107,-3.46,-3.81
202108,-3.19,-3.45
202109,-2.91,-3.13
202110,-2.72,-2.81
202111,-3.37,-3.48
202112,-2.81,-2.86
202201,-3.15,-3.17
202202,-3.34,-3.45
202203,-3.52,-3.66
202204,-4.31,-4.49
