Minnesota, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.34,1.98
201002,2.22,1.78
201003,-0.37,-0.68
201004,-1.36,-1.62
201005,-1.31,-1.59
201006,0.61,0.36
201007,1.43,1.20
201008,1.89,1.62
201009,3.97,3.65
201010,3.98,3.57
201011,4.13,3.70
201012,4.73,4.38
201101,4.73,4.37
201102,4.44,4.00
201103,4.08,3.77
201104,4.05,3.79
201105,4.32,4.04
201106,4.04,3.79
201107,4.23,4.00
201108,-0.40,-0.67
201109,-1.22,-1.54
201110,-1.95,-2.36
201111,-2.76,-3.19
201112,-3.21,-3.56
201201,-3.63,-3.99
201202,-3.47,-3.91
201203,-4.26,-4.57
201204,-4.00,-4.26
201205,-2.18,-2.46
201206,-1.92,-2.17
201207,-2.00,-2.23
201208,-2.71,-2.98
201209,-3.77,-4.09
201210,-3.57,-3.98
201211,-3.86,-4.29
201212,-3.69,-4.04
201301,-3.49,-3.85
201302,0.14,-0.30
201303,0.37,0.06
201304,1.43,1.17
201305,2.15,1.87
201306,2.61,2.36
201307,-0.20,-0.43
201308,-1.18,-1.45
201309,-1.59,-1.91
201310,0.63,0.22
201311,0.14,-0.29
201312,0.48,0.13
201401,0.59,0.23
201402,0.87,0.43
201403,0.64,0.33
201404,1.79,1.53
201405,1.88,1.60
201406,3.83,3.58
201407,-0.29,-0.52
201408,-0.12,-0.39
201409,-0.38,-0.70
201410,-0.80,-1.21
201411,-1.18,-1.61
201412,-1.31,-1.66
201501,-1.57,-1.93
201502,-1.75,-2.19
201503,-2.30,-2.61
201504,-2.77,-3.03
201505,1.30,1.02
201506,1.04,0.79
201507,1.34,1.11
201508,1.54,1.27
201509,1.08,0.76
201510,1.00,0.59
201511,1.63,1.20
201512,2.57,2.22
201601,2.39,2.03
201602,2.39,1.95
201603,2.54,2.23
201604,2.27,2.01
201605,1.57,1.29
201606,1.33,1.08
201607,2.65,2.42
201608,3.51,3.24
201609,4.28,3.96
201610,4.25,3.84
201611,4.18,3.75
201612,4.63,4.28
201701,4.58,4.22
201702,4.55,4.11
201703,3.89,3.58
201704,3.56,3.30
201705,3.34,3.06
201706,2.83,2.58
201707,2.15,1.92
201708,3.01,2.74
201709,3.13,2.81
201710,3.67,3.26
201711,3.26,2.83
201712,3.13,2.78
201801,2.92,2.56
201802,3.10,2.66
201803,2.86,2.55
201804,2.55,2.29
201805,1.66,1.38
201806,2.13,1.88
201807,2.43,2.20
201808,2.02,1.75
201809,2.60,2.28
201810,3.69,3.28
201811,3.66,3.23
201812,3.97,3.62
201901,3.73,3.37
201902,4.40,3.96
201903,4.39,4.08
201904,4.35,4.09
201905,4.80,4.52
201906,4.06,3.81
201907,4.30,4.07
201908,3.91,3.64
201909,5.22,4.90
201910,6.51,6.10
201911,6.26,5.83
201912,6.68,6.33
202001,6.35,5.99
202002,-0.08,-0.52
202003,0.09,-0.22
202004,-0.35,-0.61
202005,-0.81,-1.09
202006,-0.99,-1.24
202007,0.62,0.39
202008,1.11,0.84
202009,-0.62,-0.94
202010,-0.29,-0.70
202011,-0.37,-0.80
202012,-0.37,-0.72
202101,-0.34,-0.70
202102,-0.41,-0.85
202103,-0.36,-0.67
202104,-0.11,-0.37
202105,-0.90,-1.18
202106,-2.47,-2.72
202107,-3.77,-4.00
202108,-3.63,-3.90
202109,-3.72,-4.04
202110,-3.26,-3.67
202111,-3.36,-3.79
202112,-2.51,-2.86
202201,-2.54,-2.90
202202,-2.28,-2.72
202203,-2.13,-2.44
202204,-0.59,-0.85
