Mississippi, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.03,0.20
201002,-0.12,0.08
201003,-0.62,-0.38
201004,-1.20,-1.03
201005,-0.89,-0.80
201006,-1.23,-1.10
201007,-1.60,-1.36
201008,-1.41,-1.34
201009,-2.33,-2.21
201010,-2.56,-2.47
201011,-2.09,-1.87
201012,-2.84,-2.64
201101,-2.73,-2.56
201102,-3.18,-2.98
201103,-2.73,-2.49
201104,-2.28,-2.11
201105,-2.77,-2.68
201106,-3.11,-2.98
201107,-2.95,-2.71
201108,-3.53,-3.46
201109,-1.76,-1.64
201110,-1.87,-1.78
201111,-1.83,-1.61
201112,-1.49,-1.29
201201,-1.72,-1.55
201202,-1.46,-1.26
201203,-1.50,-1.26
201204,-1.87,-1.70
201205,-2.25,-2.16
201206,-2.26,-2.13
201207,0.39,0.63
201208,2.16,2.23
201209,2.43,2.55
201210,2.51,2.60
201211,1.73,1.95
201212,1.92,2.12
201301,2.69,2.86
201302,2.97,3.17
201303,2.24,2.48
201304,2.43,2.60
201305,2.72,2.81
201306,2.50,2.63
201307,2.23,2.47
201308,1.94,2.01
201309,2.18,2.30
201310,1.75,1.84
201311,1.81,2.03
201312,1.62,1.82
201401,0.68,0.85
201402,0.90,1.10
201403,0.79,1.03
201404,1.66,1.83
201405,1.67,1.76
201406,2.47,2.60
201407,2.31,2.55
201408,2.36,2.43
201409,-0.32,-0.20
201410,0.32,0.41
201411,-0.23,-0.01
201412,-0.21,-0.01
201501,-0.31,-0.14
201502,-0.47,-0.27
201503,0.02,0.26
201504,0.12,0.29
201505,0.50,0.59
201506,0.47,0.60
201507,-0.28,-0.04
201508,-0.54,-0.47
201509,-1.26,-1.14
201510,0.54,0.63
201511,1.13,1.35
201512,1.26,1.46
201601,0.71,0.88
201602,0.65,0.85
201603,1.75,1.99
201604,1.65,1.82
201605,-0.56,-0.47
201606,-0.82,-0.69
201607,-1.02,-0.78
201608,0.45,0.52
201609,-0.81,-0.69
201610,-1.70,-1.61
201611,-1.99,-1.77
201612,-2.03,-1.83
201701,-1.58,-1.41
201702,-2.31,-2.11
201703,-2.78,-2.54
201704,-0.04,0.13
201705,0.64,0.73
201706,2.40,2.53
201707,2.27,2.51
201708,3.46,3.53
201709,-0.02,0.10
201710,0.06,0.15
201711,-0.89,-0.67
201712,-0.96,-0.76
201801,-1.23,-1.06
201802,1.24,1.44
201803,0.92,1.16
201804,1.35,1.52
201805,-0.54,-0.45
201806,-0.78,-0.65
201807,-1.04,-0.80
201808,0.10,0.17
201809,0.80,0.92
201810,0.56,0.65
201811,1.10,1.32
201812,1.74,1.94
201901,1.80,1.97
201902,2.20,2.40
201903,1.23,1.47
201904,2.01,2.18
201905,2.04,2.13
201906,2.26,2.39
201907,2.70,2.94
201908,3.28,3.35
201909,1.88,2.00
201910,3.70,3.79
201911,2.98,3.20
201912,2.61,2.81
202001,3.19,3.36
202002,4.10,4.30
202003,3.36,3.60
202004,3.55,3.72
202005,3.00,3.09
202006,3.47,3.60
202007,3.55,3.79
202008,3.83,3.90
202009,3.59,3.71
202010,3.94,4.03
202011,3.02,3.24
202012,2.53,2.73
202101,1.81,1.98
202102,1.71,1.91
202103,1.93,2.17
202104,2.31,2.48
202105,2.28,2.37
202106,3.93,4.06
202107,4.45,4.69
202108,5.80,5.87
202109,5.86,5.98
202110,5.41,5.50
202111,4.09,4.31
202112,2.95,3.15
202201,2.29,2.46
202202,2.01,2.21
202203,1.98,2.22
202204,1.96,2.13
