Missouri, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.26,4.92
201002,4.70,4.44
201003,4.21,4.05
201004,3.57,3.38
201005,3.92,3.77
201006,3.43,3.14
201007,4.28,4.00
201008,3.59,3.31
201009,4.52,4.07
201010,3.44,3.15
201011,3.28,2.97
201012,2.57,2.42
201101,2.05,1.71
201102,2.64,2.38
201103,2.41,2.25
201104,3.53,3.34
201105,3.83,3.68
201106,-0.24,-0.53
201107,-0.81,-1.09
201108,-0.89,-1.17
201109,-1.21,-1.66
201110,-1.98,-2.27
201111,-1.35,-1.66
201112,-0.76,-0.91
201201,-0.87,-1.21
201202,-0.70,-0.96
201203,-0.89,-1.05
201204,-1.00,-1.19
201205,-2.03,-2.18
201206,-2.82,-3.11
201207,-3.90,-4.18
201208,-4.31,-4.59
201209,-3.76,-4.21
201210,-3.44,-3.73
201211,-3.82,-4.13
201212,-4.11,-4.26
201301,0.27,-0.07
201302,0.87,0.61
201303,1.06,0.90
201304,2.01,1.82
201305,2.60,2.45
201306,2.33,2.04
201307,2.11,1.83
201308,2.18,1.90
201309,-0.46,-0.91
201310,-0.28,-0.57
201311,-0.36,-0.67
201312,-0.19,-0.34
201401,-0.40,-0.74
201402,-0.61,-0.87
201403,-1.04,-1.20
201404,0.50,0.31
201405,-0.56,-0.71
201406,0.47,0.18
201407,0.37,0.09
201408,0.69,0.41
201409,0.76,0.31
201410,1.80,1.51
201411,1.71,1.40
201412,1.62,1.47
201501,1.27,0.93
201502,1.10,0.84
201503,0.96,0.80
201504,0.64,0.45
201505,1.46,1.31
201506,2.17,1.88
201507,3.67,3.39
201508,3.80,3.52
201509,3.06,2.61
201510,2.23,1.94
201511,3.55,3.24
201512,5.31,5.16
201601,4.46,4.12
201602,3.51,3.25
201603,2.78,2.62
201604,2.36,2.17
201605,2.58,2.43
201606,1.51,1.22
201607,2.28,2.00
201608,3.18,2.90
201609,3.11,2.66
201610,-0.34,-0.63
201611,-0.89,-1.20
201612,-1.26,-1.41
201701,-1.18,-1.52
201702,-1.93,-2.19
201703,0.07,-0.09
201704,2.10,1.91
201705,2.34,2.19
201706,2.04,1.75
201707,1.83,1.55
201708,2.36,2.08
201709,-0.88,-1.33
201710,-0.75,-1.04
201711,-1.50,-1.81
201712,-2.14,-2.29
201801,-2.29,-2.63
201802,-0.87,-1.13
201803,-0.57,-0.73
201804,-0.87,-1.06
201805,-1.39,-1.54
201806,-1.70,-1.99
201807,-2.07,-2.35
201808,0.55,0.27
201809,0.20,-0.25
201810,0.60,0.31
201811,0.61,0.30
201812,1.17,1.02
201901,1.61,1.27
201902,2.28,2.02
201903,2.54,2.38
201904,2.10,1.91
201905,3.81,3.66
201906,3.84,3.55
201907,3.90,3.62
201908,4.66,4.38
201909,4.07,3.62
201910,4.52,4.23
201911,4.50,4.19
201912,3.86,3.71
202001,4.56,4.22
202002,4.38,4.12
202003,4.66,4.50
202004,4.35,4.16
202005,4.57,4.42
202006,3.75,3.46
202007,4.11,3.83
202008,3.62,3.34
202009,3.09,2.64
202010,3.04,2.75
202011,2.70,2.39
202012,2.21,2.06
202101,2.65,2.31
202102,2.09,1.83
202103,2.45,2.29
202104,2.46,2.27
202105,2.42,2.27
202106,2.45,2.16
202107,2.83,2.55
202108,2.51,2.23
202109,1.74,1.29
202110,2.34,2.05
202111,1.66,1.35
202112,1.27,1.12
202201,1.17,0.83
202202,1.58,1.32
202203,1.84,1.68
202204,2.05,1.86
