Montana, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-0.75,-1.23
201002,-1.16,-1.65
201003,-2.01,-2.42
201004,0.10,-0.29
201005,1.39,0.91
201006,1.92,1.46
201007,2.23,1.70
201008,3.04,2.49
201009,3.23,2.82
201010,2.50,2.10
201011,2.95,2.52
201012,3.22,2.84
201101,3.69,3.21
201102,4.19,3.70
201103,4.62,4.21
201104,5.20,4.81
201105,7.14,6.66
201106,6.97,6.51
201107,6.63,6.10
201108,-0.22,-0.77
201109,-1.07,-1.48
201110,-0.54,-0.94
201111,-0.58,-1.01
201112,-0.94,-1.32
201201,-1.10,-1.58
201202,-1.28,-1.77
201203,-1.78,-2.19
201204,-1.74,-2.13
201205,-1.48,-1.96
201206,-1.93,-2.39
201207,-2.25,-2.78
201208,-3.03,-3.58
201209,-3.98,-4.39
201210,-3.03,-3.43
201211,-2.62,-3.05
201212,-2.40,-2.78
201301,-2.44,-2.92
201302,-2.73,-3.22
201303,-3.00,-3.41
201304,0.14,-0.25
201305,1.21,0.73
201306,1.35,0.89
201307,1.40,0.87
201308,1.28,0.73
201309,1.73,1.32
201310,1.69,1.29
201311,1.31,0.88
201312,1.25,0.87
201401,1.01,0.53
201402,1.39,0.90
201403,2.36,1.95
201404,2.18,1.79
201405,1.70,1.22
201406,1.91,1.45
201407,1.44,0.91
201408,2.86,2.31
201409,-0.16,-0.57
201410,-0.61,-1.01
201411,0.60,0.17
201412,0.67,0.29
201501,0.65,0.17
201502,0.61,0.12
201503,-0.64,-1.05
201504,-1.07,-1.46
201505,-0.90,-1.38
201506,-1.74,-2.20
201507,-1.72,-2.25
201508,-2.07,-2.62
201509,-2.21,-2.62
201510,-2.19,-2.59
201511,-1.99,-2.42
201512,-1.71,-2.09
201601,-1.98,-2.46
201602,-2.31,-2.80
201603,-2.86,-3.27
201604,-2.55,-2.94
201605,-1.89,-2.37
201606,-2.66,-3.12
201607,-2.29,-2.82
201608,-2.41,-2.96
201609,0.66,0.25
201610,2.20,1.80
201611,1.30,0.87
201612,1.41,1.03
201701,1.11,0.63
201702,1.59,1.10
201703,2.01,1.60
201704,2.25,1.86
201705,-0.59,-1.07
201706,-1.31,-1.77
201707,-2.50,-3.03
201708,-3.58,-4.13
201709,0.23,-0.18
201710,0.12,-0.28
201711,0.30,-0.13
201712,0.48,0.10
201801,0.20,-0.28
201802,0.87,0.38
201803,1.28,0.87
201804,1.94,1.55
201805,1.74,1.26
201806,2.06,1.60
201807,-0.14,-0.67
201808,-0.44,-0.99
201809,-0.65,-1.06
201810,-0.41,-0.81
201811,-0.21,-0.64
201812,-0.43,-0.81
201901,-0.70,-1.18
201902,0.52,0.03
201903,0.21,-0.20
201904,0.64,0.25
201905,1.04,0.56
201906,0.90,0.44
201907,1.50,0.97
201908,1.71,1.16
201909,3.13,2.72
201910,3.55,3.15
201911,3.52,3.09
201912,3.26,2.88
202001,3.30,2.82
202002,3.61,3.12
202003,3.56,3.15
202004,3.24,2.85
202005,3.05,2.57
202006,3.15,2.69
202007,2.96,2.43
202008,-0.67,-1.22
202009,-1.16,-1.57
202010,-0.15,-0.55
202011,-0.09,-0.52
202012,-0.47,-0.85
202101,-0.91,-1.39
202102,-0.74,-1.23
202103,-1.63,-2.04
202104,-1.99,-2.38
202105,-1.67,-2.15
202106,-3.16,-3.62
202107,-4.49,-5.02
202108,-4.17,-4.72
202109,-4.86,-5.27
202110,-4.39,-4.79
202111,-4.65,-5.08
202112,-4.32,-4.70
202201,-4.61,-5.09
202202,-4.87,-5.36
202203,-5.56,-5.97
202204,-4.70,-5.09
