Nevada, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.35,0.44
201002,0.27,0.28
201003,0.11,0.11
201004,0.59,0.54
201005,1.09,1.01
201006,-0.26,-0.33
201007,-0.51,-0.57
201008,-0.98,-0.92
201009,-1.32,-1.28
201010,1.33,1.31
201011,1.52,1.65
201012,2.89,2.96
201101,2.26,2.35
201102,2.21,2.22
201103,2.50,2.50
201104,2.75,2.70
201105,3.53,3.45
201106,4.00,3.93
201107,4.50,4.44
201108,-0.21,-0.15
201109,-0.35,-0.31
201110,-0.23,-0.25
201111,-0.63,-0.50
201112,-1.43,-1.36
201201,-1.75,-1.66
201202,-2.26,-2.25
201203,-2.52,-2.52
201204,-2.86,-2.91
201205,-4.12,-4.20
201206,-5.23,-5.30
201207,-5.28,-5.34
201208,-4.66,-4.60
201209,-4.41,-4.37
201210,-4.18,-4.20
201211,-4.44,-4.31
201212,-3.35,-3.28
201301,-3.29,-3.20
201302,-3.45,-3.44
201303,-4.08,-4.08
201304,-4.41,-4.46
201305,-4.77,-4.85
201306,-5.55,-5.62
201307,-5.59,-5.65
201308,-5.36,-5.30
201309,-3.89,-3.85
201310,-3.55,-3.57
201311,-3.53,-3.40
201312,-3.58,-3.51
201401,-4.12,-4.03
201402,-4.10,-4.09
201403,-4.20,-4.20
201404,-4.29,-4.34
201405,-4.89,-4.97
201406,-5.86,-5.93
201407,-5.99,-6.05
201408,-4.55,-4.49
201409,-3.50,-3.46
201410,-3.99,-4.01
201411,-3.95,-3.82
201412,-3.51,-3.44
201501,-4.03,-3.94
201502,-4.72,-4.71
201503,-5.75,-5.75
201504,-5.97,-6.02
201505,-5.23,-5.31
201506,-6.12,-6.19
201507,-5.63,-5.69
201508,-5.53,-5.47
201509,-5.41,-5.37
201510,0.78,0.76
201511,1.16,1.29
201512,1.40,1.47
201601,2.00,2.09
201602,-0.41,-0.40
201603,-0.65,-0.65
201604,-0.25,-0.30
201605,-0.08,-0.16
201606,-0.34,-0.41
201607,-0.95,-1.01
201608,-1.40,-1.34
201609,-1.26,-1.22
201610,-0.67,-0.69
201611,-1.28,-1.15
201612,0.78,0.85
201701,2.40,2.49
201702,2.78,2.79
201703,2.41,2.41
201704,2.43,2.38
201705,2.20,2.12
201706,2.22,2.15
201707,2.01,1.95
201708,1.66,1.72
201709,1.95,1.99
201710,-0.57,-0.59
201711,-0.92,-0.79
201712,-1.77,-1.70
201801,-2.30,-2.21
201802,-2.85,-2.84
201803,-2.41,-2.41
201804,-2.58,-2.63
201805,-2.71,-2.79
201806,-3.82,-3.89
201807,-4.19,-4.25
201808,-4.56,-4.50
201809,-4.88,-4.84
201810,0.33,0.31
201811,0.14,0.27
201812,0.02,0.09
201901,0.11,0.20
201902,1.36,1.37
201903,2.22,2.22
201904,2.22,2.17
201905,3.92,3.84
201906,4.45,4.38
201907,4.80,4.74
201908,-0.35,-0.29
201909,-0.01,0.03
201910,-0.42,-0.44
201911,-0.52,-0.39
201912,-0.14,-0.07
202001,-0.57,-0.48
202002,-1.21,-1.20
202003,-1.11,-1.11
202004,-1.40,-1.45
202005,-2.17,-2.25
202006,-2.64,-2.71
202007,-3.39,-3.45
202008,-4.00,-3.94
202009,-4.38,-4.34
202010,-4.83,-4.85
202011,-4.64,-4.51
202012,-4.61,-4.54
202101,-4.45,-4.36
202102,-4.39,-4.38
202103,-4.21,-4.21
202104,-4.46,-4.51
202105,-4.92,-5.00
202106,-5.89,-5.96
202107,-5.96,-6.02
202108,-6.11,-6.05
202109,-6.00,-5.96
202110,-4.13,-4.15
202111,-4.74,-4.61
202112,-3.33,-3.26
202201,-3.81,-3.72
202202,-4.15,-4.14
202203,-4.49,-4.49
202204,-4.53,-4.58
