New Hampshire, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.39,3.76
201002,3.63,4.04
201003,4.76,5.02
201004,3.56,3.79
201005,2.44,2.80
201006,2.29,2.63
201007,1.69,1.88
201008,1.36,1.51
201009,0.67,0.75
201010,2.05,2.18
201011,1.65,1.96
201012,1.72,2.08
201101,1.24,1.61
201102,1.37,1.78
201103,1.86,2.12
201104,2.43,2.66
201105,2.52,2.88
201106,2.48,2.82
201107,1.63,1.82
201108,3.76,3.91
201109,4.32,4.40
201110,4.99,5.12
201111,-0.44,-0.13
201112,-0.18,0.18
201201,-0.21,0.16
201202,-1.12,-0.71
201203,-1.99,-1.73
201204,-2.15,-1.92
201205,0.53,0.89
201206,1.08,1.42
201207,0.50,0.69
201208,0.71,0.86
201209,1.10,1.18
201210,1.77,1.90
201211,-1.28,-0.97
201212,0.71,1.07
201301,-0.54,-0.17
201302,-0.41,0.00
201303,-0.87,-0.61
201304,-1.41,-1.18
201305,0.53,0.89
201306,1.72,2.06
201307,2.29,2.48
201308,2.05,2.20
201309,2.45,2.53
201310,1.51,1.64
201311,1.34,1.65
201312,1.19,1.55
201401,1.12,1.49
201402,1.38,1.79
201403,1.54,1.80
201404,1.06,1.29
201405,1.18,1.54
201406,1.01,1.35
201407,2.37,2.56
201408,2.27,2.42
201409,1.34,1.42
201410,1.83,1.96
201411,1.37,1.68
201412,1.96,2.32
201501,0.01,0.38
201502,-0.27,0.14
201503,-1.03,-0.77
201504,-1.29,-1.06
201505,-2.15,-1.79
201506,1.28,1.62
201507,1.11,1.30
201508,0.87,1.02
201509,1.15,1.23
201510,1.39,1.52
201511,-0.84,-0.53
201512,-0.15,0.21
201601,-0.68,-0.31
201602,0.91,1.32
201603,-0.14,0.12
201604,-0.60,-0.37
201605,-1.15,-0.79
201606,-1.58,-1.24
201607,-1.82,-1.63
201608,-1.79,-1.64
201609,-2.56,-2.48
201610,-2.26,-2.13
201611,-2.68,-2.37
201612,0.20,0.56
201701,-0.20,0.17
201702,-0.09,0.32
201703,-0.23,0.03
201704,0.13,0.36
201705,1.17,1.53
201706,1.57,1.91
201707,1.47,1.66
201708,1.41,1.56
201709,0.81,0.89
201710,2.02,2.15
201711,-0.79,-0.48
201712,-0.80,-0.44
201801,0.33,0.70
201802,0.54,0.95
201803,0.19,0.45
201804,0.83,1.06
201805,-1.02,-0.66
201806,-1.20,-0.86
201807,0.19,0.38
201808,0.84,0.99
201809,1.06,1.14
201810,1.55,1.68
201811,2.96,3.27
201812,2.58,2.94
201901,3.15,3.52
201902,2.81,3.22
201903,1.77,2.03
201904,2.51,2.74
201905,2.59,2.95
201906,2.92,3.26
201907,2.42,2.61
201908,2.28,2.43
201909,1.49,1.57
201910,2.04,2.17
201911,1.79,2.10
201912,2.16,2.52
202001,1.70,2.07
202002,1.73,2.14
202003,1.29,1.55
202004,1.79,2.02
202005,-0.44,-0.08
202006,-1.12,-0.78
202007,-1.05,-0.86
202008,-1.65,-1.50
202009,-2.54,-2.46
202010,-1.84,-1.71
202011,-2.19,-1.88
202012,-1.44,-1.08
202101,-1.76,-1.39
202102,-1.72,-1.31
202103,-2.28,-2.02
202104,-2.07,-1.84
202105,-2.26,-1.90
202106,-2.96,-2.62
202107,2.82,3.01
202108,2.44,2.59
202109,2.49,2.57
202110,2.70,2.83
202111,1.91,2.22
202112,1.62,1.98
202201,0.99,1.36
202202,1.62,2.03
202203,1.30,1.56
202204,1.50,1.73
