New Jersey, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.13,3.18
201002,3.57,3.55
201003,4.74,4.77
201004,-0.73,-0.67
201005,-1.02,-0.88
201006,-1.72,-1.73
201007,-2.08,-2.11
201008,-2.84,-2.91
201009,-3.07,-3.26
201010,-2.36,-2.53
201011,-2.73,-2.58
201012,-2.53,-2.53
201101,0.00,0.05
201102,0.02,0.00
201103,0.58,0.61
201104,1.03,1.09
201105,0.71,0.85
201106,0.40,0.39
201107,0.04,0.01
201108,3.36,3.29
201109,4.11,3.92
201110,4.22,4.05
201111,3.79,3.94
201112,3.56,3.56
201201,-0.27,-0.22
201202,-1.14,-1.16
201203,-2.25,-2.22
201204,-2.48,-2.42
201205,-2.35,-2.21
201206,-1.90,-1.91
201207,-2.08,-2.11
201208,-2.03,-2.10
201209,0.09,-0.10
201210,0.74,0.57
201211,0.04,0.19
201212,0.66,0.66
201301,-0.15,-0.10
201302,-0.17,-0.19
201303,-0.50,-0.47
201304,-0.96,-0.90
201305,-0.95,-0.81
201306,2.20,2.19
201307,2.22,2.19
201308,2.21,2.14
201309,-0.40,-0.59
201310,-0.95,-1.12
201311,-1.20,-1.05
201312,0.42,0.42
201401,0.29,0.34
201402,1.18,1.16
201403,1.21,1.24
201404,1.29,1.35
201405,1.32,1.46
201406,-0.21,-0.22
201407,0.27,0.24
201408,-0.04,-0.11
201409,-0.48,-0.67
201410,-0.50,-0.67
201411,0.20,0.35
201412,0.53,0.53
201501,0.88,0.93
201502,0.45,0.43
201503,0.76,0.79
201504,-0.49,-0.43
201505,-1.59,-1.45
201506,1.54,1.53
201507,-0.17,-0.20
201508,-0.91,-0.98
201509,-1.17,-1.36
201510,-1.00,-1.17
201511,-1.60,-1.45
201512,-1.39,-1.39
201601,-1.30,-1.25
201602,-0.74,-0.76
201603,-1.69,-1.66
201604,-2.12,-2.06
201605,-1.65,-1.51
201606,-2.05,-2.06
201607,-1.23,-1.26
201608,-2.00,-2.07
201609,-2.17,-2.36
201610,-2.46,-2.63
201611,-2.93,-2.78
201612,-2.95,-2.95
201701,-2.58,-2.53
201702,-3.11,-3.13
201703,-2.71,-2.68
201704,-2.70,-2.64
201705,0.82,0.96
201706,0.54,0.53
201707,1.05,1.02
201708,1.27,1.20
201709,-0.46,-0.65
201710,-0.04,-0.21
201711,-0.59,-0.44
201712,-1.18,-1.18
201801,-1.29,-1.24
201802,1.24,1.22
201803,1.43,1.46
201804,1.50,1.56
201805,1.72,1.86
201806,1.35,1.34
201807,1.62,1.59
201808,1.68,1.61
201809,2.59,2.40
201810,2.93,2.76
201811,4.37,4.52
201812,4.72,4.72
201901,4.66,4.71
201902,4.28,4.26
201903,3.82,3.85
201904,3.27,3.33
201905,3.72,3.86
201906,3.85,3.84
201907,3.98,3.95
201908,-0.14,-0.21
201909,-0.98,-1.17
201910,0.60,0.43
201911,0.11,0.26
201912,0.73,0.73
202001,-0.49,-0.44
202002,-0.69,-0.71
202003,-0.97,-0.94
202004,-0.75,-0.69
202005,-1.12,-0.98
202006,-1.37,-1.38
202007,0.41,0.38
202008,0.72,0.65
202009,0.84,0.65
202010,1.43,1.26
202011,1.36,1.51
202012,1.85,1.85
202101,1.08,1.13
202102,1.78,1.76
202103,-0.18,-0.15
202104,-0.82,-0.76
202105,-0.81,-0.67
202106,-0.97,-0.98
202107,0.97,0.94
202108,1.60,1.53
202109,2.32,2.13
202110,2.70,2.53
202111,-0.77,-0.62
202112,-1.58,-1.58
202201,-1.40,-1.35
202202,-1.45,-1.47
202203,-1.89,-1.86
202204,-1.26,-1.20
