New Mexico, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.07,0.96
201002,1.67,1.48
201003,1.89,1.71
201004,2.14,1.86
201005,1.76,1.51
201006,1.54,1.16
201007,2.68,2.17
201008,-0.23,-0.60
201009,-0.66,-0.89
201010,-0.97,-1.21
201011,-1.37,-1.53
201012,-1.56,-1.75
201101,-2.02,-2.13
201102,-2.05,-2.24
201103,-2.97,-3.15
201104,-3.75,-4.03
201105,-4.36,-4.61
201106,-5.26,-5.64
201107,-5.65,-6.16
201108,-6.03,-6.40
201109,-5.61,-5.84
201110,-5.15,-5.39
201111,-4.86,-5.02
201112,-3.29,-3.48
201201,-3.47,-3.58
201202,-3.40,-3.59
201203,-3.72,-3.90
201204,-4.22,-4.50
201205,-4.35,-4.60
201206,-5.03,-5.41
201207,-5.04,-5.55
201208,-5.50,-5.87
201209,-5.40,-5.63
201210,-5.63,-5.87
201211,-5.73,-5.89
201212,-5.31,-5.50
201301,-4.89,-5.00
201302,-4.59,-4.78
201303,-4.74,-4.92
201304,-5.14,-5.42
201305,-5.72,-5.97
201306,-6.12,-6.50
201307,-4.60,-5.11
201308,-4.56,-4.93
201309,-2.30,-2.53
201310,-2.39,-2.63
201311,-1.98,-2.14
201312,-2.06,-2.25
201401,-2.62,-2.73
201402,-3.16,-3.35
201403,-3.56,-3.74
201404,-3.96,-4.24
201405,-3.89,-4.14
201406,-4.50,-4.88
201407,0.54,0.03
201408,0.17,-0.20
201409,1.11,0.88
201410,0.45,0.21
201411,0.37,0.21
201412,0.21,0.02
201501,0.83,0.72
201502,0.63,0.44
201503,0.34,0.16
201504,0.22,-0.06
201505,1.44,1.19
201506,1.51,1.13
201507,2.58,2.07
201508,1.79,1.42
201509,0.84,0.61
201510,2.01,1.77
201511,2.11,1.95
201512,2.20,2.01
201601,-0.06,-0.17
201602,-0.63,-0.82
201603,-1.53,-1.71
201604,-1.45,-1.73
201605,-1.44,-1.69
201606,-1.62,-2.00
201607,-2.69,-3.20
201608,-1.84,-2.21
201609,-1.68,-1.91
201610,-2.44,-2.68
201611,0.40,0.24
201612,0.59,0.40
201701,1.47,1.36
201702,-0.35,-0.54
201703,-1.09,-1.27
201704,-1.03,-1.31
201705,-1.20,-1.45
201706,-1.38,-1.76
201707,0.18,-0.33
201708,0.54,0.17
201709,0.89,0.66
201710,-0.16,-0.40
201711,-1.09,-1.25
201712,-1.73,-1.92
201801,-2.30,-2.41
201802,-2.35,-2.54
201803,-3.04,-3.22
201804,-3.86,-4.14
201805,-4.62,-4.87
201806,-4.97,-5.35
201807,-4.64,-5.15
201808,-4.83,-5.20
201809,-4.45,-4.68
201810,-2.69,-2.93
201811,-2.60,-2.76
201812,-2.16,-2.35
201901,-2.07,-2.18
201902,-1.89,-2.08
201903,-1.46,-1.64
201904,-1.11,-1.39
201905,-1.03,-1.28
201906,-1.25,-1.63
201907,-1.81,-2.32
201908,-2.74,-3.11
201909,-2.93,-3.16
201910,-2.49,-2.73
201911,-1.25,-1.41
201912,-1.14,-1.33
202001,-1.23,-1.34
202002,-0.96,-1.15
202003,-0.66,-0.84
202004,-0.95,-1.23
202005,-1.85,-2.10
202006,-2.52,-2.90
202007,-2.68,-3.19
202008,-4.27,-4.64
202009,-4.63,-4.86
202010,-4.73,-4.97
202011,-4.88,-5.04
202012,-4.70,-4.89
202101,-4.48,-4.59
202102,-4.26,-4.45
202103,-4.05,-4.23
202104,-4.21,-4.49
202105,-4.24,-4.49
202106,-3.88,-4.26
202107,-3.08,-3.59
202108,-3.05,-3.42
202109,-3.35,-3.58
202110,-3.53,-3.77
202111,-3.98,-4.14
202112,-4.14,-4.33
202201,-4.17,-4.28
202202,-4.04,-4.23
202203,-4.02,-4.20
202204,-4.85,-5.13
