Arkansas, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,6.01,6.05
201002,-0.11,0.09
201003,-0.66,-0.40
201004,-1.19,-1.17
201005,-0.93,-0.85
201006,-1.48,-1.54
201007,-1.44,-1.48
201008,-2.11,-2.23
201009,-2.17,-2.18
201010,-2.71,-2.60
201011,-2.71,-2.65
201012,-3.33,-3.25
201101,-3.75,-3.71
201102,-3.35,-3.15
201103,-3.68,-3.42
201104,-1.77,-1.75
201105,-0.70,-0.62
201106,-1.58,-1.64
201107,-2.60,-2.64
201108,-2.47,-2.59
201109,-2.55,-2.56
201110,-2.64,-2.53
201111,-1.57,-1.51
201112,-0.62,-0.54
201201,-0.87,-0.83
201202,-1.16,-0.96
201203,-0.91,-0.65
201204,-1.60,-1.58
201205,-2.70,-2.62
201206,-3.36,-3.42
201207,-4.01,-4.05
201208,-3.57,-3.69
201209,-2.88,-2.89
201210,-2.59,-2.48
201211,-3.11,-3.05
201212,-3.16,-3.08
201301,0.56,0.60
201302,0.53,0.73
201303,0.18,0.44
201304,0.37,0.39
201305,0.69,0.77
201306,0.41,0.35
201307,0.60,0.56
201308,0.86,0.74
201309,0.66,0.65
201310,0.98,1.09
201311,0.85,0.91
201312,1.25,1.33
201401,-0.46,-0.42
201402,-0.75,-0.55
201403,0.06,0.32
201404,0.30,0.32
201405,0.52,0.60
201406,1.19,1.13
201407,1.69,1.65
201408,1.86,1.74
201409,1.40,1.39
201410,1.78,1.89
201411,-0.24,-0.18
201412,-0.56,-0.48
201501,-0.58,-0.54
201502,-0.67,-0.47
201503,0.98,1.24
201504,1.07,1.09
201505,2.36,2.44
201506,2.08,2.02
201507,2.20,2.16
201508,2.05,1.93
201509,1.11,1.10
201510,0.96,1.07
201511,2.35,2.41
201512,3.18,3.26
201601,2.37,2.41
201602,1.56,1.76
201603,2.75,3.01
201604,2.68,2.70
201605,2.29,2.37
201606,1.70,1.64
201607,1.69,1.65
201608,2.89,2.77
201609,-0.54,-0.55
201610,-1.21,-1.10
201611,-1.66,-1.60
201612,-1.82,-1.74
201701,-1.94,-1.90
201702,-2.33,-2.13
201703,-2.34,-2.08
201704,0.97,0.99
201705,1.28,1.36
201706,1.31,1.25
201707,1.62,1.58
201708,2.75,2.63
201709,-0.57,-0.58
201710,-0.98,-0.87
201711,-1.92,-1.86
201712,-1.74,-1.66
201801,-1.82,-1.78
201802,2.38,2.58
201803,2.21,2.47
201804,2.26,2.28
201805,-0.81,-0.73
201806,-1.35,-1.41
201807,-1.83,-1.87
201808,0.89,0.77
201809,1.24,1.23
201810,1.64,1.75
201811,1.84,1.90
201812,2.65,2.73
201901,2.55,2.59
201902,3.41,3.61
201903,2.85,3.11
201904,3.53,3.55
201905,4.13,4.21
201906,4.44,4.38
201907,4.65,4.61
201908,4.96,4.84
201909,3.83,3.82
201910,4.64,4.75
201911,4.53,4.59
201912,3.48,3.56
202001,3.69,3.73
202002,3.85,4.05
202003,4.01,4.27
202004,4.05,4.07
202005,4.17,4.25
202006,3.99,3.93
202007,3.66,3.62
202008,4.58,4.46
202009,4.94,4.93
202010,5.04,5.15
202011,4.00,4.06
202012,3.65,3.73
202101,3.34,3.38
202102,2.93,3.13
202103,2.88,3.14
202104,2.91,2.93
202105,3.12,3.20
202106,3.10,3.04
202107,3.39,3.35
202108,3.20,3.08
202109,-0.54,-0.55
202110,-0.41,-0.30
202111,-1.00,-0.94
202112,-1.48,-1.40
202201,-1.43,-1.39
202202,-1.13,-0.93
202203,-0.84,-0.58
202204,0.79,0.81
