New York, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-0.60,-0.50
201002,-0.43,-0.32
201003,-0.35,-0.36
201004,-1.52,-1.52
201005,-2.07,-2.04
201006,0.85,0.79
201007,0.81,0.76
201008,1.16,1.11
201009,0.85,0.82
201010,2.39,2.36
201011,1.95,2.06
201012,1.82,2.02
201101,1.21,1.31
201102,1.69,1.80
201103,2.39,2.38
201104,4.07,4.07
201105,4.61,4.64
201106,4.35,4.29
201107,3.17,3.12
201108,5.09,5.04
201109,6.32,6.29
201110,6.46,6.43
201111,-0.36,-0.25
201112,0.14,0.34
201201,0.41,0.51
201202,-0.79,-0.68
201203,-1.93,-1.94
201204,-2.06,-2.06
201205,-1.98,-1.95
201206,-1.99,-2.05
201207,-2.23,-2.28
201208,-2.57,-2.62
201209,0.39,0.36
201210,0.93,0.90
201211,-0.96,-0.85
201212,1.13,1.33
201301,-0.36,-0.26
201302,-0.43,-0.32
201303,-1.05,-1.06
201304,-1.11,-1.11
201305,0.15,0.18
201306,2.04,1.98
201307,2.21,2.16
201308,2.26,2.21
201309,2.10,2.07
201310,1.89,1.86
201311,2.24,2.35
201312,2.24,2.44
201401,1.91,2.01
201402,1.94,2.05
201403,1.79,1.78
201404,1.71,1.71
201405,1.86,1.89
201406,2.33,2.27
201407,3.06,3.01
201408,3.00,2.95
201409,-0.60,-0.63
201410,-0.33,-0.36
201411,-0.45,-0.34
201412,-0.24,-0.04
201501,-0.45,-0.35
201502,-0.74,-0.63
201503,-1.44,-1.45
201504,-1.50,-1.50
201505,-2.15,-2.12
201506,2.03,1.97
201507,0.01,-0.04
201508,-0.36,-0.41
201509,0.19,0.16
201510,0.43,0.40
201511,-0.82,-0.71
201512,-0.56,-0.36
201601,-1.07,-0.97
201602,1.11,1.22
201603,-0.79,-0.80
201604,-1.06,-1.06
201605,-1.53,-1.50
201606,-1.82,-1.88
201607,-2.00,-2.05
201608,-1.76,-1.81
201609,-2.49,-2.52
201610,0.52,0.49
201611,-0.47,-0.36
201612,0.16,0.36
201701,0.49,0.59
201702,0.71,0.82
201703,0.91,0.90
201704,1.30,1.30
201705,2.21,2.24
201706,2.58,2.52
201707,3.20,3.15
201708,2.97,2.92
201709,2.07,2.04
201710,2.57,2.54
201711,2.13,2.24
201712,1.59,1.79
201801,1.80,1.90
201802,2.00,2.11
201803,1.81,1.80
201804,2.30,2.30
201805,1.33,1.36
201806,0.98,0.92
201807,1.13,1.08
201808,1.69,1.64
201809,2.01,1.98
201810,2.65,2.62
201811,3.93,4.04
201812,3.58,3.78
201901,4.12,4.22
201902,3.80,3.91
201903,2.83,2.82
201904,3.04,3.04
201905,3.52,3.55
201906,3.89,3.83
201907,3.38,3.33
201908,3.20,3.15
201909,2.42,2.39
201910,3.47,3.44
201911,3.41,3.52
201912,3.50,3.70
202001,3.15,3.25
202002,3.12,3.23
202003,-0.33,-0.34
202004,-0.28,-0.28
202005,-0.51,-0.48
202006,-1.19,-1.25
202007,-1.21,-1.26
202008,-0.82,-0.87
202009,-1.39,-1.42
202010,-1.23,-1.26
202011,-1.76,-1.65
202012,-1.14,-0.94
202101,-1.40,-1.30
202102,-1.41,-1.30
202103,-2.13,-2.14
202104,-2.03,-2.03
202105,-2.11,-2.08
202106,-2.24,-2.30
202107,2.36,2.31
202108,3.03,2.98
202109,3.45,3.42
202110,4.54,4.51
202111,3.81,3.92
202112,3.11,3.31
202201,2.40,2.50
202202,2.93,3.04
202203,2.61,2.60
202204,3.05,3.05
