North Carolina, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.91,2.93
201002,2.71,2.72
201003,-0.10,-0.09
201004,-1.10,-1.18
201005,-1.12,-1.05
201006,-1.62,-1.72
201007,-2.40,-2.49
201008,-2.87,-2.92
201009,-1.79,-1.76
201010,-1.79,-1.84
201011,-2.21,-2.12
201012,-2.10,-2.00
201101,-2.54,-2.52
201102,-2.86,-2.85
201103,-2.24,-2.23
201104,-2.14,-2.22
201105,-2.33,-2.26
201106,-2.79,-2.89
201107,-3.46,-3.55
201108,-2.94,-2.99
201109,-2.40,-2.37
201110,-2.24,-2.29
201111,-1.64,-1.55
201112,-1.99,-1.89
201201,-2.25,-2.23
201202,-2.74,-2.73
201203,-2.96,-2.95
201204,-2.84,-2.92
201205,0.72,0.79
201206,-0.46,-0.56
201207,-0.58,-0.67
201208,-0.33,-0.38
201209,-0.18,-0.15
201210,-0.08,-0.13
201211,-0.73,-0.64
201212,0.21,0.31
201301,0.45,0.47
201302,0.53,0.54
201303,0.02,0.03
201304,0.48,0.40
201305,0.51,0.58
201306,2.42,2.32
201307,3.31,3.22
201308,3.10,3.05
201309,2.51,2.54
201310,1.90,1.85
201311,1.86,1.95
201312,2.43,2.53
201401,2.07,2.09
201402,1.57,1.58
201403,1.68,1.69
201404,2.04,1.96
201405,-0.27,-0.20
201406,-0.37,-0.47
201407,-0.43,-0.52
201408,0.06,0.01
201409,0.44,0.47
201410,0.32,0.27
201411,0.73,0.82
201412,0.70,0.80
201501,0.71,0.73
201502,0.65,0.66
201503,-0.41,-0.40
201504,-0.11,-0.19
201505,-0.78,-0.71
201506,-0.65,-0.75
201507,-1.22,-1.31
201508,-1.72,-1.77
201509,0.09,0.12
201510,1.30,1.25
201511,2.66,2.75
201512,3.52,3.62
201601,2.79,2.81
201602,3.26,3.27
201603,-1.18,-1.17
201604,-1.40,-1.48
201605,-0.57,-0.50
201606,-0.55,-0.65
201607,-0.88,-0.97
201608,-1.31,-1.36
201609,0.80,0.83
201610,1.55,1.50
201611,-0.76,-0.67
201612,-0.83,-0.73
201701,-0.81,-0.79
201702,-2.00,-1.99
201703,-2.08,-2.07
201704,0.94,0.86
201705,1.56,1.63
201706,1.62,1.52
201707,-0.40,-0.49
201708,-0.42,-0.47
201709,-0.53,-0.50
201710,-0.29,-0.34
201711,-0.96,-0.87
201712,-1.14,-1.04
201801,-0.94,-0.92
201802,-1.42,-1.41
201803,0.04,0.05
201804,0.85,0.77
201805,1.57,1.64
201806,1.13,1.03
201807,1.22,1.13
201808,1.55,1.50
201809,3.36,3.39
201810,3.58,3.53
201811,4.58,4.67
201812,5.45,5.55
201901,4.87,4.89
201902,4.67,4.68
201903,3.78,3.79
201904,3.94,3.86
201905,-1.05,-0.98
201906,-0.56,-0.66
201907,-1.01,-1.10
201908,-1.16,-1.21
201909,-1.78,-1.75
201910,0.11,0.06
201911,0.13,0.22
201912,0.44,0.54
202001,0.47,0.49
202002,1.54,1.55
202003,0.69,0.70
202004,1.43,1.35
202005,2.92,2.99
202006,3.02,2.92
202007,2.18,2.09
202008,2.77,2.72
202009,3.58,3.61
202010,3.59,3.54
202011,4.30,4.39
202012,4.29,4.39
202101,4.17,4.19
202102,4.82,4.83
202103,-0.23,-0.22
202104,-0.88,-0.96
202105,-1.40,-1.33
202106,0.72,0.62
202107,0.83,0.74
202108,1.07,1.02
202109,-0.17,-0.14
202110,-0.26,-0.31
202111,-1.00,-0.91
202112,-1.64,-1.54
202201,-1.05,-1.03
202202,-1.36,-1.35
202203,-1.59,-1.58
202204,-1.72,-1.80
