North Dakota, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.87,4.29
201002,4.82,4.23
201003,4.85,4.33
201004,4.47,3.99
201005,5.66,5.19
201006,5.75,5.26
201007,6.28,5.65
201008,6.41,5.65
201009,7.82,7.04
201010,7.33,6.57
201011,6.88,6.18
201012,7.34,6.67
201101,7.49,6.91
201102,7.00,6.41
201103,7.22,6.70
201104,7.39,6.91
201105,8.42,7.95
201106,8.44,7.95
201107,9.38,8.75
201108,9.49,8.73
201109,8.70,7.92
201110,-0.02,-0.78
201111,-0.31,-1.01
201112,-0.36,-1.03
201201,-0.43,-1.01
201202,-0.24,-0.83
201203,-1.17,-1.69
201204,-1.05,-1.53
201205,-1.15,-1.62
201206,-1.83,-2.32
201207,-2.43,-3.06
201208,-2.90,-3.66
201209,-3.85,-4.63
201210,0.85,0.09
201211,0.89,0.19
201212,0.80,0.13
201301,0.55,-0.03
201302,0.59,0.00
201303,0.77,0.25
201304,1.02,0.54
201305,3.33,2.86
201306,3.70,3.21
201307,4.07,3.44
201308,3.76,3.00
201309,4.14,3.36
201310,5.97,5.21
201311,5.30,4.60
201312,5.53,4.86
201401,5.24,4.66
201402,4.76,4.17
201403,4.48,3.96
201404,5.05,4.57
201405,5.01,4.54
201406,5.90,5.41
201407,5.67,5.04
201408,7.38,6.62
201409,0.04,-0.74
201410,-0.35,-1.11
201411,-0.29,-0.99
201412,-0.48,-1.15
201501,-0.35,-0.93
201502,-0.25,-0.84
201503,-0.48,-1.00
201504,-1.18,-1.66
201505,1.22,0.75
201506,1.28,0.79
201507,1.39,0.76
201508,-0.34,-1.10
201509,-0.59,-1.37
201510,-0.52,-1.28
201511,-0.61,-1.31
201512,-0.47,-1.14
201601,-0.78,-1.36
201602,-0.83,-1.42
201603,-1.49,-2.01
201604,-0.78,-1.26
201605,-0.83,-1.30
201606,-1.57,-2.06
201607,0.96,0.33
201608,1.02,0.26
201609,1.87,1.09
201610,1.74,0.98
201611,1.36,0.66
201612,2.17,1.50
201701,0.03,-0.55
201702,0.03,-0.56
201703,-0.21,-0.73
201704,-0.60,-1.08
201705,-1.47,-1.94
201706,-2.39,-2.88
201707,-3.61,-4.24
201708,-2.96,-3.72
201709,-2.23,-3.01
201710,-2.77,-3.53
201711,-2.83,-3.53
201712,-2.73,-3.40
201801,-2.90,-3.48
201802,-2.87,-3.46
201803,-2.22,-2.74
201804,-2.30,-2.78
201805,-2.78,-3.25
201806,-2.33,-2.82
201807,-2.16,-2.79
201808,-2.64,-3.40
201809,0.01,-0.77
201810,0.53,-0.23
201811,0.68,-0.02
201812,0.86,0.19
201901,0.72,0.14
201902,1.34,0.75
201903,1.12,0.60
201904,0.86,0.38
201905,1.19,0.72
201906,0.93,0.44
201907,1.51,0.88
201908,2.10,1.34
201909,5.10,4.32
201910,6.35,5.59
201911,6.25,5.55
201912,6.49,5.82
202001,6.26,5.68
202002,5.81,5.22
202003,5.44,4.92
202004,5.12,4.64
202005,4.47,4.00
202006,3.59,3.10
202007,4.41,3.78
202008,4.15,3.39
202009,-0.74,-1.52
202010,-0.71,-1.47
202011,-1.10,-1.80
202012,-1.31,-1.98
202101,-1.53,-2.11
202102,-1.79,-2.38
202103,-2.79,-3.31
202104,-3.39,-3.87
202105,-3.44,-3.91
202106,-4.57,-5.06
202107,-5.94,-6.57
202108,-5.42,-6.18
202109,-5.63,-6.41
202110,-3.52,-4.28
202111,-3.26,-3.96
202112,-2.41,-3.08
202201,-2.13,-2.71
202202,-1.95,-2.54
202203,-2.17,-2.69
202204,2.75,2.27
