Oklahoma, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.57,2.38
201002,2.68,2.63
201003,-0.11,-0.30
201004,-0.35,-0.61
201005,-0.29,-0.49
201006,-0.33,-0.49
201007,0.58,0.44
201008,-0.33,-0.52
201009,-0.19,-0.39
201010,-0.66,-0.88
201011,-0.90,-1.15
201012,-1.37,-1.62
201101,-2.00,-2.19
201102,-2.24,-2.29
201103,-3.02,-3.21
201104,-2.96,-3.22
201105,-3.03,-3.23
201106,-4.17,-4.33
201107,-5.41,-5.55
201108,-5.61,-5.80
201109,-5.59,-5.79
201110,-5.15,-5.37
201111,-3.93,-4.18
201112,-3.11,-3.36
201201,-2.49,-2.68
201202,-2.05,-2.10
201203,-1.39,-1.58
201204,-1.34,-1.60
201205,-2.20,-2.40
201206,-2.74,-2.90
201207,-3.67,-3.81
201208,-3.80,-3.99
201209,-3.70,-3.90
201210,-3.91,-4.13
201211,-4.39,-4.64
201212,-4.63,-4.88
201301,-4.49,-4.68
201302,-3.77,-3.82
201303,-3.75,-3.94
201304,0.43,0.17
201305,0.45,0.25
201306,0.41,0.25
201307,1.43,1.29
201308,1.98,1.79
201309,-0.29,-0.49
201310,-0.14,-0.36
201311,-0.20,-0.45
201312,-0.10,-0.35
201401,-0.48,-0.67
201402,-0.89,-0.94
201403,-1.01,-1.20
201404,-1.41,-1.67
201405,-1.84,-2.04
201406,0.52,0.36
201407,1.41,1.27
201408,0.00,-0.19
201409,-0.29,-0.49
201410,-0.22,-0.44
201411,-0.11,-0.36
201412,-0.26,-0.51
201501,-0.34,-0.53
201502,-0.46,-0.51
201503,-0.47,-0.66
201504,0.57,0.31
201505,3.57,3.37
201506,3.50,3.34
201507,4.29,4.15
201508,4.26,4.07
201509,3.31,3.11
201510,3.01,2.79
201511,4.11,3.86
201512,5.64,5.39
201601,4.91,4.72
201602,4.11,4.06
201603,3.53,3.34
201604,4.18,3.92
201605,-0.16,-0.36
201606,-0.39,-0.55
201607,-0.14,-0.28
201608,-0.03,-0.22
201609,-0.10,-0.30
201610,-0.68,-0.90
201611,-1.32,-1.57
201612,-1.86,-2.11
201701,-1.59,-1.78
201702,-1.80,-1.85
201703,-1.97,-2.16
201704,1.13,0.87
201705,1.01,0.81
201706,0.52,0.36
201707,0.71,0.57
201708,2.27,2.08
201709,1.88,1.68
201710,1.94,1.72
201711,-0.76,-1.01
201712,-1.15,-1.40
201801,-1.63,-1.82
201802,-0.69,-0.74
201803,-0.85,-1.04
201804,-0.86,-1.12
201805,-1.37,-1.57
201806,-1.54,-1.70
201807,-1.53,-1.67
201808,0.56,0.37
201809,1.14,0.94
201810,2.38,2.16
201811,2.16,1.91
201812,3.22,2.97
201901,3.46,3.27
201902,3.21,3.16
201903,3.07,2.88
201904,3.02,2.76
201905,4.86,4.66
201906,4.89,4.73
201907,4.50,4.36
201908,4.99,4.80
201909,4.11,3.91
201910,4.42,4.20
201911,4.25,4.00
201912,3.73,3.48
202001,4.47,4.28
202002,4.23,4.18
202003,4.68,4.49
202004,4.21,3.95
202005,3.94,3.74
202006,2.93,2.77
202007,3.01,2.87
202008,2.83,2.64
202009,2.97,2.77
202010,2.93,2.71
202011,2.17,1.92
202012,2.13,1.88
202101,2.30,2.11
202102,1.96,1.91
202103,1.92,1.73
202104,1.95,1.69
202105,2.14,1.94
202106,2.34,2.18
202107,2.83,2.69
202108,2.78,2.59
202109,-0.90,-1.10
202110,1.71,1.49
202111,1.01,0.76
202112,-1.68,-1.93
202201,-2.14,-2.33
202202,-2.26,-2.31
202203,-2.20,-2.39
202204,-2.30,-2.56
