Oregon, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-1.61,-1.59
201002,-2.03,-2.05
201003,-1.89,-1.81
201004,0.91,1.02
201005,1.53,1.59
201006,2.18,2.25
201007,2.44,2.47
201008,2.27,2.30
201009,2.29,2.24
201010,2.45,2.47
201011,2.40,2.35
201012,2.96,3.06
201101,2.04,2.06
201102,1.71,1.69
201103,2.86,2.94
201104,3.64,3.75
201105,4.17,4.23
201106,3.82,3.89
201107,3.89,3.92
201108,-0.16,-0.13
201109,-0.90,-0.95
201110,-1.08,-1.06
201111,-1.40,-1.45
201112,-2.16,-2.06
201201,0.34,0.36
201202,-0.35,-0.37
201203,1.69,1.77
201204,1.92,2.03
201205,1.65,1.71
201206,2.04,2.11
201207,2.23,2.26
201208,1.64,1.67
201209,0.60,0.55
201210,1.01,1.03
201211,1.22,1.17
201212,1.82,1.92
201301,-0.76,-0.74
201302,-1.60,-1.62
201303,-2.37,-2.29
201304,-2.23,-2.12
201305,-1.88,-1.82
201306,-1.76,-1.69
201307,-1.79,-1.76
201308,-1.73,-1.70
201309,1.86,1.81
201310,-0.47,-0.45
201311,-1.25,-1.30
201312,-2.29,-2.19
201401,-3.12,-3.10
201402,-1.92,-1.94
201403,-0.99,-0.91
201404,-0.89,-0.78
201405,-1.04,-0.98
201406,-1.19,-1.12
201407,-1.41,-1.38
201408,-1.55,-1.52
201409,-1.59,-1.64
201410,-1.24,-1.22
201411,-1.26,-1.31
201412,-0.80,-0.70
201501,-1.89,-1.87
201502,-2.01,-2.03
201503,-2.65,-2.57
201504,-2.80,-2.69
201505,-2.58,-2.52
201506,-3.17,-3.10
201507,-3.52,-3.49
201508,-3.70,-3.67
201509,-3.65,-3.70
201510,-3.83,-3.81
201511,-3.79,-3.84
201512,-1.79,-1.69
201601,-1.45,-1.43
201602,-2.04,-2.06
201603,-1.34,-1.26
201604,-1.80,-1.69
201605,-2.02,-1.96
201606,-2.31,-2.24
201607,-2.48,-2.45
201608,-2.81,-2.78
201609,-2.94,-2.99
201610,2.00,2.02
201611,1.94,1.89
201612,1.98,2.08
201701,1.91,1.93
201702,2.91,2.89
201703,3.47,3.55
201704,3.97,4.08
201705,-0.33,-0.27
201706,-0.51,-0.44
201707,-1.11,-1.08
201708,-1.72,-1.69
201709,-1.60,-1.65
201710,-1.20,-1.18
201711,-0.90,-0.95
201712,-1.66,-1.56
201801,-1.85,-1.83
201802,-2.21,-2.23
201803,-2.06,-1.98
201804,-1.42,-1.31
201805,-1.89,-1.83
201806,-2.09,-2.02
201807,-2.71,-2.68
201808,-3.15,-3.12
201809,-3.48,-3.53
201810,-3.39,-3.37
201811,-3.85,-3.90
201812,-3.78,-3.68
201901,-3.93,-3.91
201902,1.35,1.33
201903,0.55,0.63
201904,1.61,1.72
201905,1.61,1.67
201906,0.96,1.03
201907,0.50,0.53
201908,0.28,0.31
201909,1.19,1.14
201910,-0.25,-0.23
201911,-1.55,-1.60
201912,-2.18,-2.08
202001,-1.34,-1.32
202002,-1.91,-1.93
202003,-2.29,-2.21
202004,-2.65,-2.54
202005,-2.02,-1.96
202006,-1.56,-1.49
202007,-1.32,-1.29
202008,-1.60,-1.57
202009,-1.84,-1.89
202010,-2.32,-2.30
202011,-2.24,-2.29
202012,-2.45,-2.35
202101,-2.33,-2.31
202102,-1.73,-1.75
202103,-2.39,-2.31
202104,-3.11,-3.00
202105,-3.46,-3.40
202106,-3.99,-3.92
202107,-4.93,-4.90
202108,-5.25,-5.22
202109,-4.45,-4.50
202110,-3.77,-3.75
202111,-3.74,-3.79
202112,-3.13,-3.03
202201,-3.44,-3.42
202202,-4.15,-4.17
202203,-4.55,-4.47
202204,-2.90,-2.79
