Pennsylvania, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.76,0.84
201002,0.73,0.73
201003,-0.23,-0.27
201004,-1.13,-1.22
201005,-1.22,-1.27
201006,-1.49,-1.54
201007,-1.30,-1.27
201008,-1.69,-1.76
201009,-1.77,-1.83
201010,0.67,0.61
201011,0.74,0.82
201012,0.90,1.03
201101,0.37,0.45
201102,0.97,0.97
201103,2.01,1.97
201104,3.81,3.72
201105,3.87,3.82
201106,2.94,2.89
201107,1.76,1.79
201108,2.84,2.77
201109,5.40,5.34
201110,5.94,5.88
201111,5.60,5.68
201112,5.34,5.47
201201,5.05,5.13
201202,-0.65,-0.65
201203,-1.45,-1.49
201204,-2.03,-2.12
201205,-1.75,-1.80
201206,-1.96,-2.01
201207,-1.72,-1.69
201208,-1.80,-1.87
201209,0.62,0.56
201210,1.71,1.65
201211,0.71,0.79
201212,1.64,1.77
201301,1.54,1.62
201302,-0.31,-0.31
201303,-0.84,-0.88
201304,-1.12,-1.21
201305,-1.44,-1.49
201306,0.88,0.83
201307,1.15,1.18
201308,1.24,1.17
201309,0.75,0.69
201310,0.81,0.75
201311,1.04,1.12
201312,1.44,1.57
201401,1.05,1.13
201402,1.31,1.31
201403,0.91,0.87
201404,0.91,0.82
201405,1.21,1.16
201406,1.58,1.53
201407,1.72,1.75
201408,2.00,1.93
201409,-0.60,-0.66
201410,-0.36,-0.42
201411,-0.45,-0.37
201412,-0.45,-0.32
201501,-0.58,-0.50
201502,-1.08,-1.08
201503,-0.95,-0.99
201504,-0.80,-0.89
201505,-1.66,-1.71
201506,1.91,1.86
201507,1.84,1.87
201508,-0.54,-0.61
201509,-0.41,-0.47
201510,-0.11,-0.17
201511,-0.75,-0.67
201512,-0.45,-0.32
201601,-0.61,-0.53
201602,0.75,0.75
201603,-1.09,-1.13
201604,-1.44,-1.53
201605,-1.38,-1.43
201606,-1.66,-1.71
201607,-1.85,-1.82
201608,-1.93,-2.00
201609,-2.06,-2.12
201610,-1.69,-1.75
201611,-2.53,-2.45
201612,0.21,0.34
201701,0.66,0.74
201702,0.24,0.24
201703,0.51,0.47
201704,0.42,0.33
201705,1.14,1.09
201706,1.24,1.19
201707,2.07,2.10
201708,2.10,2.03
201709,1.30,1.24
201710,1.80,1.74
201711,1.62,1.70
201712,0.86,0.99
201801,0.99,1.07
201802,2.36,2.36
201803,2.07,2.03
201804,2.35,2.26
201805,2.31,2.26
201806,2.63,2.58
201807,3.99,4.02
201808,4.77,4.70
201809,6.63,6.57
201810,6.67,6.61
201811,7.57,7.65
201812,7.39,7.52
201901,7.32,7.40
201902,7.05,7.05
201903,6.14,6.10
201904,5.77,5.68
201905,5.97,5.92
201906,6.20,6.15
201907,6.16,6.19
201908,5.57,5.50
201909,4.34,4.28
201910,4.81,4.75
201911,4.21,4.29
201912,4.13,4.26
202001,3.82,3.90
202002,3.82,3.82
202003,3.51,3.47
202004,3.71,3.62
202005,-0.18,-0.23
202006,-0.65,-0.70
202007,-1.19,-1.16
202008,-1.15,-1.22
202009,-1.66,-1.72
202010,-1.61,-1.67
202011,-2.03,-1.95
202012,-1.12,-0.99
202101,-1.50,-1.42
202102,-1.09,-1.09
202103,-1.52,-1.56
202104,-1.88,-1.97
202105,-1.59,-1.64
202106,-1.83,-1.88
202107,0.96,0.99
202108,1.79,1.72
202109,3.23,3.17
202110,3.51,3.45
202111,2.62,2.70
202112,1.93,2.06
202201,1.59,1.67
202202,2.35,2.35
202203,1.57,1.53
202204,1.72,1.63
