Rhode Island, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.90,2.87
201002,3.20,3.23
201003,6.20,6.19
201004,4.59,4.61
201005,3.63,3.80
201006,3.23,3.32
201007,2.90,2.91
201008,2.26,2.36
201009,1.62,1.69
201010,1.57,1.61
201011,1.09,1.21
201012,1.07,1.06
201101,1.03,1.00
201102,1.44,1.47
201103,0.68,0.67
201104,0.95,0.97
201105,0.68,0.85
201106,0.96,1.05
201107,0.72,0.73
201108,1.93,2.03
201109,2.70,2.77
201110,3.92,3.96
201111,0.01,0.13
201112,-0.11,-0.12
201201,-0.31,-0.34
201202,-1.28,-1.25
201203,-2.40,-2.41
201204,-2.60,-2.58
201205,0.15,0.32
201206,0.44,0.53
201207,0.65,0.66
201208,0.67,0.77
201209,0.89,0.96
201210,0.92,0.96
201211,-0.89,-0.77
201212,-0.32,-0.33
201301,-0.94,-0.97
201302,-0.23,-0.20
201303,-0.81,-0.82
201304,-1.57,-1.55
201305,-1.50,-1.33
201306,2.22,2.31
201307,-0.16,-0.15
201308,-0.32,-0.22
201309,-0.47,-0.40
201310,-1.50,-1.46
201311,-1.69,-1.57
201312,-1.50,-1.51
201401,-1.52,-1.55
201402,0.38,0.41
201403,1.02,1.01
201404,1.07,1.09
201405,-0.19,-0.02
201406,-0.53,-0.44
201407,-0.02,-0.01
201408,-0.38,-0.28
201409,-1.31,-1.24
201410,0.05,0.09
201411,0.19,0.31
201412,0.73,0.72
201501,-0.05,-0.08
201502,-0.32,-0.29
201503,-0.18,-0.19
201504,-0.74,-0.72
201505,-1.73,-1.56
201506,-1.06,-0.97
201507,-1.04,-1.03
201508,-1.50,-1.40
201509,-1.52,-1.45
201510,-1.32,-1.28
201511,-1.94,-1.82
201512,-1.70,-1.71
201601,-1.74,-1.77
201602,-0.78,-0.75
201603,-1.43,-1.44
201604,-1.30,-1.28
201605,-1.28,-1.11
201606,-1.81,-1.72
201607,-2.10,-2.09
201608,-2.55,-2.45
201609,-2.87,-2.80
201610,0.71,0.75
201611,-0.42,-0.30
201612,-0.53,-0.54
201701,-0.18,-0.21
201702,-0.67,-0.64
201703,-0.69,-0.70
201704,0.66,0.68
201705,1.51,1.68
201706,1.46,1.55
201707,1.55,1.56
201708,-0.58,-0.48
201709,-0.88,-0.81
201710,0.98,1.02
201711,0.47,0.59
201712,0.08,0.07
201801,0.71,0.68
201802,1.47,1.50
201803,1.73,1.72
201804,2.10,2.12
201805,-0.64,-0.47
201806,-0.88,-0.79
201807,-1.29,-1.28
201808,-1.33,-1.23
201809,1.02,1.09
201810,2.13,2.17
201811,3.66,3.78
201812,3.46,3.45
201901,3.96,3.93
201902,3.62,3.65
201903,3.02,3.01
201904,3.65,3.67
201905,3.42,3.59
201906,3.54,3.63
201907,3.72,3.73
201908,3.50,3.60
201909,2.58,2.65
201910,3.44,3.48
201911,2.87,2.99
201912,3.59,3.58
202001,-0.85,-0.88
202002,-0.86,-0.83
202003,-0.89,-0.90
202004,-0.23,-0.21
202005,-0.36,-0.19
202006,-0.57,-0.48
202007,-1.21,-1.20
202008,-2.11,-2.01
202009,-2.94,-2.87
202010,0.50,0.54
202011,0.55,0.67
202012,1.69,1.68
202101,-0.52,-0.55
202102,-0.34,-0.31
202103,-0.89,-0.90
202104,-1.10,-1.08
202105,0.44,0.61
202106,-0.48,-0.39
202107,1.42,1.43
202108,1.77,1.87
202109,2.83,2.90
202110,3.35,3.39
202111,2.44,2.56
202112,1.46,1.45
202201,1.17,1.14
202202,2.15,2.18
202203,1.43,1.42
202204,1.01,1.03
