South Carolina, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.99,2.94
201002,-0.04,-0.09
201003,-0.40,-0.39
201004,-1.21,-1.09
201005,-1.40,-1.22
201006,-1.74,-1.75
201007,-2.08,-2.13
201008,-2.02,-2.04
201009,-1.88,-1.88
201010,-2.33,-2.43
201011,-2.84,-2.90
201012,-3.38,-3.49
201101,-3.87,-3.92
201102,-3.90,-3.95
201103,-3.39,-3.38
201104,-3.36,-3.24
201105,-3.32,-3.14
201106,-3.92,-3.93
201107,-4.44,-4.49
201108,-4.75,-4.77
201109,-4.49,-4.49
201110,-4.35,-4.45
201111,-4.14,-4.20
201112,-4.68,-4.79
201201,-5.06,-5.11
201202,-5.35,-5.40
201203,-5.41,-5.40
201204,-5.25,-5.13
201205,0.63,0.81
201206,0.71,0.70
201207,0.58,0.53
201208,1.34,1.32
201209,-0.29,-0.29
201210,-0.60,-0.70
201211,-0.92,-0.98
201212,-0.69,-0.80
201301,-1.14,-1.19
201302,0.82,0.77
201303,0.57,0.58
201304,0.99,1.11
201305,1.01,1.19
201306,2.12,2.11
201307,3.69,3.64
201308,4.02,4.00
201309,-0.38,-0.38
201310,-0.87,-0.97
201311,0.19,0.13
201312,0.78,0.67
201401,0.63,0.58
201402,0.38,0.33
201403,0.43,0.44
201404,0.64,0.76
201405,0.63,0.81
201406,-0.34,-0.35
201407,-0.57,-0.62
201408,-0.86,-0.88
201409,-0.49,-0.49
201410,-0.87,-0.97
201411,0.63,0.57
201412,0.77,0.66
201501,0.69,0.64
201502,0.83,0.78
201503,-0.47,-0.46
201504,-0.16,-0.04
201505,-0.95,-0.77
201506,-1.41,-1.42
201507,-2.24,-2.29
201508,-2.14,-2.16
201509,-2.09,-2.09
201510,2.77,2.67
201511,4.16,4.10
201512,4.65,4.54
201601,-0.24,-0.29
201602,0.27,0.22
201603,-0.93,-0.92
201604,-1.23,-1.11
201605,-0.37,-0.19
201606,-0.65,-0.66
201607,-1.38,-1.43
201608,-2.09,-2.11
201609,0.47,0.47
201610,1.12,1.02
201611,-0.54,-0.60
201612,-0.34,-0.45
201701,-0.03,-0.08
201702,-1.07,-1.12
201703,-1.66,-1.65
201704,0.52,0.64
201705,0.98,1.16
201706,1.00,0.99
201707,0.01,-0.04
201708,-0.18,-0.20
201709,0.19,0.19
201710,0.17,0.07
201711,-0.56,-0.62
201712,-0.64,-0.75
201801,-0.78,-0.83
201802,-1.52,-1.57
201803,-1.71,-1.70
201804,0.50,0.62
201805,1.21,1.39
201806,-0.34,-0.35
201807,-0.22,-0.27
201808,-0.62,-0.64
201809,0.26,0.26
201810,0.62,0.52
201811,1.77,1.71
201812,3.25,3.14
201901,-0.05,-0.10
201902,-0.64,-0.69
201903,-1.17,-1.16
201904,-0.92,-0.80
201905,-1.66,-1.48
201906,-1.18,-1.19
201907,-1.71,-1.76
201908,-1.95,-1.97
201909,-2.76,-2.76
201910,-2.53,-2.63
201911,0.20,0.14
201912,1.19,1.08
202001,1.11,1.06
202002,2.03,1.98
202003,1.52,1.53
202004,2.00,2.12
202005,3.06,3.24
202006,2.86,2.85
202007,2.28,2.23
202008,2.46,2.44
202009,3.08,3.08
202010,2.73,2.63
202011,3.05,2.99
202012,2.70,2.59
202101,2.76,2.71
202102,3.31,3.26
202103,-0.50,-0.49
202104,-1.05,-0.93
202105,-1.33,-1.15
202106,0.49,0.48
202107,0.89,0.84
202108,0.91,0.89
202109,0.90,0.90
202110,-0.15,-0.25
202111,-0.71,-0.77
202112,-1.14,-1.25
202201,-0.86,-0.91
202202,-1.47,-1.52
202203,-1.72,-1.71
202204,-1.26,-1.14
