South Dakota, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,6.66,5.72
201002,6.54,5.66
201003,6.50,5.77
201004,6.36,5.65
201005,6.72,5.93
201006,7.26,6.38
201007,8.28,7.27
201008,8.42,7.26
201009,9.16,8.00
201010,8.20,7.07
201011,7.28,6.25
201012,7.20,6.22
201101,7.17,6.23
201102,7.34,6.46
201103,7.16,6.43
201104,7.25,6.54
201105,8.07,7.28
201106,8.31,7.43
201107,8.80,7.79
201108,8.85,7.69
201109,-0.37,-1.53
201110,-0.43,-1.56
201111,-0.72,-1.75
201112,-0.84,-1.82
201201,-0.77,-1.71
201202,-0.05,-0.93
201203,-1.65,-2.38
201204,-1.40,-2.11
201205,-1.45,-2.24
201206,-2.39,-3.27
201207,-3.43,-4.44
201208,-4.24,-5.40
201209,-5.05,-6.21
201210,-4.73,-5.86
201211,-4.69,-5.72
201212,-4.14,-5.12
201301,-3.81,-4.75
201302,-3.37,-4.25
201303,-3.51,-4.24
201304,0.53,-0.18
201305,1.74,0.95
201306,1.66,0.78
201307,2.00,0.99
201308,2.27,1.11
201309,2.19,1.03
201310,5.12,3.99
201311,4.68,3.65
201312,4.84,3.86
201401,4.49,3.55
201402,4.29,3.41
201403,4.29,3.56
201404,4.49,3.78
201405,4.20,3.41
201406,5.60,4.72
201407,5.17,4.16
201408,6.68,5.52
201409,6.39,5.23
201410,5.34,4.21
201411,4.93,3.90
201412,4.76,3.78
201501,4.23,3.29
201502,3.75,2.87
201503,2.43,1.70
201504,1.25,0.54
201505,2.89,2.10
201506,3.08,2.20
201507,3.67,2.66
201508,4.71,3.55
201509,4.13,2.97
201510,3.83,2.70
201511,3.68,2.65
201512,4.09,3.11
201601,3.62,2.68
201602,3.45,2.57
201603,2.77,2.04
201604,3.68,2.97
201605,3.42,2.63
201606,2.18,1.30
201607,2.20,1.19
201608,2.38,1.22
201609,2.39,1.23
201610,2.04,0.91
201611,1.57,0.54
201612,2.23,1.25
201701,2.29,1.35
201702,-0.09,-0.97
201703,-0.53,-1.26
201704,-0.58,-1.29
201705,-0.89,-1.68
201706,-1.70,-2.58
201707,-2.19,-3.20
201708,0.69,-0.47
201709,1.17,0.01
201710,1.09,-0.04
201711,-0.47,-1.50
201712,-0.54,-1.52
201801,-0.71,-1.65
201802,0.31,-0.57
201803,0.57,-0.16
201804,0.82,0.11
201805,0.38,-0.41
201806,0.89,0.01
201807,1.56,0.55
201808,1.52,0.36
201809,2.11,0.95
201810,2.58,1.45
201811,2.54,1.51
201812,2.94,1.96
201901,2.85,1.91
201902,3.25,2.37
201903,3.85,3.12
201904,4.40,3.69
201905,6.51,5.72
201906,5.76,4.88
201907,7.71,6.70
201908,9.16,8.00
201909,10.44,9.28
201910,10.75,9.62
201911,10.42,9.39
201912,10.40,9.42
202001,9.77,8.83
202002,9.19,8.31
202003,8.53,7.80
202004,7.71,7.00
202005,7.35,6.56
202006,6.53,5.65
202007,6.98,5.97
202008,6.58,5.42
202009,-0.46,-1.62
202010,-0.10,-1.23
202011,-0.50,-1.53
202012,-0.56,-1.54
202101,-0.64,-1.58
202102,-0.75,-1.63
202103,-1.11,-1.84
202104,-1.32,-2.03
202105,-1.48,-2.27
202106,-3.15,-4.03
202107,-3.53,-4.54
202108,-3.34,-4.50
202109,-3.01,-4.17
202110,-1.20,-2.33
202111,-1.56,-2.59
202112,-1.21,-2.19
202201,-1.32,-2.26
202202,-1.44,-2.32
202203,-1.89,-2.62
202204,-1.09,-1.80
