California, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.67,0.72
201002,0.66,0.74
201003,0.22,0.26
201004,1.22,1.29
201005,1.50,1.49
201006,1.93,1.84
201007,1.94,1.76
201008,1.53,1.39
201009,1.04,0.87
201010,1.99,1.95
201011,1.84,1.87
201012,3.14,3.29
201101,1.98,2.03
201102,1.82,1.90
201103,3.03,3.07
201104,2.47,2.54
201105,2.82,2.81
201106,3.42,3.33
201107,3.84,3.66
201108,3.50,3.36
201109,-0.21,-0.38
201110,-0.08,-0.12
201111,-0.45,-0.42
201112,-1.63,-1.48
201201,-2.27,-2.22
201202,-3.18,-3.10
201203,-2.31,-2.27
201204,-1.74,-1.67
201205,-1.96,-1.97
201206,-1.86,-1.95
201207,-1.74,-1.92
201208,-1.58,-1.72
201209,-1.89,-2.06
201210,-1.97,-2.01
201211,0.24,0.27
201212,1.08,1.23
201301,-0.80,-0.75
201302,-1.66,-1.58
201303,-2.43,-2.39
201304,-2.83,-2.76
201305,-2.98,-2.99
201306,-3.28,-3.37
201307,-3.51,-3.69
201308,-3.23,-3.37
201309,-2.61,-2.78
201310,-2.93,-2.97
201311,-3.40,-3.37
201312,-4.37,-4.22
201401,-5.88,-5.83
201402,-5.87,-5.79
201403,-5.59,-5.55
201404,-5.53,-5.46
201405,-6.05,-6.06
201406,-6.77,-6.86
201407,-7.01,-7.19
201408,-6.35,-6.49
201409,-5.53,-5.70
201410,-5.30,-5.34
201411,-5.22,-5.19
201412,-3.98,-3.83
201501,-4.84,-4.79
201502,-4.86,-4.78
201503,-5.67,-5.63
201504,-5.53,-5.46
201505,-5.11,-5.12
201506,-5.13,-5.22
201507,-4.85,-5.03
201508,-4.75,-4.89
201509,-4.48,-4.65
201510,-4.48,-4.52
201511,-4.30,-4.27
201512,-3.57,-3.42
201601,-2.30,-2.25
201602,-2.99,-2.91
201603,-2.08,-2.04
201604,-2.10,-2.03
201605,-1.89,-1.90
201606,-1.88,-1.97
201607,-2.30,-2.48
201608,-2.55,-2.69
201609,-2.70,-2.87
201610,1.57,1.53
201611,1.24,1.27
201612,1.38,1.53
201701,3.61,3.66
201702,4.76,4.84
201703,-0.45,-0.41
201704,0.48,0.55
201705,-0.22,-0.23
201706,-0.26,-0.35
201707,-0.75,-0.93
201708,-0.98,-1.12
201709,-0.96,-1.13
201710,-1.55,-1.59
201711,-1.41,-1.38
201712,-2.63,-2.48
201801,-3.13,-3.08
201802,-4.15,-4.07
201803,-3.05,-3.01
201804,-2.63,-2.56
201805,-2.42,-2.43
201806,-2.29,-2.38
201807,-2.41,-2.59
201808,-2.71,-2.85
201809,-2.93,-3.10
201810,-3.04,-3.08
201811,-2.79,-2.76
201812,-3.06,-2.91
201901,0.23,0.28
201902,2.10,2.18
201903,2.29,2.33
201904,1.67,1.74
201905,2.76,2.75
201906,2.97,2.88
201907,-0.09,-0.27
201908,-0.34,-0.48
201909,-0.16,-0.33
201910,-0.80,-0.84
201911,-1.28,-1.25
201912,-0.90,-0.75
202001,-1.60,-1.55
202002,-2.72,-2.64
202003,-2.45,-2.41
202004,-2.14,-2.07
202005,-1.65,-1.66
202006,-1.44,-1.53
202007,-1.57,-1.75
202008,-1.83,-1.97
202009,-2.21,-2.38
202010,-3.03,-3.07
202011,-3.38,-3.35
202012,-3.89,-3.74
202101,-4.03,-3.98
202102,-4.62,-4.54
202103,-4.78,-4.74
202104,-5.19,-5.12
202105,-5.84,-5.85
202106,-6.68,-6.77
202107,-7.03,-7.21
202108,-6.86,-7.00
202109,-6.36,-6.53
202110,-4.15,-4.19
202111,-4.42,-4.39
202112,-3.15,-3.00
202201,-4.03,-3.98
202202,-4.81,-4.73
202203,-5.42,-5.38
202204,-5.04,-4.97
