Tennessee, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.49,0.64
201002,-0.41,-0.22
201003,-0.83,-0.71
201004,-1.39,-1.39
201005,1.39,1.37
201006,-0.43,-0.63
201007,-0.67,-0.80
201008,-0.63,-0.84
201009,-1.23,-1.38
201010,-1.34,-1.44
201011,-1.00,-0.90
201012,-1.36,-1.35
201101,-1.66,-1.51
201102,-1.70,-1.51
201103,0.42,0.54
201104,2.23,2.23
201105,2.23,2.21
201106,2.55,2.35
201107,1.71,1.58
201108,0.60,0.39
201109,1.61,1.46
201110,1.47,1.37
201111,2.36,2.46
201112,2.53,2.54
201201,-0.09,0.06
201202,-0.74,-0.55
201203,-1.28,-1.16
201204,-2.15,-2.15
201205,-2.65,-2.67
201206,-3.12,-3.32
201207,-2.82,-2.95
201208,-2.70,-2.91
201209,0.79,0.64
201210,1.25,1.15
201211,0.53,0.63
201212,0.73,0.74
201301,1.62,1.77
201302,0.91,1.10
201303,0.83,0.95
201304,2.08,2.08
201305,2.35,2.33
201306,2.83,2.63
201307,3.77,3.64
201308,3.92,3.71
201309,3.80,3.65
201310,3.17,3.07
201311,2.85,2.95
201312,3.16,3.17
201401,2.27,2.42
201402,2.22,2.41
201403,1.61,1.73
201404,1.92,1.92
201405,1.18,1.16
201406,2.06,1.86
201407,2.05,1.92
201408,2.58,2.37
201409,2.03,1.88
201410,3.28,3.18
201411,2.97,3.07
201412,2.59,2.60
201501,1.76,1.91
201502,1.63,1.82
201503,1.43,1.55
201504,1.75,1.75
201505,1.24,1.22
201506,1.33,1.13
201507,1.98,1.85
201508,2.40,2.19
201509,2.03,1.88
201510,2.23,2.13
201511,2.68,2.78
201512,3.09,3.10
201601,-0.56,-0.41
201602,-0.21,-0.02
201603,-0.47,-0.35
201604,-0.95,-0.95
201605,-1.00,-1.02
201606,-0.99,-1.19
201607,-0.86,-0.99
201608,-0.36,-0.57
201609,-1.08,-1.23
201610,-2.13,-2.23
201611,-2.67,-2.57
201612,-2.03,-2.02
201701,-2.13,-1.98
201702,-2.84,-2.65
201703,0.02,0.14
201704,0.56,0.56
201705,1.00,0.98
201706,1.13,0.93
201707,1.42,1.29
201708,2.01,1.80
201709,2.31,2.16
201710,2.90,2.80
201711,2.31,2.41
201712,2.06,2.07
201801,1.24,1.39
201802,2.84,3.03
201803,2.63,2.75
201804,3.17,3.17
201805,2.73,2.71
201806,3.01,2.81
201807,2.41,2.28
201808,2.44,2.23
201809,3.40,3.25
201810,3.42,3.32
201811,3.78,3.88
201812,4.11,4.12
201901,3.90,4.05
201902,5.70,5.89
201903,4.78,4.90
201904,4.75,4.75
201905,3.83,3.81
201906,4.40,4.20
201907,4.69,4.56
201908,4.54,4.33
201909,2.92,2.77
201910,3.94,3.84
201911,4.00,4.10
201912,3.92,3.93
202001,3.93,4.08
202002,4.88,5.07
202003,5.03,5.15
202004,5.43,5.43
202005,5.03,5.01
202006,4.54,4.34
202007,4.15,4.02
202008,4.64,4.43
202009,4.62,4.47
202010,4.96,4.86
202011,3.85,3.95
202012,3.45,3.46
202101,2.62,2.77
202102,2.52,2.71
202103,3.61,3.73
202104,2.72,2.72
202105,2.51,2.49
202106,2.49,2.29
202107,2.58,2.45
202108,3.81,3.60
202109,4.20,4.05
202110,4.71,4.61
202111,3.69,3.79
202112,3.07,3.08
202201,3.10,3.25
202202,3.97,4.16
202203,3.16,3.28
202204,2.90,2.90
