Texas, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.29,2.44
201002,2.98,3.10
201003,2.97,2.97
201004,3.03,2.97
201005,2.35,2.31
201006,2.13,2.18
201007,3.17,3.21
201008,-0.46,-0.43
201009,-0.02,0.14
201010,-0.78,-0.75
201011,-1.25,-1.22
201012,-1.84,-1.83
201101,-1.96,-1.81
201102,-2.50,-2.38
201103,-3.39,-3.39
201104,-4.47,-4.53
201105,-5.39,-5.43
201106,-6.56,-6.51
201107,-7.33,-7.29
201108,-7.86,-7.83
201109,-8.06,-7.90
201110,-7.39,-7.36
201111,-7.08,-7.05
201112,-5.91,-5.90
201201,-5.17,-5.02
201202,-4.40,-4.28
201203,-3.54,-3.54
201204,-3.77,-3.83
201205,-3.84,-3.88
201206,-4.14,-4.09
201207,-3.94,-3.90
201208,-4.01,-3.98
201209,-3.31,-3.15
201210,-3.71,-3.68
201211,-4.38,-4.35
201212,-4.61,-4.60
201301,-4.08,-3.93
201302,-4.13,-4.01
201303,-4.31,-4.31
201304,-4.19,-4.25
201305,-4.48,-4.52
201306,-4.84,-4.79
201307,-4.40,-4.36
201308,-4.67,-4.64
201309,-3.95,-3.79
201310,-3.26,-3.23
201311,-2.77,-2.74
201312,-2.59,-2.58
201401,-2.94,-2.79
201402,-3.20,-3.08
201403,-3.10,-3.10
201404,-3.49,-3.55
201405,-3.06,-3.10
201406,-3.14,-3.09
201407,-3.02,-2.98
201408,-3.20,-3.17
201409,-2.72,-2.56
201410,-2.92,-2.89
201411,0.59,0.62
201412,0.22,0.23
201501,0.74,0.89
201502,0.51,0.63
201503,1.48,1.48
201504,2.20,2.14
201505,4.75,4.71
201506,5.13,5.18
201507,5.16,5.20
201508,4.19,4.22
201509,2.82,2.98
201510,3.86,3.89
201511,4.64,4.67
201512,4.85,4.86
201601,4.45,4.60
201602,3.76,3.88
201603,3.85,3.85
201604,4.50,4.44
201605,4.96,4.92
201606,5.15,5.20
201607,4.70,4.74
201608,5.75,5.78
201609,-0.17,-0.01
201610,-1.13,-1.10
201611,-1.14,-1.11
201612,-1.00,-0.99
201701,-0.81,-0.66
201702,-1.11,-0.99
201703,-1.31,-1.31
201704,-1.15,-1.21
201705,-1.50,-1.54
201706,-1.55,-1.50
201707,-1.62,-1.58
201708,2.47,2.50
201709,-0.17,-0.01
201710,-0.67,-0.64
201711,-1.50,-1.47
201712,-1.40,-1.39
201801,-1.83,-1.68
201802,-1.53,-1.41
201803,-1.54,-1.54
201804,-1.87,-1.93
201805,-2.92,-2.96
201806,-3.49,-3.44
201807,-3.75,-3.71
201808,-3.69,-3.66
201809,1.50,1.66
201810,3.38,3.41
201811,3.58,3.61
201812,4.56,4.57
201901,4.44,4.59
201902,3.80,3.92
201903,3.32,3.32
201904,3.74,3.68
201905,4.38,4.34
201906,5.03,5.08
201907,4.99,5.03
201908,-0.62,-0.59
201909,-1.20,-1.04
201910,-0.97,-0.94
201911,-1.05,-1.02
201912,-1.57,-1.56
202001,-1.63,-1.48
202002,-1.52,-1.40
202003,-1.01,-1.01
202004,-1.10,-1.16
202005,-1.19,-1.23
202006,-1.61,-1.56
202007,-1.87,-1.83
202008,-2.48,-2.45
202009,-1.68,-1.52
202010,-2.12,-2.09
202011,-2.72,-2.69
202012,-2.60,-2.59
202101,-2.51,-2.36
202102,-2.57,-2.45
202103,-2.69,-2.69
202104,-2.52,-2.58
202105,1.09,1.05
202106,1.46,1.51
202107,2.29,2.33
202108,2.54,2.57
202109,-0.84,-0.68
202110,1.09,1.12
202111,-1.37,-1.34
202112,-2.43,-2.42
202201,-2.94,-2.79
202202,-3.17,-3.05
202203,-3.19,-3.19
202204,-3.83,-3.89
