Utah, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.32,-0.01
201002,0.26,-0.12
201003,0.14,-0.26
201004,0.34,-0.12
201005,0.70,0.24
201006,0.85,0.38
201007,0.71,0.25
201008,0.82,0.40
201009,-0.74,-1.20
201010,0.96,0.47
201011,1.24,0.95
201012,2.94,2.69
201101,2.67,2.34
201102,3.03,2.65
201103,2.97,2.57
201104,3.54,3.08
201105,4.88,4.42
201106,5.08,4.61
201107,6.08,5.62
201108,5.70,5.28
201109,5.12,4.66
201110,4.76,4.27
201111,-0.14,-0.43
201112,-0.66,-0.91
201201,-0.88,-1.21
201202,-1.02,-1.40
201203,-1.82,-2.22
201204,-2.44,-2.90
201205,-3.48,-3.94
201206,-4.60,-5.07
201207,-4.59,-5.05
201208,-4.59,-5.01
201209,-4.24,-4.70
201210,-4.07,-4.56
201211,-4.32,-4.61
201212,-3.62,-3.87
201301,-3.46,-3.79
201302,-3.68,-4.06
201303,-4.15,-4.55
201304,-3.76,-4.22
201305,-3.76,-4.22
201306,-4.66,-5.13
201307,-4.56,-5.02
201308,-4.17,-4.59
201309,-2.25,-2.71
201310,-2.03,-2.52
201311,-2.01,-2.30
201312,-2.01,-2.26
201401,-2.36,-2.69
201402,-2.57,-2.95
201403,-3.00,-3.40
201404,-3.09,-3.55
201405,-3.30,-3.76
201406,-4.03,-4.50
201407,-4.20,-4.66
201408,-2.75,-3.17
201409,-1.14,-1.60
201410,-1.96,-2.45
201411,-2.15,-2.44
201412,-1.98,-2.23
201501,-2.09,-2.42
201502,-2.77,-3.15
201503,-3.61,-4.01
201504,-3.76,-4.22
201505,-2.30,-2.76
201506,-2.55,-3.02
201507,-2.36,-2.82
201508,-2.22,-2.64
201509,-2.28,-2.74
201510,-1.84,-2.33
201511,-1.61,-1.90
201512,-1.32,-1.57
201601,-0.95,-1.28
201602,-1.20,-1.58
201603,-1.50,-1.90
201604,-1.17,-1.63
201605,-0.83,-1.29
201606,-1.27,-1.74
201607,-1.92,-2.38
201608,-2.15,-2.57
201609,0.91,0.45
201610,-0.43,-0.92
201611,-0.85,-1.14
201612,0.44,0.19
201701,1.67,1.34
201702,1.96,1.58
201703,-0.04,-0.44
201704,0.07,-0.39
201705,-0.16,-0.62
201706,-0.38,-0.85
201707,-0.41,-0.87
201708,-0.76,-1.18
201709,-0.22,-0.68
201710,-0.90,-1.39
201711,-1.70,-1.99
201712,-2.30,-2.55
201801,-2.69,-3.02
201802,-3.09,-3.47
201803,-3.31,-3.71
201804,-3.65,-4.11
201805,-4.06,-4.52
201806,-5.19,-5.66
201807,-5.72,-6.18
201808,-5.66,-6.08
201809,-6.15,-6.61
201810,1.39,0.90
201811,1.24,0.95
201812,1.00,0.75
201901,1.32,0.99
201902,2.35,1.97
201903,3.35,2.95
201904,3.37,2.91
201905,4.83,4.37
201906,5.00,4.53
201907,5.09,4.63
201908,-0.69,-1.11
201909,-0.82,-1.28
201910,-1.16,-1.65
201911,-0.59,-0.88
201912,-0.26,-0.51
202001,-0.40,-0.73
202002,-0.57,-0.95
202003,-0.59,-0.99
202004,-1.11,-1.57
202005,-1.90,-2.36
202006,-2.06,-2.53
202007,-2.72,-3.18
202008,-3.81,-4.23
202009,-4.26,-4.72
202010,-4.75,-5.24
202011,-4.74,-5.03
202012,-4.78,-5.03
202101,-4.89,-5.22
202102,-4.91,-5.29
202103,-4.89,-5.29
202104,-5.00,-5.46
202105,-5.69,-6.15
202106,-6.59,-7.06
202107,-6.34,-6.80
202108,-5.13,-5.55
202109,-4.91,-5.37
202110,-3.57,-4.06
202111,-4.18,-4.47
202112,-3.08,-3.33
202201,-3.40,-3.73
202202,-3.65,-4.03
202203,-3.95,-4.35
202204,-4.08,-4.54
