Washington, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-1.05,-0.94
201002,-1.58,-1.40
201003,-1.77,-1.55
201004,0.59,0.81
201005,1.69,1.67
201006,2.32,2.31
201007,2.32,2.31
201008,2.10,2.14
201009,2.65,2.71
201010,2.66,2.79
201011,2.41,2.46
201012,2.52,2.67
201101,2.39,2.50
201102,1.97,2.15
201103,3.17,3.39
201104,3.96,4.18
201105,4.63,4.61
201106,4.07,4.06
201107,3.97,3.96
201108,-0.35,-0.31
201109,-0.77,-0.71
201110,-0.90,-0.77
201111,-0.76,-0.71
201112,-1.86,-1.71
201201,0.08,0.19
201202,0.06,0.24
201203,1.52,1.74
201204,1.82,2.04
201205,1.74,1.72
201206,2.69,2.68
201207,3.25,3.24
201208,2.79,2.83
201209,1.57,1.63
201210,2.34,2.47
201211,2.51,2.56
201212,2.79,2.94
201301,-0.62,-0.51
201302,-1.32,-1.14
201303,-1.49,-1.27
201304,0.67,0.89
201305,0.92,0.90
201306,1.02,1.01
201307,0.75,0.74
201308,0.75,0.79
201309,2.32,2.38
201310,-0.52,-0.39
201311,-1.06,-1.01
201312,-2.23,-2.08
201401,-2.53,-2.42
201402,0.62,0.80
201403,1.87,2.09
201404,2.08,2.30
201405,0.00,-0.02
201406,-0.08,-0.09
201407,-0.25,-0.26
201408,-0.25,-0.21
201409,-0.43,-0.37
201410,0.58,0.71
201411,0.61,0.66
201412,-0.20,-0.05
201501,-0.58,-0.47
201502,-0.89,-0.71
201503,-1.09,-0.87
201504,-1.48,-1.26
201505,-1.86,-1.88
201506,-2.79,-2.80
201507,-3.76,-3.77
201508,-3.73,-3.69
201509,-3.61,-3.55
201510,-3.41,-3.28
201511,0.31,0.36
201512,1.91,2.06
201601,1.91,2.02
201602,1.66,1.84
201603,2.41,2.63
201604,-0.93,-0.71
201605,-1.39,-1.41
201606,-1.56,-1.57
201607,-1.66,-1.67
201608,-2.09,-2.05
201609,-2.03,-1.97
201610,2.31,2.44
201611,2.28,2.33
201612,1.46,1.61
201701,0.59,0.70
201702,1.47,1.65
201703,2.97,3.19
201704,3.66,3.88
201705,0.02,0.00
201706,-0.21,-0.22
201707,-0.84,-0.85
201708,-1.68,-1.64
201709,-1.98,-1.92
201710,0.38,0.51
201711,1.21,1.26
201712,-0.54,-0.39
201801,-0.07,0.04
201802,-0.14,0.04
201803,-0.56,-0.34
201804,1.21,1.43
201805,-0.82,-0.84
201806,-1.20,-1.21
201807,-2.06,-2.07
201808,-2.67,-2.63
201809,-2.61,-2.55
201810,-2.52,-2.39
201811,-2.57,-2.52
201812,-2.21,-2.06
201901,-2.49,-2.38
201902,-2.41,-2.23
201903,-3.23,-3.01
201904,-2.66,-2.44
201905,-2.75,-2.77
201906,-3.01,-3.02
201907,-3.09,-3.10
201908,-3.09,-3.05
201909,-2.01,-1.95
201910,-1.58,-1.45
201911,-2.67,-2.62
201912,-2.81,-2.66
202001,1.26,1.37
202002,1.13,1.31
202003,-0.59,-0.37
202004,-1.26,-1.04
202005,0.54,0.52
202006,0.77,0.76
202007,0.76,0.75
202008,0.26,0.30
202009,0.29,0.35
202010,0.24,0.37
202011,0.31,0.36
202012,0.03,0.18
202101,0.36,0.47
202102,0.72,0.90
202103,-0.81,-0.59
202104,-1.68,-1.46
202105,-2.09,-2.11
202106,-2.59,-2.60
202107,-3.65,-3.66
202108,-3.99,-3.95
202109,-3.13,-3.07
202110,-2.35,-2.22
202111,-1.18,-1.13
202112,-1.15,-1.00
202201,-0.88,-0.77
202202,-1.36,-1.18
202203,-1.70,-1.48
202204,1.18,1.40
