West Virginia, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.63,1.39
201002,1.65,1.34
201003,-0.34,-0.64
201004,-1.31,-1.57
201005,-0.87,-1.14
201006,-0.82,-1.05
201007,-0.83,-1.00
201008,-1.21,-1.36
201009,-1.55,-1.70
201010,-1.78,-1.85
201011,-2.01,-1.97
201012,-1.65,-1.76
201101,-1.95,-2.19
201102,-1.88,-2.19
201103,0.73,0.43
201104,2.19,1.93
201105,2.27,2.00
201106,1.91,1.68
201107,1.10,0.93
201108,0.67,0.52
201109,1.93,1.78
201110,2.84,2.77
201111,3.26,3.30
201112,3.09,2.98
201201,-0.14,-0.38
201202,-0.62,-0.93
201203,-0.68,-0.98
201204,-1.01,-1.27
201205,-0.91,-1.18
201206,-1.46,-1.69
201207,-1.11,-1.28
201208,-1.77,-1.92
201209,0.80,0.65
201210,1.51,1.44
201211,0.65,0.69
201212,1.19,1.08
201301,1.55,1.31
201302,-0.57,-0.88
201303,-0.64,-0.94
201304,-1.20,-1.46
201305,-1.17,-1.44
201306,0.75,0.52
201307,1.35,1.18
201308,2.00,1.85
201309,1.57,1.42
201310,1.12,1.05
201311,1.30,1.34
201312,2.38,2.27
201401,1.67,1.43
201402,2.09,1.78
201403,-0.27,-0.57
201404,-0.63,-0.89
201405,-0.61,-0.88
201406,-0.49,-0.72
201407,-0.61,-0.78
201408,-0.32,-0.47
201409,-0.75,-0.90
201410,0.89,0.82
201411,0.83,0.87
201412,0.72,0.61
201501,0.25,0.01
201502,0.11,-0.20
201503,0.77,0.47
201504,1.77,1.51
201505,0.59,0.32
201506,1.32,1.09
201507,2.00,1.83
201508,-0.54,-0.69
201509,-0.25,-0.40
201510,-0.29,-0.36
201511,-0.75,-0.71
201512,-0.36,-0.47
201601,-0.63,-0.87
201602,-0.30,-0.61
201603,-1.26,-1.56
201604,-1.58,-1.84
201605,0.80,0.53
201606,1.59,1.36
201607,0.00,-0.17
201608,-0.45,-0.60
201609,-0.90,-1.05
201610,-0.90,-0.97
201611,-1.59,-1.55
201612,0.47,0.36
201701,0.98,0.74
201702,-0.91,-1.22
201703,0.10,-0.20
201704,0.03,-0.23
201705,0.80,0.53
201706,0.99,0.76
201707,1.56,1.39
201708,-0.19,-0.34
201709,-0.74,-0.89
201710,0.75,0.68
201711,-0.13,-0.09
201712,-0.67,-0.78
201801,-0.68,-0.92
201802,1.60,1.29
201803,1.56,1.26
201804,2.14,1.88
201805,2.30,2.03
201806,2.89,2.66
201807,2.61,2.44
201808,3.10,2.95
201809,5.53,5.38
201810,5.55,5.48
201811,6.07,6.11
201812,6.16,6.05
201901,5.79,5.55
201902,6.25,5.94
201903,5.03,4.73
201904,4.38,4.12
201905,4.19,3.92
201906,4.20,3.97
201907,3.56,3.39
201908,3.02,2.87
201909,1.19,1.04
201910,1.54,1.47
201911,1.22,1.26
201912,1.74,1.63
202001,1.60,1.36
202002,2.40,2.09
202003,1.87,1.57
202004,3.08,2.82
202005,3.52,3.25
202006,3.65,3.42
202007,2.87,2.70
202008,3.17,3.02
202009,2.84,2.69
202010,2.76,2.69
202011,2.35,2.39
202012,2.50,2.39
202101,2.01,1.77
202102,2.24,1.93
202103,-0.17,-0.47
202104,-0.36,-0.62
202105,-0.66,-0.93
202106,-0.30,-0.53
202107,-0.92,-1.09
202108,0.41,0.26
202109,0.93,0.78
202110,0.89,0.82
202111,-0.50,-0.46
202112,-0.98,-1.09
202201,0.72,0.48
202202,1.20,0.89
202203,-0.84,-1.14
202204,-0.92,-1.18
