Wyoming, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,-0.74,-1.25
201002,-0.97,-1.52
201003,-1.28,-1.77
201004,0.25,-0.40
201005,1.40,0.73
201006,1.96,1.48
201007,2.33,1.82
201008,2.34,1.82
201009,1.32,0.77
201010,1.04,0.46
201011,1.22,0.64
201012,1.75,1.28
201101,1.71,1.20
201102,1.84,1.29
201103,2.23,1.74
201104,3.04,2.39
201105,4.87,4.20
201106,4.37,3.89
201107,4.08,3.57
201108,-0.30,-0.82
201109,-0.99,-1.54
201110,0.43,-0.15
201111,0.69,0.11
201112,0.49,0.02
201201,0.31,-0.20
201202,0.58,0.03
201203,-1.29,-1.78
201204,-2.48,-3.13
201205,-3.07,-3.74
201206,-4.48,-4.96
201207,-5.50,-6.01
201208,-6.57,-7.09
201209,-6.94,-7.49
201210,-6.23,-6.81
201211,-6.21,-6.79
201212,-5.72,-6.19
201301,-5.79,-6.30
201302,-5.87,-6.42
201303,-6.52,-7.01
201304,-6.11,-6.76
201305,-5.75,-6.42
201306,-6.39,-6.87
201307,-6.55,-7.06
201308,-6.67,-7.19
201309,1.18,0.63
201310,2.50,1.92
201311,1.94,1.36
201312,1.96,1.49
201401,1.79,1.28
201402,2.50,1.95
201403,3.20,2.71
201404,2.88,2.23
201405,2.30,1.63
201406,2.15,1.67
201407,1.98,1.47
201408,3.01,2.49
201409,3.37,2.82
201410,-0.71,-1.29
201411,0.38,-0.20
201412,0.74,0.27
201501,-0.23,-0.74
201502,-0.11,-0.66
201503,-1.15,-1.64
201504,-1.57,-2.22
201505,1.75,1.08
201506,1.50,1.02
201507,1.79,1.28
201508,0.04,-0.48
201509,-0.69,-1.24
201510,-1.03,-1.61
201511,-0.92,-1.50
201512,-0.80,-1.27
201601,-0.96,-1.47
201602,-1.13,-1.68
201603,0.15,-0.34
201604,0.43,-0.22
201605,0.76,0.09
201606,-0.99,-1.47
201607,-1.64,-2.15
201608,-2.02,-2.54
201609,0.52,-0.03
201610,0.79,0.21
201611,0.03,-0.55
201612,0.59,0.12
201701,1.04,0.53
201702,2.09,1.54
201703,2.33,1.84
201704,3.09,2.44
201705,-0.19,-0.86
201706,-0.72,-1.20
201707,-1.19,-1.70
201708,-1.49,-2.01
201709,0.80,0.25
201710,0.52,-0.06
201711,0.57,-0.01
201712,0.46,-0.01
201801,0.19,-0.32
201802,0.31,-0.24
201803,0.33,-0.16
201804,0.01,-0.64
201805,0.37,-0.30
201806,0.42,-0.06
201807,0.54,0.03
201808,-0.11,-0.63
201809,-1.00,-1.55
201810,-0.65,-1.23
201811,-0.34,-0.92
201812,-0.54,-1.01
201901,-0.68,-1.19
201902,0.35,-0.20
201903,0.41,-0.08
201904,0.42,-0.23
201905,1.91,1.24
201906,1.74,1.26
201907,1.98,1.47
201908,1.86,1.34
201909,2.27,1.72
201910,2.71,2.13
201911,2.63,2.05
201912,2.35,1.88
202001,2.27,1.76
202002,2.52,1.97
202003,2.40,1.91
202004,0.04,-0.61
202005,-0.65,-1.32
202006,-0.80,-1.28
202007,-1.39,-1.90
202008,-2.44,-2.96
202009,-2.73,-3.28
202010,-2.49,-3.07
202011,-2.80,-3.38
202012,-3.04,-3.51
202101,-3.48,-3.99
202102,-3.36,-3.91
202103,-3.63,-4.12
202104,-4.02,-4.67
202105,-4.09,-4.76
202106,-5.11,-5.59
202107,-5.92,-6.43
202108,-5.60,-6.12
202109,-5.70,-6.25
202110,-4.41,-4.99
202111,-4.81,-5.39
202112,-4.28,-4.75
202201,-4.32,-4.83
202202,-4.63,-5.18
202203,-5.14,-5.63
202204,-4.84,-5.49
