Colorado, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.25,0.86
201002,1.38,0.97
201003,1.53,1.15
201004,1.68,1.30
201005,1.23,0.88
201006,1.05,0.78
201007,1.19,0.74
201008,1.37,0.88
201009,-0.70,-1.20
201010,-0.67,-1.15
201011,-0.73,-1.19
201012,-0.28,-0.67
201101,-0.56,-0.95
201102,-0.52,-0.93
201103,-1.01,-1.39
201104,0.18,-0.20
201105,0.80,0.45
201106,0.45,0.18
201107,0.84,0.39
201108,-0.38,-0.87
201109,-0.51,-1.01
201110,-0.19,-0.67
201111,-0.32,-0.78
201112,-0.54,-0.93
201201,-0.95,-1.34
201202,-0.89,-1.30
201203,-2.31,-2.69
201204,-3.04,-3.42
201205,-4.15,-4.50
201206,-5.67,-5.94
201207,-6.00,-6.45
201208,-6.75,-7.24
201209,-6.46,-6.96
201210,-6.29,-6.77
201211,-6.73,-7.19
201212,-6.28,-6.67
201301,-6.24,-6.63
201302,-6.35,-6.76
201303,-6.68,-7.06
201304,-6.09,-6.47
201305,-6.04,-6.39
201306,-6.71,-6.98
201307,-6.40,-6.85
201308,-5.90,-6.39
201309,1.74,1.24
201310,1.99,1.51
201311,1.81,1.35
201312,1.42,1.03
201401,1.34,0.95
201402,1.31,0.90
201403,0.83,0.45
201404,0.43,0.05
201405,0.47,0.12
201406,0.18,-0.09
201407,0.66,0.21
201408,1.26,0.77
201409,1.64,1.14
201410,-0.28,-0.76
201411,0.09,-0.37
201412,0.29,-0.10
201501,-0.29,-0.68
201502,-0.06,-0.47
201503,-0.92,-1.30
201504,-0.97,-1.35
201505,2.56,2.21
201506,2.71,2.44
201507,3.10,2.65
201508,2.77,2.28
201509,1.82,1.32
201510,1.80,1.32
201511,2.07,1.61
201512,2.24,1.85
201601,2.13,1.74
201602,1.88,1.47
201603,1.39,1.01
201604,1.92,1.54
201605,1.93,1.58
201606,-0.08,-0.35
201607,-0.43,-0.88
201608,-0.31,-0.80
201609,-0.73,-1.23
201610,-1.54,-2.02
201611,-2.05,-2.51
201612,0.21,-0.18
201701,1.01,0.62
201702,-0.18,-0.59
201703,-0.98,-1.36
201704,0.10,-0.28
201705,0.73,0.38
201706,0.06,-0.21
201707,0.70,0.25
201708,0.67,0.18
201709,1.03,0.53
201710,-0.24,-0.72
201711,-1.24,-1.70
201712,-1.94,-2.33
201801,-2.40,-2.79
201802,-2.71,-3.12
201803,-3.67,-4.05
201804,-3.97,-4.35
201805,-4.63,-4.98
201806,-5.63,-5.90
201807,-5.97,-6.42
201808,-6.27,-6.76
201809,-6.65,-7.15
201810,0.87,0.39
201811,0.71,0.25
201812,0.30,-0.09
201901,0.40,0.01
201902,0.72,0.31
201903,1.72,1.34
201904,1.21,0.83
201905,2.06,1.71
201906,2.31,2.04
201907,2.15,1.70
201908,-0.42,-0.91
201909,-1.20,-1.70
201910,-1.02,-1.50
201911,-1.02,-1.48
201912,-0.87,-1.26
202001,-1.18,-1.57
202002,-1.25,-1.66
202003,-1.74,-2.12
202004,-2.39,-2.77
202005,-3.29,-3.64
202006,-3.92,-4.19
202007,-4.37,-4.82
202008,-5.54,-6.03
202009,-5.57,-6.07
202010,-5.59,-6.07
202011,-5.68,-6.14
202012,-5.57,-5.96
202101,-5.75,-6.14
202102,-5.77,-6.18
202103,-5.49,-5.87
202104,-5.63,-6.01
202105,-4.59,-4.94
202106,-4.75,-5.02
202107,-4.63,-5.08
202108,-4.93,-5.42
202109,-4.92,-5.42
202110,-4.64,-5.12
202111,-5.36,-5.82
202112,-4.66,-5.05
202201,-4.73,-5.12
202202,-4.80,-5.21
202203,-4.85,-5.23
202204,-5.28,-5.66
