Delaware, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.51,4.75
201002,4.47,4.62
201003,4.75,4.92
201004,-0.86,-0.70
201005,-1.49,-1.22
201006,-2.34,-2.20
201007,-2.62,-2.55
201008,-3.00,-2.91
201009,-3.03,-2.90
201010,-2.12,-2.03
201011,-2.42,-2.22
201012,-2.58,-2.51
201101,-2.36,-2.12
201102,-2.47,-2.32
201103,-2.20,-2.03
201104,-2.27,-2.11
201105,-2.69,-2.42
201106,-3.28,-3.14
201107,-3.68,-3.61
201108,-1.98,-1.89
201109,-1.55,-1.42
201110,-1.37,-1.28
201111,-1.01,-0.81
201112,-1.00,-0.93
201201,-1.46,-1.22
201202,-1.81,-1.66
201203,-3.01,-2.84
201204,-3.29,-3.13
201205,-3.65,-3.38
201206,-3.66,-3.52
201207,-4.11,-4.04
201208,0.06,0.15
201209,-0.14,-0.01
201210,1.52,1.61
201211,-0.51,-0.31
201212,-0.27,-0.20
201301,-0.43,-0.19
201302,-0.54,-0.39
201303,-0.54,-0.37
201304,-0.51,-0.35
201305,-0.82,-0.55
201306,2.17,2.31
201307,2.71,2.78
201308,3.07,3.16
201309,2.12,2.25
201310,2.26,2.35
201311,1.97,2.17
201312,2.40,2.47
201401,2.08,2.32
201402,2.56,2.71
201403,2.38,2.55
201404,2.48,2.64
201405,-0.36,-0.09
201406,-0.75,-0.61
201407,-0.48,-0.41
201408,-0.48,-0.39
201409,-0.55,-0.42
201410,-0.97,-0.88
201411,0.06,0.26
201412,0.20,0.27
201501,0.80,1.04
201502,0.48,0.63
201503,0.74,0.91
201504,-0.22,-0.06
201505,-1.21,-0.94
201506,1.75,1.89
201507,-0.18,-0.11
201508,-0.66,-0.57
201509,-0.99,-0.86
201510,-0.78,-0.69
201511,-1.03,-0.83
201512,-0.81,-0.74
201601,-0.99,-0.75
201602,-0.62,-0.47
201603,-1.59,-1.42
201604,-1.75,-1.59
201605,0.73,1.00
201606,0.70,0.84
201607,0.91,0.98
201608,0.27,0.36
201609,2.15,2.28
201610,0.00,0.09
201611,-0.73,-0.53
201612,-0.76,-0.69
201701,-0.91,-0.67
201702,-1.83,-1.68
201703,-1.47,-1.30
201704,-2.00,-1.84
201705,0.61,0.88
201706,0.01,0.15
201707,0.99,1.06
201708,1.97,2.06
201709,-0.23,-0.10
201710,-0.15,-0.06
201711,-0.43,-0.23
201712,-1.08,-1.01
201801,-1.09,-0.85
201802,0.65,0.80
201803,0.72,0.89
201804,0.66,0.82
201805,1.39,1.66
201806,1.38,1.52
201807,1.74,1.81
201808,1.52,1.61
201809,2.18,2.31
201810,2.71,2.80
201811,3.95,4.15
201812,4.10,4.17
201901,3.70,3.94
201902,3.44,3.59
201903,-0.13,0.04
201904,-0.38,-0.22
201905,0.03,0.30
201906,0.50,0.64
201907,-0.29,-0.22
201908,-0.78,-0.69
201909,-1.76,-1.63
201910,-1.64,-1.55
201911,-2.29,-2.09
201912,-2.12,-2.05
202001,-2.09,-1.85
202002,-1.92,-1.77
202003,-2.06,-1.89
202004,-1.63,-1.47
202005,-1.78,-1.51
202006,-2.08,-1.94
202007,0.24,0.31
202008,1.28,1.37
202009,1.54,1.67
202010,2.28,2.37
202011,3.03,3.23
202012,3.75,3.82
202101,2.95,3.19
202102,3.80,3.95
202103,0.04,0.21
202104,-0.59,-0.43
202105,-0.82,-0.55
202106,-0.97,-0.83
202107,-0.71,-0.64
202108,-0.50,-0.41
202109,-0.48,-0.35
202110,-0.64,-0.55
202111,-1.49,-1.29
202112,-2.58,-2.51
202201,-2.26,-2.02
202202,-2.60,-2.45
202203,-2.82,-2.65
202204,-2.39,-2.23
