Florida, Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.59,1.41
201002,1.82,1.69
201003,2.52,2.40
201004,-0.13,-0.10
201005,-0.23,-0.24
201006,-0.96,-1.11
201007,-1.72,-1.75
201008,-1.62,-1.61
201009,-2.40,-2.31
201010,-3.48,-3.56
201011,-3.63,-3.69
201012,-4.05,-4.19
201101,-3.15,-3.33
201102,-3.39,-3.52
201103,-3.08,-3.20
201104,-3.32,-3.29
201105,-3.98,-3.99
201106,-4.65,-4.80
201107,-4.83,-4.86
201108,-5.14,-5.13
201109,-5.20,-5.11
201110,-4.04,-4.12
201111,-4.21,-4.27
201112,-4.55,-4.69
201201,-4.84,-5.02
201202,-4.96,-5.09
201203,-5.49,-5.61
201204,-5.41,-5.38
201205,-0.04,-0.05
201206,1.70,1.55
201207,1.02,0.99
201208,2.12,2.13
201209,-0.32,-0.23
201210,-0.27,-0.35
201211,-0.80,-0.86
201212,-0.81,-0.95
201301,-1.67,-1.85
201302,-1.19,-1.32
201303,-1.44,-1.56
201304,0.20,0.23
201305,0.58,0.57
201306,1.18,1.03
201307,2.71,2.68
201308,2.66,2.67
201309,2.17,2.26
201310,1.15,1.07
201311,1.13,1.07
201312,0.70,0.56
201401,1.12,0.94
201402,1.00,0.87
201403,1.39,1.27
201404,1.99,2.02
201405,2.08,2.07
201406,-0.23,-0.38
201407,-0.30,-0.33
201408,-1.05,-1.04
201409,0.67,0.76
201410,0.22,0.14
201411,1.09,1.03
201412,1.09,0.95
201501,0.99,0.81
201502,1.01,0.88
201503,-0.84,-0.96
201504,-0.74,-0.71
201505,-1.43,-1.44
201506,-1.86,-2.01
201507,-1.95,-1.98
201508,-1.60,-1.59
201509,-1.51,-1.42
201510,-2.11,-2.19
201511,-1.86,-1.92
201512,-1.94,-2.08
201601,1.19,1.01
201602,1.09,0.96
201603,-0.35,-0.47
201604,-0.47,-0.44
201605,-0.22,-0.23
201606,-0.19,-0.34
201607,-1.21,-1.24
201608,-1.04,-1.03
201609,-0.81,-0.72
201610,-1.17,-1.25
201611,-2.04,-2.10
201612,-2.36,-2.50
201701,-2.06,-2.24
201702,-2.57,-2.70
201703,-3.24,-3.36
201704,-3.47,-3.44
201705,-3.50,-3.51
201706,1.55,1.40
201707,1.47,1.44
201708,1.87,1.88
201709,2.38,2.47
201710,2.60,2.52
201711,-0.31,-0.37
201712,-0.69,-0.83
201801,-0.47,-0.65
201802,-1.14,-1.27
201803,-1.50,-1.62
201804,0.20,0.23
201805,2.12,2.11
201806,1.87,1.72
201807,2.07,2.04
201808,2.10,2.11
201809,-0.72,-0.63
201810,-1.48,-1.56
201811,0.03,-0.03
201812,1.59,1.45
201901,1.85,1.67
201902,-0.78,-0.91
201903,-1.38,-1.50
201904,-1.36,-1.33
201905,-1.71,-1.72
201906,-1.47,-1.62
201907,-1.48,-1.51
201908,-0.88,-0.87
201909,-2.54,-2.45
201910,-2.33,-2.41
201911,-2.54,-2.60
201912,-2.03,-2.17
202001,-2.42,-2.60
202002,-2.28,-2.41
202003,-3.44,-3.56
202004,0.05,0.08
202005,0.33,0.32
202006,0.28,0.13
202007,0.30,0.27
202008,0.50,0.51
202009,1.28,1.37
202010,1.10,1.02
202011,1.36,1.30
202012,1.33,1.19
202101,-0.35,-0.53
202102,-0.16,-0.29
202103,-0.97,-1.09
202104,-0.40,-0.37
202105,-1.25,-1.26
202106,0.28,0.13
202107,0.68,0.65
202108,1.27,1.28
202109,1.28,1.37
202110,1.12,1.04
202111,1.41,1.35
202112,-0.54,-0.68
202201,-0.67,-0.85
202202,-1.44,-1.57
202203,-1.00,-1.12
202204,-0.96,-0.93
