Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.41,2.27
201002,1.44,0.29
201003,1.03,-0.09
201004,0.27,-0.30
201005,0.06,-0.28
201006,0.08,-0.21
201007,1.97,0.17
201008,1.84,-0.26
201009,0.60,-0.58
201010,1.35,0.45
201011,0.19,-0.66
201012,1.67,0.49
201101,0.05,-1.09
201102,1.05,-0.10
201103,0.33,-0.79
201104,0.41,-0.16
201105,0.28,-0.06
201106,0.02,-0.27
201107,1.76,-0.04
201108,1.28,-0.82
201109,1.31,0.13
201110,0.67,-0.23
201111,0.92,0.07
201112,1.55,0.37
201201,0.26,-0.88
201202,0.43,-0.72
201203,0.69,-0.43
201204,0.32,-0.25
201205,0.05,-0.29
201206,0.08,-0.21
201207,2.52,0.72
201208,2.22,0.12
201209,1.07,-0.11
201210,0.25,-0.65
201211,0.21,-0.64
201212,1.46,0.28
201301,1.30,0.16
201302,0.51,-0.64
201303,0.57,-0.55
201304,0.20,-0.37
201305,0.06,-0.28
201306,0.03,-0.26
201307,2.68,0.88
201308,2.39,0.29
201309,1.88,0.70
201310,0.21,-0.69
201311,1.86,1.01
201312,0.44,-0.74
201401,0.03,-1.11
201402,0.16,-0.99
201403,0.90,-0.22
201404,0.24,-0.33
201405,0.07,-0.27
201406,0.01,-0.28
201407,1.86,0.06
201408,3.13,1.03
201409,2.49,1.31
201410,0.60,-0.30
201411,0.11,-0.74
201412,1.47,0.29
201501,1.79,0.65
201502,0.64,-0.51
201503,1.12,0.00
201504,0.42,-0.15
201505,1.00,0.66
201506,0.80,0.51
201507,1.91,0.11
201508,2.10,0.00
201509,1.37,0.19
201510,1.88,0.98
201511,0.76,-0.09
201512,0.60,-0.58
201601,1.40,0.26
201602,0.29,-0.86
201603,0.11,-1.01
201604,0.80,0.23
201605,0.52,0.18
201606,0.43,0.14
201607,1.39,-0.41
201608,2.57,0.47
201609,1.35,0.17
201610,0.35,-0.55
201611,0.94,0.09
201612,2.13,0.95
201701,2.07,0.93
201702,1.26,0.11
201703,0.41,-0.71
201704,0.19,-0.38
201705,0.41,0.07
201706,0.06,-0.23
201707,2.89,1.09
201708,1.39,-0.71
201709,0.61,-0.57
201710,0.03,-0.87
201711,0.02,-0.83
201712,0.13,-1.05
201801,0.56,-0.58
201802,1.07,-0.08
201803,0.44,-0.68
201804,0.04,-0.53
201805,0.15,-0.19
201806,0.33,0.04
201807,2.59,0.79
201808,2.00,-0.10
201809,0.81,-0.37
201810,2.70,1.80
201811,0.27,-0.58
201812,0.71,-0.47
201901,1.50,0.36
201902,2.74,1.59
201903,1.22,0.10
201904,0.30,-0.27
201905,0.91,0.57
201906,0.06,-0.23
201907,0.79,-1.01
201908,0.88,-1.22
201909,1.68,0.50
201910,0.02,-0.88
201911,2.96,2.11
201912,1.63,0.45
202001,0.45,-0.69
202002,1.10,-0.05
202003,2.38,1.26
202004,0.36,-0.21
202005,0.11,-0.23
202006,0.04,-0.25
202007,0.71,-1.09
202008,0.60,-1.50
202009,0.11,-1.07
202010,0.14,-0.76
202011,0.27,-0.58
202012,0.29,-0.89
202101,1.31,0.17
202102,0.23,-0.92
202103,0.73,-0.39
202104,0.19,-0.38
202105,0.04,-0.30
202106,0.22,-0.07
202107,3.82,2.02
202108,2.18,0.08
202109,1.29,0.11
202110,0.74,-0.16
202111,0.05,-0.80
202112,1.77,0.59
202201,0.30,-0.84
202202,0.41,-0.74
202203,0.51,-0.61
