Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.92,-0.12
201002,3.32,-0.40
201003,2.99,-1.78
201004,3.06,-1.98
201005,6.20,1.05
201006,2.61,-1.47
201007,4.46,0.75
201008,1.73,-1.65
201009,3.30,-0.29
201010,1.31,-2.15
201011,4.35,0.06
201012,1.54,-2.83
201101,1.60,-2.44
201102,4.12,0.40
201103,2.80,-1.97
201104,10.60,5.56
201105,8.31,3.16
201106,1.67,-2.41
201107,2.03,-1.68
201108,4.26,0.88
201109,2.49,-1.10
201110,2.54,-0.92
201111,8.45,4.16
201112,6.97,2.60
201201,2.92,-1.12
201202,3.03,-0.69
201203,6.71,1.94
201204,2.56,-2.48
201205,1.47,-3.68
201206,1.98,-2.10
201207,2.82,-0.89
201208,4.37,0.99
201209,5.01,1.42
201210,3.29,-0.17
201211,1.74,-2.55
201212,3.91,-0.46
201301,6.04,2.00
201302,4.07,0.35
201303,3.51,-1.26
201304,5.23,0.19
201305,6.29,1.14
201306,3.32,-0.76
201307,4.04,0.33
201308,3.83,0.45
201309,3.47,-0.12
201310,4.84,1.38
201311,3.85,-0.44
201312,5.75,1.38
201401,1.98,-2.06
201402,2.67,-1.05
201403,4.66,-0.11
201404,5.54,0.50
201405,6.05,0.90
201406,6.24,2.16
201407,4.34,0.63
201408,2.89,-0.49
201409,2.42,-1.17
201410,5.43,1.97
201411,2.68,-1.61
201412,3.01,-1.36
201501,3.49,-0.55
201502,3.18,-0.54
201503,8.02,3.25
201504,5.75,0.71
201505,10.56,5.41
201506,3.99,-0.09
201507,4.92,1.21
201508,3.02,-0.36
201509,1.47,-2.12
201510,3.75,0.29
201511,10.72,6.43
201512,8.44,4.07
201601,2.02,-2.02
201602,2.43,-1.29
201603,9.89,5.12
201604,5.80,0.76
201605,4.54,-0.61
201606,3.10,-0.98
201607,4.82,1.11
201608,7.42,4.04
201609,1.80,-1.79
201610,1.58,-1.88
201611,3.28,-1.01
201612,3.76,-0.61
201701,3.02,-1.02
201702,2.76,-0.96
201703,4.56,-0.21
201704,8.74,3.70
201705,6.59,1.44
201706,4.24,0.16
201707,4.72,1.01
201708,6.30,2.92
201709,1.21,-2.38
201710,1.82,-1.64
201711,1.11,-3.18
201712,5.19,0.82
201801,2.70,-1.34
201802,11.81,8.09
201803,5.45,0.68
201804,5.06,0.02
201805,3.28,-1.87
201806,2.94,-1.14
201807,3.24,-0.47
201808,6.43,3.05
201809,5.32,1.73
201810,5.22,1.76
201811,5.11,0.82
201812,7.76,3.39
201901,4.51,0.47
201902,7.76,4.04
201903,3.98,-0.79
201904,8.25,3.21
201905,9.18,4.03
201906,6.12,2.04
201907,4.83,1.12
201908,4.51,1.13
201909,1.98,-1.61
201910,7.56,4.10
201911,4.66,0.37
201912,2.31,-2.06
202001,6.15,2.11
202002,5.79,2.07
202003,7.39,2.62
202004,6.11,1.07
202005,6.94,1.79
202006,4.67,0.59
202007,3.64,-0.07
202008,6.74,3.36
202009,5.65,2.06
202010,4.42,0.96
202011,1.94,-2.35
202012,4.38,0.01
202101,4.15,0.11
202102,3.43,-0.29
202103,6.18,1.41
202104,5.59,0.55
202105,6.79,1.64
202106,4.91,0.83
202107,4.73,1.02
202108,3.05,-0.33
202109,1.89,-1.70
202110,4.26,0.80
202111,2.13,-2.16
202112,3.49,-0.88
202201,3.42,-0.62
202202,4.36,0.64
202203,5.57,0.80
