California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,6.48,2.23
201002,3.65,-0.20
201003,2.19,-1.02
201004,3.47,1.84
201005,1.07,0.19
201006,0.26,-0.09
201007,0.07,-0.11
201008,0.10,-0.14
201009,0.16,-0.29
201010,3.00,1.80
201011,2.60,0.07
201012,8.13,4.52
201101,1.28,-2.97
201102,3.34,-0.51
201103,6.41,3.20
201104,1.10,-0.53
201105,1.44,0.56
201106,0.92,0.57
201107,0.22,0.04
201108,0.10,-0.14
201109,0.28,-0.17
201110,1.54,0.34
201111,1.69,-0.84
201112,0.47,-3.14
201201,3.12,-1.13
201202,1.22,-2.63
201203,4.74,1.53
201204,2.48,0.85
201205,0.20,-0.68
201206,0.32,-0.03
201207,0.26,0.08
201208,0.30,0.06
201209,0.10,-0.35
201210,0.99,-0.21
201211,3.57,1.04
201212,6.15,2.54
201301,1.19,-3.06
201302,0.58,-3.27
201303,1.33,-1.88
201304,0.71,-0.92
201305,0.62,-0.26
201306,0.38,0.03
201307,0.28,0.10
201308,0.38,0.14
201309,0.77,0.32
201310,0.26,-0.94
201311,0.99,-1.54
201312,0.44,-3.17
201401,0.54,-3.71
201402,4.02,0.17
201403,3.28,0.07
201404,1.06,-0.57
201405,0.35,-0.53
201406,0.06,-0.29
201407,0.22,0.04
201408,0.45,0.21
201409,0.72,0.27
201410,1.06,-0.14
201411,1.84,-0.69
201412,6.30,2.69
201501,0.65,-3.60
201502,2.86,-0.99
201503,0.78,-2.43
201504,1.06,-0.57
201505,0.93,0.05
201506,0.23,-0.12
201507,0.66,0.48
201508,0.08,-0.16
201509,0.33,-0.12
201510,0.90,-0.30
201511,1.87,-0.66
201512,4.69,1.08
201601,6.39,2.14
201602,1.21,-2.64
201603,4.88,1.67
201604,1.52,-0.11
201605,0.77,-0.11
201606,0.27,-0.08
201607,0.06,-0.12
201608,0.06,-0.18
201609,0.10,-0.35
201610,3.82,2.62
201611,2.16,-0.37
201612,4.49,0.88
201701,9.92,5.67
201702,7.94,4.09
201703,2.45,-0.76
201704,2.76,1.13
201705,0.43,-0.45
201706,0.26,-0.09
201707,0.09,-0.09
201708,0.27,0.03
201709,0.43,-0.02
201710,0.34,-0.86
201711,2.98,0.45
201712,0.30,-3.31
201801,3.33,-0.92
201802,0.57,-3.28
201803,5.12,1.91
201804,2.13,0.50
201805,0.66,-0.22
201806,0.07,-0.28
201807,0.22,0.04
201808,0.04,-0.20
201809,0.06,-0.39
201810,0.70,-0.50
201811,2.81,0.28
201812,2.38,-1.23
201901,5.23,0.98
201902,8.57,4.72
201903,4.05,0.84
201904,1.22,-0.41
201905,2.50,1.62
201906,0.09,-0.26
201907,0.08,-0.10
201908,0.13,-0.11
201909,0.61,0.16
201910,0.16,-1.04
201911,1.61,-0.92
201912,4.87,1.26
202001,2.06,-2.19
202002,0.21,-3.64
202003,3.19,-0.02
202004,1.99,0.36
202005,1.20,0.32
202006,0.16,-0.19
202007,0.05,-0.13
202008,0.10,-0.14
202009,0.04,-0.41
202010,0.05,-1.15
202011,1.19,-1.34
202012,1.83,-1.78
202101,3.65,-0.60
202102,1.39,-2.46
202103,1.73,-1.48
202104,0.29,-1.34
202105,0.11,-0.77
202106,0.14,-0.21
202107,0.29,0.11
202108,0.10,-0.14
202109,0.36,-0.09
202110,3.66,2.46
202111,0.95,-1.58
202112,6.27,2.66
202201,0.45,-3.80
202202,0.25,-3.60
202203,0.96,-2.25
