Delaware, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.85,-0.64
201002,3.85,0.81
201003,6.46,2.48
201004,1.91,-1.57
201005,2.21,-1.35
201006,2.13,-1.51
201007,4.29,-0.02
201008,3.38,-1.21
201009,3.71,0.11
201010,5.64,2.51
201011,2.03,-1.03
201012,2.10,-1.36
201101,3.18,-0.31
201102,2.36,-0.68
201103,4.05,0.07
201104,3.30,-0.18
201105,2.38,-1.18
201106,1.86,-1.78
201107,3.70,-0.61
201108,10.04,5.45
201109,4.17,0.57
201110,2.76,-0.37
201111,3.62,0.56
201112,3.14,-0.32
201201,2.12,-1.37
201202,2.21,-0.83
201203,1.07,-2.91
201204,2.71,-0.77
201205,2.44,-1.12
201206,2.99,-0.65
201207,3.16,-1.15
201208,5.82,1.23
201209,3.76,0.16
201210,8.10,4.97
201211,0.98,-2.08
201212,3.96,0.50
201301,3.03,-0.46
201302,2.67,-0.37
201303,3.54,-0.44
201304,3.68,0.20
201305,2.89,-0.67
201306,9.56,5.92
201307,6.57,2.26
201308,6.01,1.42
201309,1.08,-2.52
201310,4.28,1.15
201311,2.48,-0.58
201312,4.96,1.50
201401,3.09,-0.40
201402,4.54,1.50
201403,3.87,-0.11
201404,4.40,0.92
201405,3.06,-0.50
201406,2.59,-1.05
201407,5.24,0.93
201408,4.37,-0.22
201409,3.59,-0.01
201410,2.44,-0.69
201411,3.96,0.90
201412,3.85,0.39
201501,4.96,1.47
201502,2.32,-0.72
201503,4.53,0.55
201504,3.13,-0.35
201505,1.50,-2.06
201506,9.01,5.37
201507,3.33,-0.98
201508,2.81,-1.78
201509,3.20,-0.40
201510,3.84,0.71
201511,3.02,-0.04
201512,4.62,1.16
201601,2.67,-0.82
201602,3.79,0.75
201603,1.73,-2.25
201604,2.73,-0.75
201605,5.88,2.32
201606,3.72,0.08
201607,5.53,1.22
201608,3.03,-1.56
201609,9.98,6.38
201610,2.87,-0.26
201611,0.79,-2.27
201612,2.95,-0.51
201701,3.00,-0.49
201702,1.24,-1.80
201703,4.46,0.48
201704,2.63,-0.85
201705,5.68,2.12
201706,2.32,-1.32
201707,8.04,3.73
201708,7.91,3.32
201709,2.57,-1.03
201710,3.59,0.46
201711,2.04,-1.02
201712,1.05,-2.41
201801,2.98,-0.51
201802,4.97,1.93
201803,4.09,0.11
201804,3.40,-0.08
201805,6.99,3.43
201806,3.97,0.33
201807,5.77,1.46
201808,4.53,-0.06
201809,6.61,3.01
201810,5.04,1.91
201811,6.85,3.79
201812,4.82,1.36
201901,3.45,-0.04
201902,3.47,0.43
201903,3.59,-0.39
201904,3.57,0.09
201905,4.48,0.92
201906,5.01,1.37
201907,3.41,-0.90
201908,3.14,-1.45
201909,1.32,-2.28
201910,4.13,1.00
201911,1.38,-1.68
201912,4.07,0.61
202001,3.19,-0.30
202002,3.30,0.26
202003,3.62,-0.36
202004,3.96,0.48
202005,2.63,-0.93
202006,2.51,-1.13
202007,6.37,2.06
202008,8.85,4.26
202009,4.35,0.75
202010,5.28,2.15
202011,5.84,2.78
202012,6.02,2.56
202101,2.34,-1.15
202102,5.65,2.61
202103,4.47,0.49
202104,2.28,-1.20
202105,3.04,-0.52
202106,3.21,-0.43
202107,5.24,0.93
202108,5.47,0.88
202109,3.85,0.25
202110,3.47,0.34
202111,0.88,-2.18
202112,0.98,-2.48
202201,4.16,0.67
202202,2.01,-1.03
202203,2.97,-1.01
