Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.52,-1.22
201002,1.48,-0.75
201003,3.10,-0.41
201004,3.16,-0.65
201005,5.49,1.36
201006,7.68,3.60
201007,4.15,0.35
201008,1.84,-1.64
201009,1.35,-1.88
201010,1.17,-1.68
201011,5.01,1.99
201012,1.44,-1.41
201101,1.50,-1.24
201102,4.21,1.98
201103,3.46,-0.05
201104,9.61,5.80
201105,6.51,2.38
201106,5.23,1.15
201107,2.74,-1.06
201108,2.55,-0.93
201109,5.31,2.08
201110,3.29,0.44
201111,6.21,3.19
201112,4.58,1.73
201201,3.40,0.66
201202,1.54,-0.69
201203,2.73,-0.78
201204,2.22,-1.59
201205,2.75,-1.38
201206,1.29,-2.79
201207,2.53,-1.27
201208,4.05,0.57
201209,5.17,1.94
201210,3.95,1.10
201211,0.98,-2.04
201212,3.21,0.36
201301,4.71,1.97
201302,2.21,-0.02
201303,2.30,-1.21
201304,6.38,2.57
201305,3.71,-0.42
201306,6.24,2.16
201307,3.21,-0.59
201308,1.84,-1.64
201309,2.99,-0.24
201310,4.12,1.27
201311,3.04,0.02
201312,4.39,1.54
201401,2.33,-0.41
201402,2.64,0.41
201403,1.85,-1.66
201404,5.73,1.92
201405,4.23,0.10
201406,5.61,1.53
201407,3.36,-0.44
201408,4.96,1.48
201409,3.48,0.25
201410,4.13,1.28
201411,2.66,-0.36
201412,2.59,-0.26
201501,2.11,-0.63
201502,1.40,-0.83
201503,3.54,0.03
201504,4.79,0.98
201505,3.98,-0.15
201506,9.07,4.99
201507,6.23,2.43
201508,2.57,-0.91
201509,2.39,-0.84
201510,2.42,-0.43
201511,3.57,0.55
201512,5.44,2.59
201601,1.34,-1.40
201602,2.78,0.55
201603,4.46,0.95
201604,4.17,0.36
201605,3.53,-0.60
201606,4.28,0.20
201607,5.13,1.33
201608,6.48,3.00
201609,3.66,0.43
201610,2.61,-0.24
201611,2.58,-0.44
201612,2.36,-0.49
201701,3.68,0.94
201702,1.35,-0.88
201703,4.04,0.53
201704,4.83,1.02
201705,6.90,2.77
201706,4.37,0.29
201707,6.07,2.27
201708,2.26,-1.22
201709,2.03,-1.20
201710,4.32,1.47
201711,4.43,1.41
201712,1.33,-1.52
201801,2.05,-0.69
201802,5.91,3.68
201803,3.92,0.41
201804,3.59,-0.22
201805,3.42,-0.71
201806,6.55,2.47
201807,3.37,-0.43
201808,5.33,1.85
201809,5.40,2.17
201810,2.82,-0.03
201811,4.32,1.30
201812,3.35,0.50
201901,3.50,0.76
201902,4.45,2.22
201903,4.18,0.67
201904,5.62,1.81
201905,6.02,1.89
201906,6.12,2.04
201907,3.61,-0.19
201908,3.51,0.03
201909,2.26,-0.97
201910,4.29,1.44
201911,2.70,-0.32
201912,3.26,0.41
202001,4.65,1.91
202002,2.81,0.58
202003,4.62,1.11
202004,3.05,-0.76
202005,5.07,0.94
202006,3.52,-0.56
202007,4.58,0.78
202008,3.31,-0.17
202009,1.53,-1.70
202010,4.44,1.59
202011,3.02,0.00
202012,1.80,-1.05
202101,2.45,-0.29
202102,2.21,-0.02
202103,3.82,0.31
202104,2.95,-0.86
202105,3.77,-0.36
202106,5.91,1.83
202107,5.46,1.66
202108,3.42,-0.06
202109,4.12,0.89
202110,6.03,3.18
202111,1.44,-1.58
202112,3.99,1.14
202201,1.69,-1.05
202202,4.53,2.30
202203,4.05,0.54
