Iowa, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.30,0.32
201002,0.96,-0.06
201003,1.72,-0.24
201004,3.70,0.76
201005,4.19,0.14
201006,10.28,5.65
201007,7.89,4.03
201008,4.83,0.99
201009,5.40,1.73
201010,0.91,-1.38
201011,1.64,-0.11
201012,1.23,0.12
201101,0.94,-0.04
201102,1.39,0.37
201103,1.50,-0.46
201104,3.81,0.87
201105,5.00,0.95
201106,6.19,1.56
201107,3.40,-0.46
201108,3.02,-0.82
201109,1.68,-1.99
201110,0.74,-1.55
201111,2.08,0.33
201112,2.08,0.97
201201,0.57,-0.41
201202,1.68,0.66
201203,1.91,-0.05
201204,3.90,0.96
201205,3.51,-0.54
201206,2.81,-1.82
201207,1.17,-2.69
201208,2.88,-0.96
201209,1.62,-2.05
201210,2.98,0.69
201211,1.05,-0.70
201212,1.53,0.42
201301,0.95,-0.03
201302,1.27,0.25
201303,2.09,0.13
201304,6.43,3.49
201305,8.65,4.60
201306,4.89,0.26
201307,1.74,-2.12
201308,1.49,-2.35
201309,1.94,-1.73
201310,2.78,0.49
201311,1.59,-0.16
201312,0.62,-0.49
201401,0.43,-0.55
201402,1.50,0.48
201403,0.81,-1.15
201404,4.65,1.71
201405,3.04,-1.01
201406,9.66,5.03
201407,3.30,-0.56
201408,5.92,2.08
201409,4.35,0.68
201410,3.17,0.88
201411,0.76,-0.99
201412,1.10,-0.01
201501,0.52,-0.46
201502,1.11,0.09
201503,0.56,-1.40
201504,3.37,0.43
201505,5.06,1.01
201506,6.38,1.75
201507,5.51,1.65
201508,5.29,1.45
201509,4.18,0.51
201510,1.76,-0.53
201511,4.08,2.33
201512,4.71,3.60
201601,0.59,-0.39
201602,0.88,-0.14
201603,2.28,0.32
201604,3.19,0.25
201605,4.36,0.31
201606,3.70,-0.93
201607,5.92,2.06
201608,6.14,2.30
201609,6.12,2.45
201610,2.01,-0.28
201611,1.39,-0.36
201612,1.52,0.41
201701,1.56,0.58
201702,0.99,-0.03
201703,2.57,0.61
201704,3.80,0.86
201705,4.80,0.75
201706,3.50,-1.13
201707,2.94,-0.92
201708,3.83,-0.01
201709,2.31,-1.36
201710,5.26,2.97
201711,0.41,-1.34
201712,0.39,-0.72
201801,1.02,0.04
201802,1.54,0.52
201803,2.28,0.32
201804,1.54,-1.40
201805,4.70,0.65
201806,7.55,2.92
201807,3.39,-0.47
201808,6.42,2.58
201809,8.10,4.43
201810,4.63,2.34
201811,1.81,0.06
201812,2.10,0.99
201901,1.28,0.30
201902,2.34,1.32
201903,2.19,0.23
201904,3.03,0.09
201905,8.21,4.16
201906,3.91,-0.72
201907,3.38,-0.48
201908,3.53,-0.31
201909,6.21,2.54
201910,4.78,2.49
201911,1.49,-0.26
201912,1.28,0.17
202001,1.41,0.43
202002,0.43,-0.59
202003,2.91,0.95
202004,1.65,-1.29
202005,4.57,0.52
202006,4.95,0.32
202007,2.93,-0.93
202008,1.23,-2.61
202009,4.07,0.40
202010,1.90,-0.39
202011,2.09,0.34
202012,1.14,0.03
202101,1.26,0.28
202102,0.79,-0.23
202103,2.84,0.88
202104,1.53,-1.41
202105,3.87,-0.18
202106,3.37,-1.26
202107,4.03,0.17
202108,4.69,0.85
202109,1.83,-1.84
202110,5.04,2.75
202111,0.99,-0.76
202112,0.89,-0.22
202201,0.80,-0.18
202202,0.27,-0.75
202203,2.58,0.62
