Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.77,-0.59
201002,3.43,0.54
201003,4.99,1.21
201004,1.87,-1.61
201005,3.11,-0.62
201006,2.10,-1.75
201007,3.79,-0.39
201008,4.34,-0.04
201009,5.24,1.68
201010,4.83,1.72
201011,2.14,-0.84
201012,2.28,-1.01
201101,2.38,-0.98
201102,2.27,-0.62
201103,5.04,1.26
201104,4.77,1.29
201105,3.20,-0.53
201106,2.54,-1.31
201107,3.29,-0.89
201108,8.86,4.48
201109,8.03,4.47
201110,3.67,0.56
201111,3.42,0.44
201112,3.64,0.35
201201,2.27,-1.09
201202,2.11,-0.78
201203,2.14,-1.64
201204,2.49,-0.99
201205,3.69,-0.04
201206,2.99,-0.86
201207,3.68,-0.50
201208,4.86,0.48
201209,3.62,0.06
201210,7.94,4.83
201211,0.75,-2.23
201212,3.86,0.57
201301,3.45,0.09
201302,2.22,-0.67
201303,3.25,-0.53
201304,3.07,-0.41
201305,3.20,-0.53
201306,7.46,3.61
201307,4.77,0.59
201308,4.22,-0.16
201309,1.53,-2.03
201310,5.06,1.95
201311,2.73,-0.25
201312,5.08,1.79
201401,2.65,-0.71
201402,4.17,1.28
201403,3.75,-0.03
201404,4.93,1.45
201405,5.18,1.45
201406,3.64,-0.21
201407,3.87,-0.31
201408,3.93,-0.45
201409,2.64,-0.92
201410,3.38,0.27
201411,3.09,0.11
201412,3.53,0.24
201501,3.79,0.43
201502,2.03,-0.86
201503,4.26,0.48
201504,3.63,0.15
201505,2.46,-1.27
201506,9.39,5.54
201507,3.93,-0.25
201508,2.61,-1.77
201509,3.86,0.30
201510,3.71,0.60
201511,2.62,-0.36
201512,4.57,1.28
201601,3.00,-0.36
201602,4.04,1.15
201603,1.77,-2.01
201604,2.13,-1.35
201605,5.93,2.20
201606,4.17,0.32
201607,4.82,0.64
201608,2.78,-1.60
201609,6.59,3.03
201610,2.22,-0.89
201611,1.00,-1.98
201612,3.21,-0.08
201701,3.14,-0.22
201702,1.12,-1.77
201703,3.73,-0.05
201704,3.22,-0.26
201705,5.85,2.12
201706,2.11,-1.74
201707,7.76,3.58
201708,5.57,1.19
201709,2.01,-1.55
201710,3.79,0.68
201711,1.96,-1.02
201712,0.95,-2.34
201801,2.40,-0.96
201802,4.73,1.84
201803,2.78,-1.00
201804,3.75,0.27
201805,7.61,3.88
201806,5.10,1.25
201807,8.20,4.02
201808,4.95,0.57
201809,9.14,5.58
201810,4.04,0.93
201811,6.95,3.97
201812,4.97,1.68
201901,3.26,-0.10
201902,3.61,0.72
201903,4.07,0.29
201904,3.04,-0.44
201905,5.19,1.46
201906,4.23,0.38
201907,4.91,0.73
201908,3.12,-1.26
201909,0.71,-2.85
201910,5.26,2.15
201911,1.70,-1.28
201912,3.60,0.31
202001,3.04,-0.32
202002,3.19,0.30
202003,2.92,-0.86
202004,4.88,1.40
202005,3.06,-0.67
202006,3.61,-0.24
202007,4.37,0.19
202008,8.94,4.56
202009,4.02,0.46
202010,4.64,1.53
202011,4.76,1.78
202012,5.41,2.12
202101,2.08,-1.28
202102,4.34,1.45
202103,3.42,-0.36
202104,2.75,-0.73
202105,3.40,-0.33
202106,3.79,-0.06
202107,4.34,0.16
202108,5.84,1.46
202109,6.09,2.53
202110,3.47,0.36
202111,0.98,-2.00
202112,1.08,-2.21
202201,3.84,0.48
202202,2.15,-0.74
202203,2.84,-0.94
