Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.89,0.10
201002,0.58,-0.11
201003,0.95,-0.31
201004,1.35,-0.70
201005,3.15,0.02
201006,5.21,1.10
201007,4.95,1.35
201008,4.55,1.11
201009,6.41,3.53
201010,2.25,0.33
201011,1.38,0.07
201012,1.77,0.96
201101,1.05,0.26
201102,0.68,-0.01
201103,1.19,-0.07
201104,2.70,0.65
201105,4.14,1.01
201106,4.18,0.07
201107,4.68,1.08
201108,2.73,-0.71
201109,1.21,-1.67
201110,0.98,-0.94
201111,0.34,-0.97
201112,0.47,-0.34
201201,0.56,-0.23
201202,1.18,0.49
201203,1.63,0.37
201204,2.76,0.71
201205,5.96,2.83
201206,4.36,0.25
201207,3.28,-0.32
201208,2.04,-1.40
201209,0.61,-2.27
201210,1.88,-0.04
201211,0.87,-0.44
201212,1.04,0.23
201301,1.01,0.22
201302,1.16,0.47
201303,1.70,0.44
201304,3.05,1.00
201305,4.39,1.26
201306,5.22,1.11
201307,2.86,-0.74
201308,1.84,-1.60
201309,2.45,-0.43
201310,3.34,1.42
201311,0.62,-0.69
201312,1.37,0.56
201401,0.80,0.01
201402,0.86,0.17
201403,0.87,-0.39
201404,3.70,1.65
201405,3.51,0.38
201406,8.07,3.96
201407,2.50,-1.10
201408,3.72,0.28
201409,2.36,-0.52
201410,1.19,-0.73
201411,0.81,-0.50
201412,0.73,-0.08
201501,0.49,-0.30
201502,0.47,-0.22
201503,0.60,-0.66
201504,1.39,-0.66
201505,5.30,2.17
201506,3.80,-0.31
201507,4.07,0.47
201508,3.89,0.45
201509,2.71,-0.17
201510,2.15,0.23
201511,2.68,1.37
201512,1.91,1.10
201601,0.54,-0.25
201602,0.74,0.05
201603,1.96,0.70
201604,2.15,0.10
201605,2.53,-0.60
201606,4.15,0.04
201607,6.07,2.47
201608,5.31,1.87
201609,4.62,1.74
201610,2.17,0.25
201611,1.72,0.41
201612,1.58,0.77
201701,0.98,0.19
201702,0.97,0.28
201703,0.81,-0.45
201704,2.50,0.45
201705,3.21,0.08
201706,3.76,-0.35
201707,2.64,-0.96
201708,5.23,1.79
201709,3.72,0.84
201710,3.26,1.34
201711,0.51,-0.80
201712,0.71,-0.10
201801,0.57,-0.22
201802,1.02,0.33
201803,1.17,-0.09
201804,1.13,-0.92
201805,2.79,-0.34
201806,5.72,1.61
201807,4.30,0.70
201808,3.11,-0.33
201809,4.32,1.44
201810,3.57,1.65
201811,1.05,-0.26
201812,1.33,0.52
201901,0.65,-0.14
201902,1.72,1.03
201903,1.66,0.40
201904,2.71,0.66
201905,4.11,0.98
201906,3.55,-0.56
201907,4.62,1.02
201908,3.31,-0.13
201909,6.12,3.24
201910,4.22,2.30
201911,1.17,-0.14
201912,1.82,1.01
202001,0.88,0.09
202002,0.34,-0.35
202003,1.18,-0.08
202004,1.27,-0.78
202005,2.08,-1.05
202006,4.05,-0.06
202007,4.88,1.28
202008,4.58,1.14
202009,1.46,-1.42
202010,1.87,-0.05
202011,1.13,-0.18
202012,0.68,-0.13
202101,0.57,-0.22
202102,0.31,-0.38
202103,1.43,0.17
202104,2.49,0.44
202105,1.76,-1.37
202106,1.82,-2.29
202107,1.80,-1.80
202108,4.07,0.63
202109,2.96,0.08
202110,3.31,1.39
202111,1.23,-0.08
202112,1.94,1.13
202201,0.55,-0.24
202202,0.78,0.09
202203,1.11,-0.15
