Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.14,-0.14
201002,4.31,-0.70
201003,3.89,-2.07
201004,2.77,-2.51
201005,5.89,1.15
201006,3.11,-0.98
201007,4.15,-0.83
201008,4.91,0.99
201009,0.84,-2.59
201010,1.73,-1.18
201011,5.58,1.30
201012,1.59,-3.98
201101,4.44,-0.84
201102,2.71,-2.30
201103,6.80,0.84
201104,6.34,1.06
201105,1.99,-2.75
201106,3.26,-0.83
201107,5.69,0.71
201108,2.31,-1.61
201109,7.98,4.55
201110,1.11,-1.80
201111,4.10,-0.18
201112,6.11,0.54
201201,4.23,-1.05
201202,5.72,0.71
201203,6.76,0.80
201204,3.39,-1.89
201205,3.14,-1.60
201206,3.46,-0.63
201207,7.02,2.04
201208,8.71,4.79
201209,4.18,0.75
201210,3.18,0.27
201211,2.18,-2.10
201212,7.20,1.63
201301,9.07,3.79
201302,7.12,2.11
201303,4.00,-1.96
201304,6.62,1.34
201305,6.11,1.37
201306,4.15,0.06
201307,4.36,-0.62
201308,3.28,-0.64
201309,5.29,1.86
201310,2.27,-0.64
201311,5.25,0.97
201312,5.41,-0.16
201401,2.08,-3.20
201402,6.00,0.99
201403,5.60,-0.36
201404,8.86,3.58
201405,5.16,0.42
201406,6.96,2.87
201407,4.14,-0.84
201408,3.71,-0.21
201409,2.54,-0.89
201410,4.28,1.37
201411,3.17,-1.11
201412,5.72,0.15
201501,4.70,-0.58
201502,4.09,-0.92
201503,6.40,0.44
201504,6.09,0.81
201505,6.18,1.44
201506,4.05,-0.04
201507,4.40,-0.58
201508,3.14,-0.78
201509,1.58,-1.85
201510,5.26,2.35
201511,7.45,3.17
201512,7.23,1.66
201601,3.60,-1.68
201602,5.41,0.40
201603,10.83,4.87
201604,5.71,0.43
201605,2.52,-2.22
201606,3.71,-0.38
201607,4.90,-0.08
201608,5.79,1.87
201609,1.80,-1.63
201610,0.55,-2.36
201611,3.29,-0.99
201612,5.02,-0.55
201701,6.70,1.42
201702,2.83,-2.18
201703,4.10,-1.86
201704,5.57,0.29
201705,6.65,1.91
201706,9.39,5.30
201707,4.83,-0.15
201708,6.92,3.00
201709,2.64,-0.79
201710,2.94,0.03
201711,1.32,-2.96
201712,5.04,-0.53
201801,3.66,-1.62
201802,10.15,5.14
201803,5.57,-0.39
201804,6.61,1.33
201805,3.58,-1.16
201806,3.87,-0.22
201807,4.61,-0.37
201808,4.58,0.66
201809,6.60,3.17
201810,2.54,-0.37
201811,6.52,2.24
201812,8.52,2.95
201901,6.17,0.89
201902,7.72,2.71
201903,3.32,-2.64
201904,8.73,3.45
201905,5.97,1.23
201906,5.24,1.15
201907,6.79,1.81
201908,5.31,1.39
201909,0.41,-3.02
201910,10.22,7.31
201911,2.71,-1.57
201912,5.47,-0.10
202001,8.72,3.44
202002,9.64,4.63
202003,6.10,0.14
202004,7.21,1.93
202005,3.77,-0.97
202006,6.35,2.26
202007,6.00,1.02
202008,4.65,0.73
202009,3.57,0.14
202010,5.24,2.33
202011,2.84,-1.44
202012,4.75,-0.82
202101,3.66,-1.62
202102,5.21,0.20
202103,8.06,2.10
202104,7.26,1.98
202105,5.08,0.34
202106,9.81,5.72
202107,7.47,2.49
202108,7.77,3.85
202109,4.57,1.14
202110,3.05,0.14
202111,1.35,-2.93
202112,3.68,-1.89
202201,3.91,-1.37
202202,5.43,0.42
202203,6.89,0.93
