Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,2.12,0.03
201002,1.73,-0.29
201003,3.35,0.14
201004,3.94,-0.03
201005,6.77,2.11
201006,4.79,0.17
201007,6.77,3.06
201008,2.53,-1.18
201009,7.86,3.76
201010,0.73,-2.46
201011,3.08,0.17
201012,0.90,-1.41
201101,1.02,-1.07
201102,3.52,1.50
201103,3.47,0.26
201104,7.60,3.63
201105,6.36,1.70
201106,4.08,-0.54
201107,2.48,-1.23
201108,3.92,0.21
201109,2.58,-1.52
201110,1.21,-1.98
201111,5.72,2.81
201112,3.74,1.43
201201,1.30,-0.79
201202,2.30,0.28
201203,4.17,0.96
201204,3.74,-0.23
201205,2.16,-2.50
201206,1.90,-2.72
201207,1.70,-2.01
201208,2.44,-1.27
201209,4.90,0.80
201210,3.17,-0.02
201211,1.57,-1.34
201212,1.68,-0.63
201301,3.33,1.24
201302,3.19,1.17
201303,3.48,0.27
201304,6.21,2.24
201305,6.84,2.18
201306,4.46,-0.16
201307,3.07,-0.64
201308,4.08,0.37
201309,2.50,-1.60
201310,3.61,0.42
201311,2.44,-0.47
201312,2.50,0.19
201401,1.09,-1.00
201402,1.22,-0.80
201403,1.70,-1.51
201404,5.09,1.12
201405,3.19,-1.47
201406,6.10,1.48
201407,2.59,-1.12
201408,4.34,0.63
201409,3.85,-0.25
201410,6.23,3.04
201411,1.72,-1.19
201412,2.20,-0.11
201501,1.19,-0.90
201502,1.70,-0.32
201503,3.24,0.03
201504,3.53,-0.44
201505,7.30,2.64
201506,7.36,2.74
201507,7.93,4.22
201508,3.96,0.25
201509,2.18,-1.92
201510,1.56,-1.63
201511,7.90,4.99
201512,7.67,5.36
201601,0.90,-1.19
201602,1.02,-1.00
201603,2.99,-0.22
201604,3.71,-0.26
201605,5.78,1.12
201606,2.43,-2.19
201607,6.56,2.85
201608,6.61,2.90
201609,4.39,0.29
201610,2.29,-0.90
201611,1.49,-1.42
201612,1.27,-1.04
201701,1.84,-0.25
201702,0.59,-1.43
201703,3.90,0.69
201704,9.57,5.60
201705,5.97,1.31
201706,4.32,-0.30
201707,3.39,-0.32
201708,5.15,1.44
201709,1.02,-3.08
201710,3.78,0.59
201711,0.91,-2.00
201712,1.01,-1.30
201801,1.64,-0.45
201802,4.89,2.87
201803,3.78,0.57
201804,2.03,-1.94
201805,4.18,-0.48
201806,3.70,-0.92
201807,2.49,-1.22
201808,5.66,1.95
201809,3.52,-0.58
201810,4.68,1.49
201811,2.73,-0.18
201812,3.70,1.39
201901,3.04,0.95
201902,3.60,1.58
201903,4.20,0.99
201904,3.50,-0.47
201905,10.31,5.65
201906,5.71,1.09
201907,4.48,0.77
201908,6.16,2.45
201909,3.28,-0.82
201910,5.00,1.81
201911,2.87,-0.04
201912,1.67,-0.64
202001,4.41,2.32
202002,2.51,0.49
202003,5.51,2.30
202004,3.98,0.01
202005,6.26,1.60
202006,3.64,-0.98
202007,5.77,2.06
202008,2.91,-0.80
202009,3.10,-1.00
202010,3.68,0.49
202011,3.04,0.13
202012,1.53,-0.78
202101,3.33,1.24
202102,1.15,-0.87
202103,5.26,2.05
202104,4.36,0.39
202105,4.99,0.33
202106,5.57,0.95
202107,4.86,1.15
202108,2.99,-0.72
202109,2.31,-1.79
202110,5.94,2.75
202111,1.05,-1.86
202112,2.22,-0.09
202201,1.69,-0.40
202202,2.91,0.89
202203,4.49,1.28
