Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.08,-0.27
201002,0.50,-0.56
201003,0.74,-0.54
201004,2.08,0.57
201005,3.93,1.51
201006,3.66,0.80
201007,1.51,-0.08
201008,2.18,0.87
201009,1.87,0.41
201010,0.91,-0.34
201011,1.92,0.64
201012,1.61,0.32
201101,1.77,0.42
201102,1.37,0.31
201103,1.62,0.34
201104,2.52,1.01
201105,5.70,3.28
201106,3.36,0.50
201107,1.39,-0.20
201108,0.77,-0.54
201109,0.47,-0.99
201110,1.99,0.74
201111,1.08,-0.20
201112,0.81,-0.48
201201,1.23,-0.12
201202,0.95,-0.11
201203,1.60,0.32
201204,1.98,0.47
201205,2.42,0.00
201206,2.01,-0.85
201207,1.29,-0.30
201208,0.57,-0.74
201209,0.17,-1.29
201210,1.82,0.57
201211,1.45,0.17
201212,1.32,0.03
201301,1.05,-0.30
201302,0.55,-0.51
201303,0.91,-0.37
201304,1.50,-0.01
201305,4.15,1.73
201306,3.12,0.26
201307,1.19,-0.40
201308,1.46,0.15
201309,2.53,1.07
201310,1.19,-0.06
201311,0.91,-0.37
201312,1.46,0.17
201401,1.21,-0.14
201402,1.71,0.65
201403,2.26,0.98
201404,1.47,-0.04
201405,1.92,-0.50
201406,3.20,0.34
201407,0.69,-0.90
201408,3.70,2.39
201409,1.20,-0.26
201410,0.96,-0.29
201411,1.98,0.70
201412,1.30,0.01
201501,1.18,-0.17
201502,0.90,-0.16
201503,0.99,-0.29
201504,1.08,-0.43
201505,2.43,0.01
201506,1.77,-1.09
201507,1.88,0.29
201508,1.01,-0.30
201509,1.29,-0.17
201510,1.40,0.15
201511,1.34,0.06
201512,1.61,0.32
201601,0.91,-0.44
201602,0.85,-0.21
201603,1.37,0.09
201604,2.33,0.82
201605,3.10,0.68
201606,1.53,-1.33
201607,2.07,0.48
201608,1.04,-0.27
201609,2.47,1.01
201610,3.36,2.11
201611,0.65,-0.63
201612,1.49,0.20
201701,0.91,-0.44
201702,1.72,0.66
201703,1.84,0.56
201704,2.13,0.62
201705,1.54,-0.88
201706,1.72,-1.14
201707,0.43,-1.16
201708,0.37,-0.94
201709,2.10,0.64
201710,1.16,-0.09
201711,1.70,0.42
201712,1.81,0.52
201801,1.16,-0.19
201802,2.12,1.06
201803,1.44,0.16
201804,2.17,0.66
201805,2.80,0.38
201806,3.62,0.76
201807,0.76,-0.83
201808,1.05,-0.26
201809,1.09,-0.37
201810,1.34,0.09
201811,1.44,0.16
201812,0.99,-0.30
201901,1.04,-0.31
201902,1.92,0.86
201903,0.63,-0.65
201904,2.18,0.67
201905,2.67,0.25
201906,2.56,-0.30
201907,2.03,0.44
201908,1.53,0.22
201909,3.58,2.12
201910,1.36,0.11
201911,1.12,-0.16
201912,0.79,-0.50
202001,1.20,-0.15
202002,1.22,0.16
202003,0.94,-0.34
202004,1.15,-0.36
202005,2.48,0.06
202006,3.43,0.57
202007,1.08,-0.51
202008,0.47,-0.84
202009,0.94,-0.52
202010,2.07,0.82
202011,1.23,-0.05
202012,0.68,-0.61
202101,0.75,-0.60
202102,1.40,0.34
202103,0.57,-0.71
202104,1.00,-0.51
202105,2.48,0.06
202106,0.83,-2.03
202107,0.65,-0.94
202108,2.05,0.74
202109,0.44,-1.02
202110,1.49,0.24
202111,0.98,-0.30
202112,1.67,0.38
202201,0.96,-0.39
202202,0.86,-0.20
202203,0.93,-0.35
