North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.00,1.09
201002,3.77,-0.06
201003,4.06,-0.23
201004,1.56,-1.98
201005,4.68,0.69
201006,3.65,-0.92
201007,4.05,-1.62
201008,4.52,-0.76
201009,7.81,3.52
201010,2.71,-0.56
201011,1.59,-1.43
201012,2.87,-0.80
201101,1.95,-1.96
201102,2.56,-1.27
201103,5.23,0.94
201104,3.63,0.09
201105,3.14,-0.85
201106,3.14,-1.43
201107,4.34,-1.33
201108,6.98,1.70
201109,5.36,1.07
201110,2.88,-0.39
201111,4.33,1.31
201112,2.45,-1.22
201201,2.86,-1.05
201202,2.22,-1.61
201203,4.14,-0.15
201204,3.22,-0.32
201205,6.24,2.25
201206,2.85,-1.72
201207,6.13,0.46
201208,5.92,0.64
201209,4.43,0.14
201210,3.32,0.05
201211,0.93,-2.09
201212,4.36,0.69
201301,4.69,0.78
201302,4.09,0.26
201303,2.68,-1.61
201304,4.68,1.14
201305,3.96,-0.03
201306,9.00,4.43
201307,8.41,2.74
201308,4.79,-0.49
201309,2.79,-1.50
201310,2.22,-1.05
201311,3.53,0.51
201312,5.61,1.94
201401,3.29,-0.62
201402,3.11,-0.72
201403,4.61,0.32
201404,4.91,1.37
201405,3.62,-0.37
201406,4.18,-0.39
201407,5.25,-0.42
201408,5.22,-0.06
201409,5.47,1.18
201410,2.89,-0.38
201411,3.77,0.75
201412,3.76,0.09
201501,3.95,0.04
201502,3.50,-0.33
201503,3.43,-0.86
201504,4.35,0.81
201505,2.62,-1.37
201506,5.20,0.63
201507,4.38,-1.29
201508,4.00,-1.28
201509,5.31,1.02
201510,7.07,3.80
201511,7.20,4.18
201512,7.31,3.64
201601,2.80,-1.11
201602,5.81,1.98
201603,2.14,-2.15
201604,2.78,-0.76
201605,5.57,1.58
201606,4.32,-0.25
201607,5.18,-0.49
201608,4.49,-0.79
201609,7.59,3.30
201610,5.63,2.36
201611,1.11,-1.91
201612,3.19,-0.48
201701,3.96,0.05
201702,1.19,-2.64
201703,3.64,-0.65
201704,6.50,2.96
201705,5.95,1.96
201706,4.70,0.13
201707,4.49,-1.18
201708,5.15,-0.13
201709,3.86,-0.43
201710,4.37,1.10
201711,1.30,-1.72
201712,2.85,-0.82
201801,3.79,-0.12
201802,3.08,-0.75
201803,4.11,-0.18
201804,5.16,1.62
201805,6.79,2.80
201806,3.98,-0.59
201807,6.36,0.69
201808,6.61,1.33
201809,10.40,6.11
201810,4.68,1.41
201811,6.33,3.31
201812,7.06,3.39
201901,3.85,-0.06
201902,4.99,1.16
201903,3.22,-1.07
201904,5.19,1.65
201905,2.28,-1.71
201906,5.82,1.25
201907,4.75,-0.92
201908,5.14,-0.14
201909,3.09,-1.20
201910,4.90,1.63
201911,3.34,0.32
201912,4.57,0.90
202001,4.37,0.46
202002,7.01,3.18
202003,3.31,-0.98
202004,5.32,1.78
202005,7.62,3.63
202006,5.04,0.47
202007,4.19,-1.48
202008,7.98,2.70
202009,6.80,2.51
202010,4.21,0.94
202011,6.15,3.13
202012,4.55,0.88
202101,4.63,0.72
202102,6.54,2.71
202103,4.13,-0.16
202104,1.95,-1.59
202105,2.47,-1.52
202106,6.25,1.68
202107,5.88,0.21
202108,6.06,0.78
202109,3.21,-1.08
202110,3.26,-0.01
202111,0.91,-2.11
202112,2.31,-1.36
202201,4.80,0.89
202202,2.98,-0.85
202203,3.85,-0.44
